,y_hat
3817,False
2083,False
3122,False
2856,False
2729,False
2483,False
3037,False
2355,False
3280,False
3234,False
2630,False
3845,False
3877,False
2437,False
3363,False
2813,False
2505,False
3176,False
2565,False
3926,False
2037,False
2276,False
3289,False
3083,False
2473,False
3408,False
3812,False
2766,False
3895,False
2172,False
2950,False
2465,False
2705,False
3935,False
2013,False
2690,False
3313,False
2394,False
2829,False
2190,False
2218,False
2881,False
2590,False
2730,False
2102,False
2171,False
3149,False
2372,False
2364,False
2254,False
3398,False
3038,False
3095,False
2143,False
2425,False
2065,False
2160,False
2753,False
3413,False
3168,False
3577,False
2247,False
2324,False
2799,False
3537,False
2070,False
2080,False
3543,False
3844,False
3055,False
2591,False
3278,False
2028,False
3416,False
3213,False
2815,False
2488,False
2088,False
3794,False
3035,False
2940,False
2163,False
3757,False
2806,False
2061,False
2075,False
2164,False
3370,False
3315,False
2863,False
3582,False
2819,False
3290,False
3569,False
2698,False
3681,False
3875,False
3838,False
3119,False
2404,False
2515,False
2042,False
3796,False
2382,False
2993,False
2631,False
2203,False
3955,False
3741,False
2859,False
3107,False
3769,False
3440,False
2358,False
3211,False
2095,False
2308,False
2468,False
2741,False
2978,False
2113,False
3371,False
3727,False
3468,False
3316,False
2989,False
2737,False
3585,False
2637,False
2180,False
2221,False
3637,False
2925,False
2547,False
2379,False
2474,False
3914,False
3510,False
2147,False
2711,False
2306,False
3969,False
3734,False
2786,False
3595,False
2871,False
2890,False
2191,False
3209,False
3883,False
2901,False
2039,False
3661,False
2543,False
3840,False
3004,False
3774,False
3205,False
3665,False
3064,False
3163,False
2835,False
2833,False
2924,False
2208,False
2103,False
2165,False
2267,False
2150,False
3506,False
2183,False
2421,False
2595,False
3180,False
2983,False
2571,False
3461,False
2687,False
2451,False
2234,False
2681,False
3478,False
3518,False
3558,False
2764,False
3522,False
2668,False
3683,False
3861,False
2601,False
3190,False
3121,False
2040,False
2827,False
2738,False
2060,False
2598,False
3252,False
2801,False
3466,False
