,x1,x2,x3
2277,3.3,2.7,6.7
2529,1.3,1.8,-0.0
2220,2.1,-0.0,2.2
2180,0.0,1.8,-0.0
3769,0.8,0.0,-0.0
3014,0.2,0.4,1.3
3113,0.1,2.4,-0.0
3677,1.2,-0.0,1.9
3927,1.2,0.0,2.2
3315,1.8,3.0,4.7
3969,0.4,0.9,1.5
2335,1.3,1.6,-0.0
3084,0.8,-0.0,2.0
2937,3.5,2.1,5.7
3976,0.5,2.5,-0.0
3020,0.5,0.7,0.3
3056,1.4,1.2,0.0
2992,0.2,1.1,0.0
3778,0.8,0.0,-0.0
2002,0.7,0.0,-0.0
3467,1.2,-0.0,0.0
3613,0.8,-0.0,0.8
2993,1.0,-0.0,0.0
2882,0.8,-0.0,0.0
3107,1.0,-0.0,0.0
3078,1.7,-0.0,2.6
2785,1.1,0.0,3.1
2931,1.1,-0.0,2.1
2638,0.2,0.8,0.0
3841,0.8,-0.0,-0.0
3308,0.7,-0.0,-0.0
2437,-0.0,2.1,0.0
3822,1.6,1.6,0.0
3935,0.6,0.0,0.0
3429,1.0,-0.0,0.0
2885,2.1,3.6,6.2
3964,0.7,0.0,-0.0
2744,-0.0,1.0,0.0
2637,1.3,-0.0,-0.0
2483,1.7,-0.0,1.4
3706,0.6,1.8,2.6
2185,0.3,0.7,1.3
2102,1.4,1.6,2.6
2524,1.1,-0.0,-0.0
2987,0.6,-0.0,0.0
3466,1.2,0.0,1.6
3735,1.5,0.0,-0.0
2596,1.1,3.1,4.2
3587,1.2,3.1,5.1
2525,0.9,3.1,4.0
3664,0.9,0.0,2.0
3356,1.3,-0.0,0.0
3138,0.7,0.0,0.6
2116,0.9,2.1,3.7
3010,0.3,2.1,-0.0
2158,0.6,1.9,0.0
3346,0.3,0.5,2.1
2021,1.4,1.5,0.0
3546,1.0,-0.0,0.0
3569,0.8,-0.0,-0.0
2060,2.5,0.0,0.6
3790,1.5,1.6,3.1
2493,0.7,-0.0,3.0
3151,2.8,1.8,4.7
3251,0.2,0.9,0.0
3636,1.3,0.0,-0.0
3751,1.3,1.4,3.1
2989,0.4,-0.0,-0.0
2137,1.8,-0.0,3.8
2468,0.5,1.7,2.6
2594,0.6,0.0,-0.0
3402,2.6,1.0,1.8
2309,1.0,-0.0,0.0
3626,0.0,2.6,2.6
3257,0.4,0.0,-0.0
3473,1.4,0.9,2.8
2848,1.1,0.0,-0.0
3168,0.7,0.0,-0.0
3712,2.0,2.8,5.7
2869,0.9,0.0,1.9
2473,0.7,2.6,3.3
3281,1.3,0.0,0.0
2167,0.1,1.3,1.8
2502,1.2,0.0,0.4
2421,1.5,1.0,2.8
3366,2.6,0.0,2.5
2338,1.3,0.0,-0.0
2119,0.3,2.1,3.1
3933,0.9,2.1,3.0
2818,1.3,0.0,0.0
3538,1.8,2.1,3.8
3746,0.1,2.8,3.3
2043,0.1,2.3,-0.0
3518,0.0,2.8,3.1
3846,2.0,0.0,-0.0
2898,0.4,4.2,4.7
3541,0.5,0.0,-0.0
3592,2.1,4.2,0.0
2061,2.2,-0.0,0.0
3952,0.5,0.0,-0.0
2135,0.2,-0.0,1.0
3759,0.9,0.5,1.3
3615,1.3,2.1,3.4
3255,0.9,-0.0,-0.0
3532,2.1,1.4,3.8
3462,0.2,0.7,0.0
2812,1.2,0.0,0.0
2379,1.2,-0.0,0.0
2748,0.3,2.6,2.8
2893,0.6,0.0,-0.0
3169,0.3,1.3,1.8
2729,0.2,0.5,2.1
3302,0.9,1.3,2.6
2362,1.4,0.0,-0.0
3631,1.4,1.4,3.1
3651,1.8,1.3,3.3
3108,2.1,2.6,2.8
3369,0.4,-0.0,1.2
2191,1.5,0.0,-0.0
2244,1.7,2.8,5.1
3641,2.1,2.3,5.2
2187,0.2,1.8,2.1
2959,0.7,1.8,0.0
3610,0.3,2.6,3.3
2398,2.4,0.0,2.7
2115,0.3,2.1,-0.0
2512,2.6,1.3,-0.0
3516,0.9,0.0,0.0
3831,0.9,-0.0,0.0
3883,1.2,-0.0,1.0
2809,0.5,0.0,1.0
3493,0.0,0.5,0.8
2183,1.5,2.1,3.6
2833,1.4,0.0,1.3
3091,1.2,-0.0,0.0
2411,0.3,1.4,1.8
3995,2.5,2.6,4.7
3843,0.8,1.5,2.6
3225,0.1,0.6,0.0
3607,0.0,2.8,0.0
3993,0.3,1.4,1.9
2511,2.1,0.0,1.7
2056,2.3,0.0,0.0
2859,0.5,0.0,-0.0
3832,1.3,-0.0,2.8
2741,0.9,0.0,1.8
2083,1.0,-0.0,2.1
2026,2.0,0.0,-0.2
3966,1.9,2.7,4.7
3320,0.6,-0.0,-0.0
3757,0.6,2.1,2.6
2806,1.3,3.8,4.9
2576,0.4,-0.0,0.0
3659,1.3,-0.0,-0.0
3209,0.4,0.9,1.5
