,x1,x2,x3
2080,-0.8014912,-0.4261672,0.6764091
2305,-1.3040951,-1.013746,1.3522527
2569,-0.7896586,-0.79949486,0.90396893
3985,-0.03014998,-0.1920193,0.25199944
3262,0.15341833,-0.09768813,0.08500344
3221,-0.19174723,0.33176574,0.064151004
3545,-0.3806236,0.50860155,0.06957492
2083,-2.0630329,-1.3120983,1.7734873
2327,-0.025013635,0.15217933,0.23170644
3725,-1.074468,-0.99040717,1.1233753
3441,-0.07694821,0.20712262,0.26855272
2007,-0.9516185,0.61825806,0.12258361
3202,0.3733388,-0.22765622,0.23659712
2773,-0.7304622,0.56295025,0.10926034
3158,-0.6865597,0.719928,0.17642802
3824,-1.4333012,-2.401214,1.969255
2003,-0.7460768,0.78641665,-0.11979751
2787,-0.035568006,0.17129177,0.09302579
3870,-0.9526125,0.1043689,0.45490333
3017,0.14036435,-0.3272644,0.18887527
3296,-0.32604972,-0.43400827,0.49104255
3271,0.39441842,-0.93888885,-0.52192724
2300,-1.4094415,-1.3034884,1.4548645
3865,-0.25149116,-0.7497936,0.842363
3472,-0.68973625,0.93116075,-0.16511956
2743,0.17449,-1.6812127,0.78469163
3518,-1.521247,-1.665683,1.9528761
2146,-1.1536366,-2.2978103,1.8914144
3595,-0.7201232,-0.4685815,1.2149334
3872,-1.2127502,-3.016862,1.6778924
2129,0.7121191,-0.60126597,0.100686386
2147,0.08520659,0.029679298,-0.017933019
2553,-0.29534912,-0.18322386,0.2932229
2949,0.008649036,-0.33137098,0.2571
3360,-0.9191192,0.012399172,0.46482745
2028,-0.3571643,-0.5260761,0.90864515
3881,0.3261618,-0.5003209,0.23942086
3582,0.08360794,-0.37767395,0.27679193
2850,0.34758794,0.04269418,0.30567142
3452,-0.26827577,-0.9304975,0.7548133
3321,0.36571142,-0.76509666,-0.24929823
2862,0.42948055,-0.49314386,-0.319215
2823,-1.0659032,-1.1786565,1.2222646
2717,-0.5765671,0.68662673,0.14151439
3604,0.15489154,-0.64442533,0.35987878
2232,-0.3575415,-0.5970607,0.56465286
2184,-0.746864,-0.8405882,0.89803946
2143,-1.0042336,-2.3310826,1.8550969
3959,-1.0581319,0.5011193,0.23762517
3632,-0.3235175,0.107264854,0.21597838
2048,0.12084142,-0.12761572,0.119486876
3614,-0.5702728,0.63795763,-0.024890065
3049,0.5765443,-0.80967486,-0.36367
3708,-0.4565148,0.253347,0.20987022
3403,-0.86184996,0.48483744,0.1603472
3819,-0.35404038,-0.103678115,0.30386
