,y
2592,0.0
2782,0.0
3296,0.0
3459,0.0
2659,0.0
3038,0.0
2500,0.0
3293,1.0
3647,1.0
3341,0.0
2880,0.0
3121,0.0
3610,0.0
2507,0.0
3492,0.0
2913,0.0
2265,0.0
2001,0.0
2681,0.0
2327,1.0
2014,0.0
2176,0.0
2110,0.0
2526,0.0
2218,0.0
3313,0.0
2158,1.0
2184,0.0
2717,1.0
2428,0.0
3289,0.0
3255,0.0
2824,0.0
2495,0.0
2622,0.0
2705,0.0
2022,0.0
3311,0.0
3953,0.0
3696,0.0
2766,0.0
2739,0.0
2106,0.0
2417,0.0
3571,0.0
3123,0.0
2767,0.0
3170,0.0
3215,0.0
3642,0.0
2909,0.0
3959,1.0
3495,0.0
2977,0.0
3447,0.0
2878,0.0
2164,0.0
2112,0.0
2351,0.0
2757,0.0
2392,0.0
2900,0.0
3677,0.0
3022,0.0
2456,0.0
2825,1.0
3343,0.0
3973,0.0
2577,1.0
3401,0.0
2124,1.0
2585,1.0
2974,0.0
2653,0.0
2614,0.0
3184,0.0
2047,0.0
2772,0.0
2890,0.0
2654,0.0
3721,0.0
2816,0.0
2065,0.0
3106,0.0
3221,0.0
2266,0.0
2581,0.0
3422,0.0
3065,0.0
2269,0.0
3441,0.0
2752,0.0
2871,0.0
3976,0.0
3518,0.0
3851,0.0
3012,0.0
2897,0.0
2988,0.0
2533,0.0
2031,0.0
2011,0.0
3489,0.0
2750,0.0
2743,0.0
2474,0.0
2722,0.0
2191,0.0
3016,0.0
2196,0.0
2206,0.0
2314,0.0
3511,0.0
2043,0.0
3573,0.0
2512,0.0
2961,0.0
3862,1.0
3913,0.0
3920,0.0
2032,0.0
2073,0.0
2697,0.0
2407,0.0
3006,0.0
3740,0.0
3129,0.0
3144,0.0
2882,0.0
3933,1.0
2048,1.0
2578,0.0
3151,0.0
2365,0.0
3790,0.0
3546,0.0
3585,0.0
3246,0.0
3468,0.0
3882,0.0
3817,0.0
2405,0.0
3469,0.0
2971,0.0
2051,0.0
3089,0.0
3636,0.0
3358,0.0
2917,0.0
3420,1.0
3063,0.0
2498,0.0
2081,0.0
3316,0.0
3617,0.0
3192,0.0
2430,0.0
3865,0.0
3240,0.0
2204,0.0
2130,0.0
2663,1.0
3614,0.0
2421,0.0
2366,0.0
3326,0.0
2169,1.0
2186,0.0
3547,0.0
2630,0.0
3912,1.0
3674,0.0
2687,0.0
3693,0.0
3516,0.0
2241,0.0
3987,1.0
2475,0.0
2631,0.0
2256,0.0
2222,0.0
2590,0.0
3798,0.0
3041,0.0
3541,0.0
3594,0.0
3002,0.0
3413,0.0
3093,0.0
3808,0.0
3410,0.0
3373,0.0
3794,0.0
3501,1.0
3180,0.0
3334,0.0
3697,0.0
3732,0.0
3989,0.0
3858,0.0
