,x1,x2,x3
3005,0.0,0.0,2.6
3298,0.1,0.0,5.5
3193,0.1,0.4,1.7
3523,1.0,1.2,3.6
3718,0.6,0.4,0.0
2210,0.1,-0.0,0.6
3901,0.6,-0.0,0.0
3312,0.4,-0.0,-0.0
3659,0.7,-0.0,1.5
2209,0.3,0.0,0.0
3776,0.7,1.5,5.6
3377,0.1,0.0,-0.0
3240,0.2,0.6,3.0
3570,0.0,0.0,0.4
2790,0.1,0.0,5.8
2141,0.4,0.0,0.0
2031,0.2,-0.0,0.7
3199,2.6,0.0,8.2
2744,1.4,-0.0,2.6
2146,0.6,1.6,-0.0
2857,0.0,1.0,2.7
2316,0.6,-0.0,2.5
2208,1.0,-0.0,0.0
3551,0.9,-0.0,-0.0
2001,0.7,0.4,0.0
3469,0.8,-0.0,0.0
3369,0.1,0.0,0.5
3687,1.0,-0.0,-0.0
2012,0.5,-0.0,1.0
3109,1.5,0.0,4.7
3985,0.2,-0.0,1.1
3661,0.7,0.0,0.0
2253,1.2,0.0,-0.0
3608,1.0,0.0,0.0
3415,1.3,0.0,4.7
3510,0.1,-0.0,0.6
2672,0.1,0.1,4.8
3474,2.9,-0.0,4.2
3445,0.1,0.0,0.4
3978,0.4,0.0,2.9
2549,0.6,0.0,0.7
3879,-0.0,0.9,-0.0
3649,0.4,0.9,3.1
3498,0.3,-0.0,5.1
2665,0.1,0.6,3.0
3505,1.0,0.0,4.1
3245,0.0,1.0,2.3
2800,2.1,0.0,0.0
3915,0.1,0.0,0.7
3114,0.1,2.2,4.6
2583,1.1,0.0,1.3
2054,0.0,0.0,0.1
3849,0.1,0.4,1.6
2825,0.1,0.0,0.8
2154,1.7,0.7,0.0
2403,0.3,-0.0,-0.0
2764,0.0,0.6,0.0
3026,0.6,-0.1,3.5
2773,0.1,0.0,-0.0
2960,0.5,0.0,0.0
2850,-0.0,0.3,-0.0
2876,0.3,-0.0,0.0
2924,-0.0,0.1,2.3
3362,0.8,1.4,8.7
3767,2.3,0.0,-0.0
3826,1.3,0.0,2.8
2410,0.3,-0.0,0.0
2308,0.1,-0.0,0.4
2596,0.2,0.8,2.5
3560,1.4,3.3,8.3
2817,1.1,0.0,1.8
2164,2.2,0.0,0.0
3701,0.0,-0.0,0.5
3581,0.3,1.0,2.5
3724,-0.0,-0.0,4.5
2680,0.5,0.0,0.0
3738,0.2,0.0,-0.0
2848,0.4,0.0,-0.0
3265,1.4,1.6,0.0
2400,1.3,0.0,1.5
3261,1.0,0.0,0.0
3747,0.3,-0.0,0.9
2622,-0.0,0.9,1.0
3791,-0.0,0.7,2.3
3640,-0.0,0.1,-0.0
2908,0.4,0.0,0.0
3338,0.2,0.0,0.0
3277,0.5,0.0,-0.0
3737,2.7,1.1,5.2
3113,0.4,0.0,0.0
3592,1.4,0.0,0.0
2195,0.7,-0.0,-0.0
3607,0.5,1.3,3.8
2626,0.8,1.1,4.0
3685,1.4,-0.0,1.6
3449,1.2,0.0,6.3
2490,0.4,0.2,2.1
3991,0.8,0.0,0.0
2042,0.4,-0.0,0.0
3432,0.3,0.0,0.0
2225,0.2,0.1,4.1
3366,0.4,-0.0,1.0
3340,0.1,-0.0,0.9
3960,0.1,-0.0,-0.0
3060,0.1,-0.0,0.7
3595,0.9,-0.0,0.0
3450,0.8,0.0,3.3
3154,0.8,0.0,1.7
3087,-0.0,0.2,1.2
3348,0.7,-0.0,0.0
3584,1.5,-0.0,3.1
3082,0.4,0.0,1.8
2473,0.4,1.7,0.0
2365,0.1,0.0,0.0
3562,1.9,0.0,-0.0
3967,0.1,1.0,5.9
3726,0.8,0.0,3.9
2783,0.6,-0.0,0.0
2047,0.7,0.0,1.7
2304,0.4,-0.0,-0.0
3939,0.6,1.3,4.7
2009,0.3,-0.0,0.0
2947,0.2,-0.0,2.6
2076,1.7,0.0,-0.0
2157,0.9,0.0,-0.0
2113,0.0,0.0,0.1
2872,0.9,-0.0,0.0
2730,1.7,0.9,7.1
3456,0.1,0.0,-0.0
2641,0.5,0.0,0.0
2051,0.4,0.0,1.8
3354,1.5,0.0,0.3
2881,0.4,0.0,1.4
3293,0.8,-0.0,1.3
3872,0.2,0.2,-0.0
3229,1.0,0.7,-0.0
3185,0.2,-0.0,-0.0
3196,0.8,2.1,6.9
3815,1.9,0.0,0.0
3278,0.0,0.2,1.2
3480,-0.0,0.3,0.5
2683,0.8,-0.0,3.5
3100,1.1,-0.0,0.0
2669,0.0,0.0,0.9
2378,0.4,-0.0,0.0
2948,0.8,0.9,3.3
3758,0.3,0.0,-0.0
3388,1.2,1.6,5.9
3936,0.2,-0.0,5.2
2522,1.1,0.0,1.1
2932,0.0,0.1,3.3
2247,0.6,0.0,-0.0
2819,1.1,-0.0,0.0
3069,-0.0,0.3,1.8
2812,1.7,0.0,2.6
2586,0.4,0.0,1.8
2294,0.6,0.0,-0.0
3198,0.3,0.4,3.0
3818,0.8,-0.0,-0.0
3670,0.0,0.0,0.7
3216,0.1,-0.0,-0.0
3239,0.0,0.4,0.8
3539,0.1,0.0,0.3
3809,0.3,0.7,0.0
3043,0.3,0.0,-0.0
2652,0.0,-0.0,0.1
2880,0.3,-0.0,-0.0
