,x1,x2,x3
2372,0.2627418,-1.1108235,-0.82905453
2789,-2.6115334,-2.8096552,-5.3752394
3659,-0.63718843,-0.7321588,-1.4161475
3946,0.4032301,-2.0421445,-1.8214271
3366,-0.37173718,-0.4108453,-0.90290606
2408,-0.43235323,-0.67564994,-1.1560808
3032,-0.83653915,-1.9361753,-2.7431645
3724,-0.83143586,-1.9582593,-2.7779136
2573,-0.12749676,-0.672778,-0.9466751
3311,-1.2348706,-0.54637617,-1.6894641
2782,-0.32113957,-0.5658637,-0.8108801
2084,0.30810967,-0.8828558,-0.4725048
3117,-0.9370324,-1.3976214,-2.498996
2103,-2.6566272,-3.3430595,-5.849817
3673,-0.39970702,-1.8303049,-2.2060735
2683,-1.436796,-1.2589943,-2.7227054
2460,-0.90007967,-0.35031295,-1.1148053
2518,0.3994476,-0.82907856,-0.1468614
2461,-0.8584709,0.9014901,0.07367561
2481,-0.88036835,-2.5513482,-3.4509912
3348,-1.0020725,-0.18083394,-1.1146369
2586,-0.83786273,-0.6053335,-1.29037
2128,0.15845232,-2.4032094,-2.1954706
2438,-0.34805933,-0.51836437,-0.9141019
3050,-0.31538942,-1.0196288,-1.3833153
2193,-1.0489494,0.419971,-0.66580987
2680,-0.71425873,-0.0014595389,-0.76637846
2732,-1.2799188,-0.8847059,-2.0821793
3697,-0.49364758,-0.48697764,-0.9542838
2823,-0.6938419,-1.4068186,-1.9892819
2133,-0.22130382,-0.32755578,-0.79007685
3695,-0.7162585,-0.96926403,-1.6102285
2942,-0.5782705,-1.0140843,-1.6975173
2411,-1.2224554,-2.8304229,-4.0878773
3417,-1.7857149,-1.4151177,-3.2975593
2650,-0.9268641,0.33576864,-0.6270008
3394,-0.5063984,-1.857362,-2.2240336
2001,-0.4066778,-0.6558156,-0.92730033
3959,-0.95977676,-2.041976,-2.8889315
3360,-1.5034561,-1.7577441,-3.2968092
2890,-0.14592049,-0.81024575,-0.90730435
3572,-0.85990673,0.7267454,-0.17979637
3570,0.13460612,-0.24308616,-0.18455365
3768,-1.2882354,-0.87370443,-2.1587656
3927,-0.22417097,-0.75312746,-0.8791155
3343,-1.1642534,0.2364893,-0.90849733
3706,-0.68382627,-1.4998618,-2.1081083
3245,-0.23302552,-1.4392555,-1.8020157
2949,-1.2617139,0.5882145,-0.51455164
2618,-1.3308756,-1.7283455,-2.9860203
2396,-0.16210002,-1.2137971,-1.4915237
2936,-0.6332968,0.63678986,-0.0029402669
3019,-0.14121312,-1.591852,-1.6072204
2736,0.5428983,-0.77478206,-0.1794205
2716,0.5730724,-1.0318613,-0.5457539
3025,-2.3320653,-2.0544727,-4.7042108
3458,0.383762,-1.1005477,-0.69469404
3165,-0.7399051,-3.100125,-3.8154655
2199,-1.4106296,-2.3480933,-3.8247542
