,h_post,h_post_individualized
2372,0.7308671685711722,0.754519522190094
2789,0.729673724262044,0.7509288191795349
3659,0.7131841788047577,0.7529680728912354
3946,0.7254495598808421,0.7576169967651367
3366,0.693363687215053,0.8197287917137146
2408,0.7678634819632326,0.7918174862861633
3032,0.7270910276983472,0.7656880021095276
3724,0.7020431920099938,0.737379252910614
2573,0.7372012839874319,0.7600675821304321
3311,0.7644154646697399,0.7907230257987976
2782,0.9298100774604784,0.9371513724327087
2084,0.8905407404630993,0.8959254026412964
3117,0.7139306684491583,0.7439022064208984
2103,0.7508784633626906,0.7596015930175781
3673,0.7375785772590868,0.7620432376861572
2683,0.7630529932960844,0.7467785477638245
2460,0.6547982172000001,0.7378458380699158
2518,0.7643418593985108,0.7726802825927734
2461,0.7486516793509053,0.7886313199996948
2481,0.7300190730918795,0.734444797039032
3348,0.757160136216256,0.7862481474876404
2586,0.7604366072198875,0.7801316380500793
2128,0.7353024640145516,0.7612913846969604
2438,0.6609919833656371,0.734870195388794
3050,0.7443763591419942,0.7468093037605286
2193,0.7817744466084757,0.8183504939079285
2680,0.7552636896452567,0.7888326644897461
2732,0.6366354927365003,0.7778525948524475
3697,0.7363108293689771,0.7799012660980225
2823,0.7515395596970534,0.7703091502189636
2133,0.7772158098473898,0.7615258693695068
3695,0.7041396861742719,0.7510553598403931
2942,0.802940987645779,0.7703216075897217
2411,0.734831199223063,0.7425462007522583
3417,0.7400324896616688,0.7505612969398499
2650,0.623537378347599,0.7274857759475708
3394,0.7094107963802975,0.7525401711463928
2001,0.712186180788736,0.7330605387687683
3959,0.7816645456014595,0.7328862547874451
3360,0.7404895571691258,0.7759102582931519
2890,0.7764091086224827,0.7919185757637024
3572,0.7409406408818943,0.7836461663246155
3570,0.7174403746083069,0.7515631914138794
3768,0.8198436834631013,0.8428111672401428
3927,0.7693196045080136,0.7930790185928345
3343,0.7602743179210404,0.7963666915893555
3706,0.7272724165473614,0.7517940402030945
3245,0.7974495959365192,0.7550450563430786
2949,0.8042775824986527,0.8336818218231201
2618,0.7204791525417873,0.7416876554489136
2396,0.7275402143661027,0.7563145756721497
2936,0.7295910768860656,0.7686231136322021
3019,0.7730986568787778,0.7612807750701904
2736,0.7506469853676457,0.7665076851844788
2716,0.8919422256980057,0.8998408317565918
3025,0.32241335273455357,0.7701663970947266
3458,0.7437417452759474,0.7664763927459717
3165,0.8263980749544185,0.7585057020187378
2199,0.7748015922723869,0.7886025905609131
3682,0.7753833453826553,0.7912967205047607
2195,0.7146074159367258,0.7499607801437378
3826,0.7540890962051409,0.7799351215362549
3070,0.8171332019756413,0.8415715098381042
2757,0.7485229224550154,0.7747156023979187
2530,0.7721295581424954,0.7348811626434326
3353,0.7622566904741165,0.7829983234405518
3275,0.7913582632357309,0.8127893805503845
2228,0.8675042528138145,0.8815949559211731
2501,0.7339641151785299,0.7607805132865906
3055,0.6411922441928352,0.7779511213302612
2883,0.7668282931688536,0.7935380339622498
2963,0.7026906156173877,0.7384229302406311
2596,0.7540324585108139,0.7705259919166565
3058,0.7313963851798292,0.7587642669677734
3433,0.7336022731731119,0.7670006155967712
3670,0.7457462497147415,0.7727212905883789
3256,0.7377799554018204,0.7579781413078308
2277,0.7354499504743749,0.7516762018203735
3506,0.7346022573224252,0.7724341750144958
3126,0.747439207153244,0.7711698412895203
3915,0.7240434882528549,0.7537252902984619
2380,0.755305056848786,0.7803534865379333
3042,0.7337627381233004,0.7505639791488647
2988,0.7298259696119768,0.7700074911117554
2564,0.7352970823221411,0.769582211971283
3715,0.7399159655936676,0.7364664673805237
2647,0.811065823284662,0.8339415192604065
3449,0.7066205840351975,0.7560913562774658
2787,0.7336725953634349,0.7517949938774109
3278,0.7146129772567229,0.7399393320083618
3579,0.8052436527675748,0.8323967456817627
2774,0.6493436772076081,0.747012734413147
3773,0.7862035512276999,0.8101212382316589
