,x1,x2,x3
3508,-0.5956743,-0.9658705,-1.4880108
2832,-0.7754412,-0.90497863,-1.723797
3387,0.018086141,-1.3225672,-1.2313911
3191,0.1844581,-0.78247917,-0.51318955
3585,-1.0766177,-1.234489,-2.2646356
2325,-1.1125214,-1.3397659,-2.4426794
2836,-1.6682014,-0.71388805,-2.4919028
3838,-0.99721164,-2.4467072,-3.3878117
3104,-0.9544588,-3.1676998,-3.9890985
2185,-1.4818674,-2.8506112,-4.3564525
3324,-0.39651355,0.1915941,-0.26379672
3064,-0.6103779,-1.317832,-2.009574
2944,-0.24429314,-1.4048123,-1.805908
3872,0.07504362,-0.77899617,-0.7812824
2069,0.33048,-2.1065726,-1.6588161
2914,0.23823497,-1.1322178,-0.8760248
3477,1.0470076,-1.1863208,-0.110135935
2063,-0.6217058,-0.91605306,-1.5367453
3108,-1.2241913,-4.5539904,-5.767732
2224,-0.060339443,-1.0455078,-1.1500714
3692,-0.7290629,-0.109042585,-0.84824
3265,-0.43471605,-0.3673957,-0.8378811
2029,-0.28806514,-0.6012616,-0.7344525
2975,-1.6460048,-1.5441495,-2.8796165
2861,0.51720536,-0.9142885,-0.4180842
2340,-0.22601876,-0.23524319,-0.41555974
3284,-0.8982398,-1.2656441,-2.0994818
3288,-0.18535861,-0.048188716,-0.41890904
2776,-0.81095845,0.64264053,-0.22616036
2389,0.6214471,-0.88738394,-0.33958673
2896,-0.5616319,-1.2345698,-1.7213768
3884,-0.8205866,-2.5365899,-3.2654011
3305,-0.6108197,-2.100864,-2.6800969
2133,-0.8575728,-0.30285978,-1.1218903
3620,-1.3769579,-0.9499743,-2.285987
2909,0.3600541,-0.9098662,-0.59096146
3853,-2.5383303,-3.1571386,-5.6093807
3860,-1.1621872,-1.0896518,-2.2054834
3636,-1.8977151,-1.0908674,-3.1618297
2649,-1.2516042,-2.7055216,-4.058093
3780,-1.327609,-2.406363,-3.5599794
3945,0.4580012,-0.901728,-0.46795374
2642,-2.695926,-3.099071,-5.760268
2151,-1.3065776,-2.3026407,-3.6508334
3060,-1.2509955,-1.6342549,-2.8892512
3461,0.112196796,-1.6092283,-1.3858298
2060,0.64813143,-1.0396068,-0.35838932
3055,-0.81541955,-0.97566116,-1.7514224
2148,-0.25830227,-1.7697911,-2.1050224
3541,-0.92249644,0.06119007,-0.8872388
2447,-0.0904655,-0.25700992,-0.4020368
2829,-1.2432469,-0.67243034,-1.8368268
2042,-0.49613875,-0.555103,-0.95347154
3672,-1.0407685,-0.02626288,-1.0316049
3329,0.09863762,-0.5953381,-0.4604845
3495,-0.44306704,-3.0607731,-3.580875
2019,-0.16854355,-1.6857435,-1.6504686
2119,-0.7993769,-0.64415634,-1.4575083
3319,-0.9984002,-0.7332289,-1.6571894
2750,0.17872606,-0.31862086,-0.185798
3487,0.38018644,-0.6631224,-0.3697049
3956,-1.73594,-0.9326902,-2.8707085
2438,-0.9636672,0.053547084,-0.95861125
2613,-0.27360976,-0.73547566,-1.0076811
2334,0.41404617,-0.79953814,-0.30069298
3042,-2.5408626,-3.3118095,-5.889885
2774,-0.37256914,0.26383996,0.002430439
2953,0.24258286,-1.5842237,-1.4011455
3221,-0.75867504,0.38143438,-0.2962678
2105,-1.9517974,-1.567924,-3.4410608
3314,-0.29827666,-0.9255043,-1.1709341
2478,0.37025753,-0.6660311,-0.2071558
3377,-0.8775892,-0.4790234,-1.2758104
2335,0.27613032,-0.38277936,-0.12696448
2209,-0.71389437,-2.7710352,-3.5460348
3846,-0.77071023,-1.7226448,-2.3577392
2274,-1.4562999,-0.9290409,-2.397051
2820,-1.7145185,-2.653307,-4.272161
3510,-1.2684968,-0.5394341,-1.8357689
2350,-0.95028734,-1.5776882,-2.5109365
3082,0.10735142,-1.367504,-1.4098591
2239,-2.1427445,-0.22297692,-2.1748962
3711,-0.70289755,-0.41095227,-1.0615575
3952,-0.76142484,-0.7664918,-1.698543
