ix,goal_cost,intv_cost
3508,1.0,0.8
2832,1.0,0.9
3387,1.0,2.5
3191,1.0,0.6
3585,1.0,3.4000000000000004
2325,1.0,4.8
2836,1.0,1.3
3838,1.0,6.3
3104,1.0,7.299999999999999
2185,1.0,8.399999999999999
3324,1.0,0.5
3064,1.0,3.0
2944,1.0,3.1999999999999997
3872,1.0,0.5
2069,1.0,1.7
2914,1.0,0.5
3477,1.0,0.1
2063,1.0,0.9
3108,1.0,10.899999999999999
2224,1.0,0.6
3692,1.0,0.5
3265,1.0,1.3
2029,1.0,1.5
2975,1.0,6.0
2861,1.0,0.2
2340,1.0,0.7
3284,1.0,3.4000000000000004
3288,1.0,0.6
2776,1.0,0.2
2389,1.0,0.3
2896,1.0,0.9
3884,1.0,6.4
3305,1.0,4.4
2133,1.0,0.6
3620,1.0,1.2
2909,1.0,1.1
3853,1.0,8.5
3860,1.0,1.2
3636,1.0,4.5
2649,1.0,7.6
3780,1.0,6.7
3945,1.0,0.5
2642,1.0,8.6
2151,1.0,3.6999999999999997
3060,1.0,3.5
3461,1.0,2.2
2060,1.0,0.7
3055,1.0,0.9
2148,1.0,2.1
3541,1.0,0.5
2447,1.0,0.6000000000000001
2829,1.0,1.1
2042,1.0,1.0
3672,1.0,0.6
3329,1.0,0.8999999999999999
3495,1.0,6.6000000000000005
2019,1.0,0.9
2119,1.0,0.8
3319,1.0,0.9
2750,1.0,0.3
3487,1.0,0.7
3956,1.0,1.6
2438,1.0,1.5
2613,1.0,0.6
2334,1.0,0.2
3042,1.0,11.1
2774,1.0,0.1
2953,1.0,2.6999999999999997
3221,1.0,0.2
2105,1.0,5.7
3314,1.0,2.3
2478,1.0,0.30000000000000004
3377,1.0,0.7
2335,1.0,0.1
2209,1.0,6.8
3846,1.0,1.4
2274,1.0,1.3
2820,1.0,8.4
3510,1.0,1.0
2350,1.0,4.6
3082,1.0,2.6
2239,1.0,3.2
3711,1.0,0.6
3952,1.0,2.5999999999999996
3513,1.0,2.9
3575,1.0,5.5
3516,1.0,4.1
3482,1.0,0.5
2850,1.0,0.9
2533,1.0,0.1
3538,1.0,0.8999999999999999
2758,1.0,1.0
2562,1.0,4.6
3939,1.0,1.1
2715,1.0,1.0
2338,1.0,3.9
2745,1.0,3.2
3252,1.0,4.5
3295,1.0,0.3
3471,1.0,2.2
2501,1.0,1.9
2736,1.0,0.3
2790,1.0,4.3
2684,1.0,0.7
2534,1.0,0.5
3841,1.0,1.3
2311,1.0,0.9
3920,1.0,4.0
2700,1.0,0.9
3228,1.0,0.8
3476,1.0,5.2
2598,1.0,1.6
2355,1.0,0.8
3958,1.0,0.4
3500,1.0,0.3
2540,1.0,9.8
2772,1.0,1.0
3951,1.0,1.7
3572,1.0,0.1
3277,1.0,6.0
2535,1.0,1.4000000000000001
2583,1.0,8.0
2863,1.0,1.3
2880,1.0,1.3
3354,1.0,2.6
2053,1.0,3.0
3946,1.0,0.3
3953,1.0,2.1
2257,1.0,6.8
2329,1.0,1.5
3781,1.0,1.8
2034,1.0,6.1000000000000005
3913,1.0,3.3
3179,1.0,3.5
3366,1.0,0.7
2367,1.0,0.8
2950,1.0,3.9000000000000004
2644,1.0,0.4
3921,1.0,4.1
2127,1.0,4.7
3195,1.0,0.1
3724,1.0,1.5
3916,1.0,2.3
3678,1.0,0.4
2255,1.0,0.9
3171,1.0,2.2
2578,1.0,0.8
2451,1.0,9.3
3615,1.0,0.3
2802,1.0,0.6
2430,1.0,0.1
2406,1.0,2.9
3924,1.0,0.3
3914,1.0,2.4
3204,1.0,3.8000000000000003
3249,1.0,0.7
2216,1.0,1.0
2047,1.0,0.7
2005,1.0,4.3999999999999995
3296,1.0,0.8999999999999999
3862,1.0,0.7
2156,1.0,1.1
2023,1.0,5.5
2726,1.0,0.30000000000000004
2882,1.0,3.0
3408,1.0,3.4000000000000004
2280,1.0,0.7
2408,1.0,1.1
2807,1.0,0.4
2855,1.0,8.0
3907,1.0,0.5
2889,1.0,0.3
2981,1.0,2.6
3043,1.0,2.8
3734,1.0,3.6999999999999997
2097,1.0,9.4
3897,1.0,0.5
3349,1.0,10.7
2946,1.0,0.7
3643,1.0,0.1
2131,1.0,3.4
3567,1.0,7.199999999999999
3507,1.0,4.1
3254,1.0,0.5
2785,1.0,0.8
2838,1.0,0.4
3343,1.0,3.6
2183,1.0,3.6999999999999997
2691,1.0,1.2
2629,1.0,1.4
2602,1.0,0.9
3290,1.0,8.9
3870,1.0,5.699999999999999
2884,1.0,8.0
3187,1.0,1.3
3156,1.0,0.2
3675,1.0,5.0
3035,1.0,2.7
3304,1.0,9.4
2659,1.0,4.199999999999999
