,y_hat
2383,False
3442,False
3087,False
2930,False
2615,False
2599,False
2234,False
2724,False
2355,False
2413,False
2846,False
2519,False
3469,False
3866,False
2687,False
2909,False
2546,False
3937,False
2432,False
3300,False
2373,False
2099,False
2880,False
3422,False
3752,False
2691,False
3328,False
2774,False
3267,False
2744,False
3889,False
2384,False
3379,False
2138,False
2528,False
3913,False
3188,False
3557,False
3254,False
2369,False
3781,False
2623,False
3541,False
3121,False
3323,False
2325,False
2758,False
2740,False
2354,False
2817,False
2232,False
3611,False
3616,False
2076,False
3806,False
3576,False
3050,False
2885,False
2466,False
2415,False
3732,False
3565,False
3105,False
2597,False
3377,False
2558,False
2111,False
3722,False
3189,False
3459,False
3002,False
3717,False
2351,False
3196,False
3628,False
3645,False
3000,False
2312,False
2272,False
2420,False
2915,False
3170,False
3594,False
3026,False
3615,False
2608,False
2023,False
2838,False
3163,False
2212,False
3646,False
2370,False
2982,False
2565,False
3314,False
3841,False
2085,False
2985,False
2592,False
3064,False
2401,False
2043,False
2926,False
2386,False
3593,False
3412,False
3769,False
3506,False
2450,False
3480,False
3061,False
2722,False
3500,False
3677,False
2814,False
2131,False
3575,False
2360,False
3927,False
2762,False
2964,False
3608,False
2066,False
2726,False
2813,False
3855,False
2806,False
3039,False
2790,False
3569,False
2088,False
2729,False
3865,False
3540,False
2400,False
3052,False
3281,False
3585,False
2350,False
3359,False
2479,False
3686,False
3994,False
2218,False
3385,False
3869,False
3445,False
3111,False
3518,False
2947,False
2791,False
3311,False
3595,False
2490,False
2882,False
2328,False
3911,False
2548,False
3891,False
3301,False
3973,False
3886,False
3946,False
2079,False
2029,False
3704,False
3789,False
3489,False
2270,False
3390,False
2062,False
3713,False
3630,False
2428,False
2104,False
3867,False
3591,False
2787,False
3265,False
2907,False
2280,False
3509,False
3355,False
3036,False
2697,False
3494,False
2750,False
2267,False
3260,False
2215,False
3473,False
3948,False
3682,False
3921,False
2649,False
3215,False
2876,False
3779,False
2061,False
3880,False
