,x1,x2,x3
3289,-1.0938929,-2.5668013,0.18430471
2081,-0.8304568,0.3124153,0.46959248
2556,0.3604683,-0.59540224,0.4366664
3474,0.91196513,-0.5190785,0.39053893
2565,0.07126548,-1.6429207,0.30911988
3784,0.64666855,0.66755927,0.5388694
2331,-1.9657196,-1.8039303,0.25017005
3023,-0.3584224,0.081313014,0.42635703
3385,-0.56207734,0.16365832,0.4156046
3135,-1.5528234,-1.9797552,0.20603614
3516,0.070246294,0.54575986,0.48296225
3873,0.06158529,-0.9342624,0.35308558
3527,0.21687146,-1.1852893,0.33626977
3156,-0.11092659,-0.64905286,0.41232568
2373,-1.642224,-0.861579,0.315993
2539,0.3225408,-1.1930137,0.32423875
2502,-0.8101737,0.044537306,0.43037468
2724,0.0472584,1.00664,1.5815036
2389,-1.1528883,-0.4861905,0.39957094
2519,-1.3114188,-1.7132334,0.20428915
2991,-1.0001189,-0.62452745,0.35994357
2247,-0.7411321,-0.033171475,0.51551986
2113,-0.018226756,-0.45230308,0.45316985
2409,-0.26890782,-0.18242957,0.39627057
3424,-2.152857,-4.1573844,-0.004661751
2490,-0.04944858,-1.7970561,0.22390553
3938,-0.55912095,-0.67620504,0.35424894
2713,0.18139009,0.18076684,0.6048032
2647,-1.4496906,-1.5654124,0.38460523
3528,-0.41328627,-1.4860343,0.27465397
3571,-0.52488446,-1.0932827,0.385055
3090,0.45617113,-0.387068,0.42475256
3851,-0.048093207,1.3680962,0.54122883
2056,-0.070686236,1.0803232,0.5838618
2277,-1.2080522,-2.0094118,0.27787304
3414,-1.005679,-0.40010023,0.39204246
2149,-0.57213175,0.3144654,0.46207154
3837,-0.89104,-0.026094139,0.45603675
3249,0.9112111,0.19950569,0.65803635
3833,-1.0070559,1.4883703,0.64526
3959,-0.9394492,-0.776011,0.30557728
3206,-0.16815749,0.1720985,1.4198971
3223,-0.8065186,-2.0591376,0.26809055
3336,-0.87132716,-0.91136354,0.31051356
3371,-1.1335002,0.49928463,0.50192904
3822,-0.033901114,-0.46201932,0.42563394
2628,-0.10722896,-0.050408248,0.41606358
2962,-1.5843811,-2.7726712,0.13805418
3865,-0.28032053,-0.033234566,0.4091202
3419,0.2093961,-0.2075735,0.4014362
3426,0.4516132,-0.33185607,0.41115165
2333,-1.260307,-3.1322768,0.06109767
2642,0.4608816,1.1412389,0.5804077
2285,0.35904706,-0.11758372,1.7626631
2340,0.23898146,-0.8277359,0.336317
3871,-1.521644,-1.6294191,0.2782547
3456,-0.91775054,-1.7555618,0.29202557
2164,-2.2326639,-1.9063988,0.176235
2923,-0.78561,0.5926793,1.5807039
3636,0.09399041,0.09114966,0.5822654
2680,1.1575736,0.77558565,1.4383211
2411,-0.23292962,-0.060328886,1.5543787
2370,-0.8229044,-1.2212391,0.2721428
2523,-1.440587,-1.3026636,0.2664835
2465,0.31459138,-0.5982616,0.35386315
2421,-0.7590592,-1.4251157,0.29297405
3697,-0.9752637,-1.222145,0.28459877
2551,-0.19392145,0.24752322,0.47115278
3542,-0.3094855,1.0699291,1.5810777
2915,-0.03029201,-0.2302512,0.48018274
2265,-1.2464511,-0.7418531,0.33008224
2205,-0.6577382,1.2698452,1.5932984
3982,0.019511435,-0.80113125,0.3284952
3678,-0.40473202,-1.9626688,0.24405622
3118,-1.7737622,-2.392445,0.21249151
3922,0.228352,0.03418006,0.4116729
3861,-0.54818654,-1.9878346,0.33443737
3370,-0.121444196,0.21053994,0.51839477
2429,-0.78086525,-1.333075,0.32847184
2454,-0.4666035,0.93879294,0.55998003
2319,-0.95266736,-0.58923733,0.3519695
3562,-0.24602278,-0.0090013,0.49045062
3128,-1.0997921,-1.8925948,0.24622707
3404,-1.3607858,-2.3849866,0.17607804
3109,-0.25526157,-1.9867989,0.3870651
2120,-0.27770162,0.39047632,0.46745226
3246,0.33302596,-0.5207548,0.37941685
2302,-0.22251114,-2.0572853,0.19464764
3027,-1.1109453,-0.76840615,0.37104177
3150,-2.3432145,-3.5367715,0.094590284
2170,-0.38555092,0.40420508,0.5934356
2281,-0.35447788,-0.78145504,0.36080465
2656,0.4333628,0.68363214,0.53631794
2971,-1.8160917,-1.1573845,0.34681076
2701,-0.5694321,-1.4309111,0.32590213
