ix,goal_cost,intv_cost
3289,1.0,2.0
2081,1.0,1.4
2556,1.0,0.4
3474,1.0,0.4
2565,1.0,0.7
3784,1.0,1.5
2331,1.0,3.8
3023,1.0,1.0
3385,1.0,1.5
3135,1.0,3.8
3516,1.0,5.4
3873,1.0,0.6000000000000001
3527,1.0,4.4
3156,1.0,1.8
2373,1.0,5.2
2539,1.0,1.6
2502,1.0,0.3
2724,1.0,1.4
2389,1.0,2.6999999999999997
2519,1.0,4.2
2991,1.0,2.3
2247,1.0,0.7
2113,1.0,1.9
2409,1.0,1.2
3424,1.0,4.8999999999999995
2490,1.0,1.7000000000000002
3938,1.0,1.0
2713,1.0,0.8
2647,1.0,3.9
3528,1.0,1.2
3571,1.0,1.0
3090,1.0,0.1
3851,1.0,0.1
2056,1.0,0.3
2277,1.0,2.5
3414,1.0,2.2
2149,1.0,0.9
3837,1.0,1.3
3249,1.0,1.5
3833,1.0,0.5
3959,1.0,4.5
3206,1.0,0.8999999999999999
3223,1.0,2.3
3336,1.0,1.8
3371,1.0,0.9
3822,1.0,1.4
2628,1.0,0.6
2962,1.0,4.3
3865,1.0,0.5
3419,1.0,0.5
3426,1.0,0.2
2333,1.0,4.1
2642,1.0,0.3
2285,1.0,0.6
2340,1.0,2.7
3871,1.0,5.7
3456,1.0,5.5
2164,1.0,4.8999999999999995
2923,1.0,2.2
3636,1.0,0.4
2680,0.77,1.4
2411,1.0,0.6
2370,1.0,2.9
2523,1.0,5.7
2465,1.0,1.4
2421,1.0,2.3
3697,1.0,2.8000000000000003
2551,1.0,0.1
3542,1.0,2.8
2915,1.0,0.9
2265,1.0,3.9
2205,1.0,4.1000000000000005
3982,1.0,1.3
3678,1.0,0.4
3118,1.0,4.8
3922,1.0,0.2
3861,1.0,3.5
3370,1.0,0.4
2429,1.0,4.7
2454,1.0,1.1
2319,1.0,0.9
3562,1.0,0.1
3128,1.0,3.3
3404,1.0,5.2
3109,1.0,2.7
2120,1.0,0.7
3246,1.0,0.9
2302,1.0,2.6
3027,1.0,1.5
3150,1.0,6.1
2170,1.0,1.2
2281,1.0,0.6
2656,1.0,0.5
2971,1.0,3.2
2701,1.0,2.5
2009,0.786,2.1
2629,1.0,2.5
3765,1.0,0.7999999999999999
3602,1.0,4.5
3655,1.0,1.0
2620,1.0,0.9
3710,1.0,1.7000000000000002
3039,1.0,0.6
3162,1.0,0.1
3682,1.0,6.2
3406,1.0,2.5
2324,1.0,0.7
3985,1.0,1.1
3396,1.0,1.2
2003,1.0,3.4
3717,0.801,2.2
3677,1.0,0.9
2083,1.0,1.1
3972,1.0,1.3
2070,1.0,1.2000000000000002
3780,1.0,0.6
3556,1.0,0.2
3718,1.0,4.1
2486,1.0,2.4
3011,1.0,0.9
3659,1.0,0.7
2157,1.0,3.5
2242,1.0,0.4
2437,1.0,2.1
2643,1.0,3.4
3029,1.0,6.0
2433,1.0,1.5
3674,1.0,0.4
3136,1.0,2.2
2921,1.0,3.6
2192,1.0,3.6
3069,1.0,0.2
2995,1.0,0.8999999999999999
3152,1.0,0.5
3507,1.0,4.6
2661,1.0,4.6
2689,1.0,1.3
2665,1.0,1.9000000000000001
3633,1.0,0.4
2058,1.0,0.5
3812,1.0,9.5
2707,1.0,1.4000000000000001
3234,1.0,0.4
3213,1.0,0.4
2830,1.0,4.6
2263,0.776,1.3
2870,1.0,2.4
2030,1.0,4.5
3764,1.0,1.7
2849,1.0,1.2
2235,1.0,4.1
3524,1.0,4.1
3525,1.0,3.1
3427,1.0,5.6
3048,1.0,3.1
3866,1.0,2.3000000000000003
3351,1.0,1.0
3614,1.0,4.4
3430,1.0,2.6
3514,1.0,1.3
3975,1.0,1.2
3159,1.0,0.4
2406,1.0,0.8
2658,1.0,0.7
2203,1.0,2.1
2038,1.0,0.7
2413,1.0,0.9
3106,1.0,1.6
3339,1.0,2.6
3042,1.0,0.2
2890,1.0,2.0
3745,1.0,3.1
3446,1.0,2.2
3082,1.0,1.5
3129,1.0,0.2
2472,1.0,0.5
3328,1.0,3.6
3275,1.0,0.6
3526,1.0,2.0
3142,1.0,5.0
2754,1.0,0.6
2980,1.0,1.6
2619,1.0,2.5
3666,1.0,2.8
3217,1.0,2.2
2470,1.0,5.0
3367,1.0,2.8
2761,1.0,0.8
2272,1.0,0.1
2777,1.0,4.1
3445,1.0,1.1
2660,1.0,0.2
2260,1.0,2.3
3239,1.0,2.0
3845,1.0,3.3
2309,1.0,3.7
3907,1.0,2.9000000000000004
2934,1.0,4.9
2345,1.0,1.5
2269,1.0,3.2
