,y_hat
3289,False
2081,False
2556,False
3474,False
2565,False
3784,False
2331,False
3023,False
3385,False
3135,False
3516,False
3873,False
3527,False
3156,False
2373,False
2539,False
2502,False
2724,False
2389,False
2519,False
2991,False
2247,False
2113,False
2409,False
3424,False
2490,False
3938,False
2713,False
2647,False
3528,False
3571,False
3090,False
3851,False
2056,False
2277,False
3414,False
2149,False
3837,False
3249,False
3833,False
3959,False
3206,False
3223,False
3336,False
3371,False
3822,False
2628,False
2962,False
3865,False
3419,False
3426,False
2333,False
2642,False
2285,False
2340,False
3871,False
3456,False
2164,False
2923,False
3636,False
2680,False
2411,False
2370,False
2523,False
2465,False
2421,False
3697,False
2551,False
3542,False
2915,False
2265,False
2205,False
3982,False
3678,False
3118,False
3922,False
3861,False
3370,False
2429,False
2454,False
2319,False
3562,False
3128,False
3404,False
3109,False
2120,False
3246,False
2302,False
3027,False
3150,False
2170,False
2281,False
2656,False
2971,False
2701,False
2009,False
2629,False
3765,False
3602,False
3655,False
2620,False
3710,False
3039,False
3162,False
3682,False
3406,False
2324,False
3985,False
3396,False
2003,False
3717,False
3677,False
2083,False
3972,False
2070,False
3780,False
3556,False
3718,False
2486,False
3011,False
3659,False
2157,False
2242,False
2437,False
2643,False
3029,False
2433,False
3674,False
3136,False
2921,False
2192,False
3069,False
2995,False
3152,False
3507,False
2661,False
2689,False
2665,False
3633,False
2058,False
3812,False
2707,False
3234,False
3213,False
2830,False
2263,False
2870,False
2030,False
3764,False
2849,False
2235,False
3524,False
3525,False
3427,False
3048,False
3866,False
3351,False
3614,False
3430,False
3514,False
3975,False
3159,False
2406,False
2658,False
2203,False
2038,False
2413,False
3106,False
3339,False
3042,False
2890,False
3745,False
3446,False
3082,False
3129,False
2472,False
3328,False
3275,False
3526,False
3142,False
2754,False
2980,False
2619,False
3666,False
3217,False
2470,False
3367,False
2761,False
2272,False
2777,False
3445,False
2660,False
2260,False
3239,False
3845,False
2309,False
3907,False
2934,False
2345,False
2269,False
