,y_hat
3022,False
2282,False
2701,False
2768,False
2397,False
2599,False
2593,False
2327,False
3631,False
2858,False
2345,False
3659,False
3530,False
2110,False
2344,False
2400,False
2266,False
2019,False
3573,False
2122,False
3938,False
3458,False
3871,False
2488,False
2952,False
2064,False
3162,False
3829,False
3302,False
3912,False
3059,False
3426,False
2809,False
3716,False
2933,False
3505,False
3031,False
2054,False
2408,False
2213,False
3060,False
3096,False
3239,False
3185,False
2563,False
2193,False
2635,False
2513,False
3197,False
2041,False
3336,False
3366,False
2777,False
2440,False
3160,False
2576,False
3116,False
2745,False
2656,False
2569,False
3201,False
3352,False
3412,False
2928,False
3445,False
2029,False
3331,False
3727,False
3470,False
3734,False
3989,False
3005,False
2413,False
2145,False
2663,False
2075,False
2123,False
2105,False
3604,False
3920,False
2754,False
3144,False
2404,False
2620,False
3929,False
2993,False
3111,False
2076,False
2549,False
3135,False
3835,False
3596,False
2389,False
3236,False
2521,False
3367,False
3231,False
3371,False
3189,False
3658,False
3397,False
3009,False
3210,False
3830,False
2449,False
3566,False
2818,False
2307,False
2816,False
2484,False
3682,False
3369,False
3710,False
2655,False
2406,False
3755,False
2659,False
2035,False
2171,False
2752,False
3526,False
3571,False
3794,False
2461,False
2176,False
3680,False
3549,False
3389,False
3249,False
2060,False
3996,False
2422,False
3814,False
3797,False
2814,False
2199,False
3001,False
3229,False
3093,False
2142,False
3601,False
3642,False
3653,False
2503,False
2963,False
2101,False
2934,False
3466,False
2658,False
2829,False
2348,False
3139,False
3865,False
3456,False
2965,False
2736,False
3898,False
3180,False
2786,False
2630,False
3431,False
2699,False
3815,False
2956,False
2437,False
2884,False
2138,False
2615,False
2839,False
3427,False
3564,False
3559,False
2012,False
3962,False
3889,False
3851,False
2305,False
2013,False
3882,False
2990,False
3459,False
3667,False
2522,False
3774,False
2684,False
3430,False
2921,False
3611,False
3902,False
2289,False
3003,False
3738,False
3599,False
3972,False
2804,False
2349,False
2678,False
2153,False
3967,False
2636,False
