,h_post,h_post_individualized
2224,0.6747228453646499,0.33815643191337585
3049,0.48228292605123435,0.32923322916030884
2020,0.6455802450458332,0.6555132269859314
2297,0.4889852099826392,1.0
3671,0.8174571616584645,1.0
3463,0.5870537594300371,1.0
2656,0.6500406651723308,0.5530803799629211
2106,0.7144783280682946,0.6891799569129944
3620,0.7109696477078128,0.514559805393219
3222,0.7013729798588049,0.6406995058059692
3804,0.614967045578222,1.0
2043,0.8479766351571615,1.0
3980,0.6728121559812215,1.0
3401,0.6261640151466301,0.6136978268623352
3256,0.3130247870773711,0.0065844557248055935
3740,0.7322398243364443,1.0
2165,0.6167549518787697,0.1402723342180252
2323,0.7478365555391975,0.7252926230430603
3423,0.9026889580223845,1.0
3974,0.7112574285432987,0.645963191986084
2540,0.7439651254717086,1.0
3063,0.8539457271682876,0.5704793334007263
2494,0.4937286210443628,0.12234852463006973
2097,0.8676838206603965,1.0
3940,0.6871658935806932,1.0
3834,0.9027399690368323,1.0
2229,0.880710717377418,1.0
3146,0.7951364920576184,1.0
3791,0.7911929999665523,1.0
2283,0.8104997260685826,1.0
2041,0.6777291753861204,0.25730639696121216
3195,0.2684897569635748,0.03852411359548569
3405,0.8156432695118273,1.0
2198,0.6533229882170468,1.0
3899,0.9289748446645956,1.0
2627,0.3476178273996829,0.15428371727466583
2545,0.5917911789518304,0.41556644439697266
2372,0.947666150302656,0.3846481740474701
3085,0.8138094713830071,1.0
3220,0.6930557705976906,0.5844842195510864
3868,0.60501060563373,0.30367884039878845
3786,0.3188897748584715,0.24697545170783997
2923,0.7199790109441481,0.30172109603881836
2315,0.9005367397059488,1.0
2242,0.6949358338133131,0.562816321849823
2226,0.8755975825368925,1.0
2302,0.7148061959513903,1.0
2173,0.724239874637481,1.0
2900,0.5553530898050498,0.18952099978923798
2235,0.5566907111899039,1.0
3562,0.7299387259902762,1.0
2471,0.5576932227262866,0.5639790296554565
3567,0.8455698475202643,1.0
3594,0.38661249218830274,0.17290714383125305
2950,0.7307028021098867,1.0
2243,0.7271877481789669,0.2539965808391571
3811,0.9370881509507375,1.0
3451,0.8936214360212957,1.0
3635,0.29181878427087504,0.01714276149868965
2497,0.7620118076261059,0.6261838674545288
3774,0.6239726372038878,1.0
2851,0.560045606129996,0.5283682346343994
3915,0.7251295484584394,0.06361847370862961
2590,0.7312153486247912,0.6640825271606445
3429,0.8750005256326323,1.0
3603,0.6726676050887529,0.5700882077217102
3384,0.5143411332302132,0.48212918639183044
3151,0.8680177707489412,1.0
2588,0.81218463618622,1.0
2847,0.83618764528101,1.0
3889,0.6189099528249105,0.6592848896980286
3320,0.7777153849916036,1.0
3435,0.6262642180682424,1.0
2770,0.8638810673616539,1.0
2407,0.7376369899803191,0.3755738139152527
3440,0.6870828643545118,0.6755325198173523
2273,0.8439240038050341,1.0
3407,0.727179340724068,1.0
2119,0.7081879373705041,0.4861938953399658
3376,0.44878093751982295,0.4325507581233978
2038,0.8611647727091446,1.0
3565,0.8398674806788071,1.0
2305,0.8408893731504357,1.0
3243,0.8870116953587525,1.0
3581,0.6867218128559487,0.36549973487854004
2370,0.8381011355800069,1.0
3344,0.8248078059922241,1.0
3883,0.7555428075395019,0.11735931783914566
3855,0.7163431249553872,1.0
3609,0.6355680986312141,0.6736217737197876
3700,0.1906412687209288,1.0
2561,0.8411364128287403,0.5956891179084778
3844,0.9532008429920522,1.0
3575,0.8374609248269813,1.0
2834,0.7482014976211168,1.0
3523,0.8289849074751265,1.0
3528,0.5222572045990692,1.0
2960,0.9091702496470122,0.5034914016723633
3245,0.871133398746525,1.0
2772,0.7763315249294825,0.6586325764656067
3836,0.759170827527775,1.0
2337,0.8093196765044485,1.0
2336,0.7118902482906042,0.6316676139831543
2162,0.6351727626287421,0.5938289165496826
3822,0.5673285537875958,0.37979382276535034
3576,0.7485035451982808,1.0
3922,0.7109512125021963,1.0
