,x1,x2,x3
2116,0.72684264,0.06481379,2.4077635
2176,0.06483398,1.1103405,-1.1447182
3331,0.84022325,0.31220448,1.9672067
3072,0.09614178,0.9792801,0.8163123
3664,0.81416553,0.81125337,2.851011
2774,-0.4887789,1.575402,1.7166564
2743,1.0906333,-0.0053636553,2.5597985
2611,0.7230047,-1.0483558,-0.51683074
2276,0.77413577,-0.19548434,0.8821163
3937,0.5555254,0.6051841,-0.16867185
2349,0.6696998,-0.51636803,0.4429345
2961,0.6208731,-0.70893764,1.0935853
3707,0.6477966,0.3061428,1.4062169
3865,0.42141968,0.66617924,0.86114484
2563,0.70099336,0.15263283,-0.24935168
3644,0.6796824,-0.3615849,-1.1874825
3461,0.72531855,-0.8030318,1.0024345
3811,0.6586126,-1.7686762,1.0561236
2588,0.8677575,-0.05779636,1.2549106
2041,0.63984627,0.054796696,0.81811917
3523,0.72340804,-0.58039135,-0.03433396
2341,0.79584026,0.19934893,1.3809092
3178,0.9061021,0.480763,1.3224827
2234,0.13364832,0.94513845,1.715614
3949,0.67151606,0.57218796,3.405534
3460,0.299824,0.7337877,2.5236113
2680,0.6246166,0.37002563,2.8304937
2235,0.73154426,-0.28018153,0.106462836
3493,0.74454325,1.8136702,2.0900316
2713,0.6129329,0.3897396,2.7181325
2616,0.7498679,-0.14378428,1.9529783
2634,0.80904365,0.59000957,3.2003682
2666,0.70293707,0.45418936,-0.2697649
2923,0.42770472,0.6779413,1.4315736
2363,0.7730792,0.75936484,2.6234083
2045,0.65548944,0.7684642,1.6528013
3210,0.6685708,0.43774146,1.7524061
3004,0.13921621,1.0762262,1.3779566
2057,0.7382082,-0.3926072,0.27964008
3553,0.8915634,0.2687365,0.5976242
2542,0.8585142,0.17215449,0.30723405
2795,0.8936465,-0.5574043,0.05757177
2887,0.13233414,1.0108904,1.5656147
2934,0.76062655,-0.545015,0.34529728
3095,0.7300694,-0.27672005,1.9272934
3304,0.7659476,-0.17286527,2.865275
3007,0.2021999,0.9452093,2.6622581
2150,0.608095,1.3178507,1.3649664
2330,0.67903686,0.10599291,0.76151836
2160,0.8764797,0.19008856,1.8556085
2825,0.6971062,-0.42079324,-0.27237505
2030,0.64501333,-0.06721723,2.3687673
3851,0.77778524,1.369817,2.1232712
3323,-0.7330899,1.9164563,0.49463814
3520,0.92300355,0.5862806,0.66103625
3225,0.6912995,-0.20072085,1.7129086
2929,0.7185223,-0.0051569343,0.5205023
3255,0.67576987,2.4597971,4.084538
2417,0.7246887,1.448228,4.2192183
2327,0.7987045,1.1510804,1.760129
2537,-0.16493301,1.1731522,1.236572
2675,0.09140571,0.98105323,0.33354163
3202,0.72155845,0.607903,2.0744271
3031,0.8228314,-0.072147846,0.8008931
3547,0.7440058,-0.6260078,0.07116139
2013,0.3359505,0.7897807,3.1463003
3082,0.15345518,0.92185944,1.6394892
3480,0.6061929,-0.56877536,1.2237473
3714,0.62393904,1.2410045,4.274766
2857,0.96533597,0.47654882,0.21325696
3634,0.88635117,-0.46131176,-0.52199876
2335,0.6738301,0.77650714,2.3616178
2009,0.6392862,0.9375912,1.1149154
3376,0.6568591,0.97938603,-0.2305274
3622,0.7496553,1.0344778,2.3171327
3352,0.6700417,0.41624558,3.152406
2516,0.23948812,0.8677065,0.7865912
3540,0.79385793,0.70846313,0.34784055
3826,0.20627102,0.8421859,2.9610314
3662,0.56784767,0.5773667,2.0977824
3419,0.6458279,1.0622153,2.7064548
2914,0.43463016,0.67893785,2.1012628
2238,0.7064014,0.5908483,2.3422837
3481,0.99034727,0.15997186,0.939685
3828,0.65796244,0.5120591,0.322268
3651,0.7722436,0.30427128,2.6966872
3153,0.748518,1.5395265,2.6765656
3056,0.754435,-0.30472797,0.7362344
2620,0.5312045,-1.1191552,-1.1481298
3766,0.6693828,-1.6085129,-0.7660437
2248,-0.09699327,1.1878903,3.6756635
2262,0.72948205,1.7393569,3.633209
3507,0.7848312,0.21099049,1.0180517
2004,0.29150018,0.85981655,0.73332214
3748,0.7626545,1.2420608,2.8972223
2641,0.77922404,0.34973207,1.759929
3289,0.7538824,0.69896406,0.8605753
2849,0.86004907,-1.0615604,0.62490684
3588,0.08585351,1.0307423,1.7602966
3686,0.5595314,0.15922198,2.4166012
3885,-0.2226309,1.32905,0.75456846
2217,0.12575977,1.0347186,2.032605
2137,0.73526365,0.7462961,3.361199
2470,0.7585465,-0.026286185,0.4408201
2466,0.76955056,0.49854967,1.0689714
3183,0.7111628,-0.5526475,2.0958312
3026,0.6902424,1.0152633,2.8491237
3895,0.75835896,0.81132007,1.9866548
3195,0.36847374,0.6372696,-0.4367895
3076,0.6368871,0.43331525,2.363211
2560,0.016511228,1.0453901,1.4577037
2582,0.82121944,-1.2851968,1.7295125
3459,0.8954092,0.24961846,2.5946188
