,x1,x2,x3
2116,-0.57315737,-1.2351862,-1.1922365
2176,-1.535166,-1.4896595,-5.344718
3331,-0.7597768,-1.2877955,-1.2327933
3072,0.09614178,0.47928014,0.31631228
3664,-0.9858345,-0.98874664,-1.7489889
2774,-2.1887789,-0.72459793,-3.2833436
2743,-1.2093667,-2.8053637,-3.5402017
2611,-0.8769953,-2.648356,-3.716831
2276,-0.025864206,-0.9954843,-0.7178836
3937,0.055525407,-1.7948159,-4.0686717
2349,0.3696998,-0.816368,-0.15706542
2961,0.020873105,-1.3089377,-0.106414795
3707,-0.35220343,-1.6938572,-1.5937831
3865,-0.47858033,0.36617926,-0.33885515
2563,0.30099335,-0.24736717,-1.0493517
3644,0.2796824,-0.7615849,-1.9874824
3461,0.32531857,-1.2030318,-0.79756546
3811,-0.3413874,-2.7686763,-1.9438764
2588,0.26775748,-0.55779636,-0.8450895
2041,-0.7601537,-1.3452033,-1.9818807
3523,0.32340807,-0.9803913,-0.8343339
2341,-0.004159718,-0.600651,-1.2190907
3178,0.20610215,-0.21923698,-0.07751727
2234,-1.6663517,-1.0548615,-3.084386
3949,-1.7284839,-1.8278121,-2.394466
3460,-1.700176,-1.9662123,-3.1763887
2680,-0.9753834,-0.82997435,-0.9695063
2235,-0.46845576,-1.4801816,-3.2935371
3493,-1.5554568,-0.4863298,-3.5099683
2713,-0.6870671,-0.91026044,0.11813241
2616,0.049867887,-0.84378433,-0.44702187
2634,-0.090956375,-0.30999047,0.40036815
2666,0.20293707,-1.3458107,-2.5697649
2923,-1.4722953,-0.6220587,-1.7684263
2363,-1.0269208,-1.0406352,-0.9765917
2045,-0.14451055,-0.031535797,0.052801326
3210,0.5685708,-1.7622585,-0.54759383
3004,-0.46078378,0.6762262,-0.62204343
2057,0.03820817,-1.0926073,-1.12036
3553,0.3915634,-0.43126348,-0.60237586
2542,-1.2414858,-1.9278455,-3.892766
2795,0.79364645,-0.6574043,-0.14242828
2887,-0.96766585,0.71089035,-0.8343853
2934,-0.93937343,-2.245015,-4.0547028
3095,-0.36993062,-1.3767201,-0.27270663
3304,-1.1340524,-2.0728652,-1.9347252
3007,-0.8978001,-2.3547907,-2.7377417
2150,-0.791905,-0.08214927,-2.4350336
