ix,goal_cost,intv_cost
3620,1.0,2.5
2853,1.0,2.7
3717,1.0,3.4
3766,1.0,0.6
2115,1.0,4.8
2019,0.93,0.1
3089,1.0,4.1
2151,1.0,0.4
3371,0.756,0.2
2429,1.0,1.7
2983,1.0,2.3
2672,1.0,1.9000000000000001
2857,0.768,3.5
3342,1.0,2.2
2456,1.0,2.9
2028,1.0,2.6
2042,1.0,0.6
2261,1.0,7.1
3558,1.0,4.0
3633,1.0,3.0
3822,1.0,1.5
2838,1.0,3.9
3253,1.0,1.4
3363,0.89,2.0
2441,1.0,0.9
2483,1.0,0.9
3604,1.0,1.3
2745,0.752,1.2
3547,0.762,2.5
3493,1.0,0.2
3017,1.0,1.7
3821,1.0,2.0
3596,1.0,0.8
2562,1.0,2.0
3103,1.0,2.1
2439,0.792,5.6
3059,1.0,4.5
3742,1.0,1.6
3784,1.0,0.9
2948,1.0,2.6
3369,1.0,2.0
3000,1.0,3.3000000000000003
2749,1.0,4.3
2906,1.0,3.2
3160,1.0,3.5
3262,1.0,0.1
3887,0.784,0.8
2998,0.784,2.6
3542,1.0,2.0
3244,0.814,5.5
2160,1.0,4.499999999999999
2895,1.0,3.1
2958,0.76,0.1
2193,1.0,0.6
2500,1.0,0.9
3844,0.836,0.6
2430,1.0,3.7
2016,1.0,1.8
3061,1.0,1.7
2119,0.874,3.5
3370,1.0,0.8
2013,1.0,2.6
2819,1.0,0.4
3044,1.0,3.2
2196,1.0,3.0
2727,1.0,0.30000000000000004
3224,1.0,1.7
3792,1.0,3.0
3908,1.0,1.7000000000000002
2407,1.0,3.3
3353,0.876,0.1
3685,1.0,0.8999999999999999
2462,1.0,2.3
3107,1.0,0.3
3733,1.0,0.7
2391,1.0,3.3
3154,1.0,5.1
2108,1.0,0.3
3007,1.0,2.6
3657,0.876,0.4
3824,1.0,1.8
2966,0.826,4.1
2077,0.832,4.5
2645,1.0,2.1
3192,1.0,1.6
3151,1.0,0.5
2295,0.78,0.4
3796,1.0,2.4
3951,1.0,0.9
3555,1.0,2.4
2469,1.0,1.0
2921,1.0,2.5
3207,1.0,0.6
3032,1.0,6.0
3027,1.0,1.0
3802,1.0,5.4
3180,0.79,1.2
2834,1.0,4.0
3757,1.0,0.4
3312,0.814,0.1
2999,1.0,5.0
3642,1.0,0.2
2370,1.0,4.0
2153,1.0,2.0
2769,1.0,4.3
3997,1.0,1.1
3199,1.0,4.4
2373,1.0,0.7
3181,1.0,4.4
3876,1.0,1.4
3281,1.0,3.6
3266,1.0,2.4
2184,1.0,0.1
2901,1.0,4.3
3931,1.0,1.4
2103,1.0,0.30000000000000004
2726,1.0,4.6000000000000005
3219,1.0,0.5
2883,0.756,1.3
2609,1.0,1.8
3995,1.0,1.0
3687,1.0,5.8999999999999995
3669,1.0,0.1
2798,1.0,0.5
2489,1.0,0.6
3892,1.0,1.3
3355,1.0,0.2
2787,1.0,2.5
2267,1.0,3.7
3275,1.0,5.1000000000000005
3337,1.0,3.2
3979,1.0,0.1
3056,1.0,2.6
3922,1.0,0.6
2774,1.0,2.4
2194,1.0,1.3
2286,1.0,2.0
2504,0.772,4.699999999999999
2146,1.0,6.5
3297,1.0,3.6
2837,0.804,1.5
2435,1.0,1.4
2525,1.0,1.2
2831,1.0,1.9
2293,1.0,3.6
2750,1.0,2.1
2277,1.0,0.9
2035,1.0,2.5
3607,1.0,1.6
3299,1.0,0.3
3147,1.0,2.7
3116,1.0,5.9
3817,1.0,2.9
3863,0.81,5.1
3329,1.0,0.9
2836,1.0,3.7
3062,1.0,2.8000000000000003
2869,1.0,5.0
3507,1.0,0.3
3318,1.0,1.1
3727,1.0,1.2000000000000002
2693,1.0,4.0
2122,0.804,0.1
2058,1.0,1.1
3615,1.0,0.9
3780,1.0,3.2
2487,1.0,6.8999999999999995
3240,0.844,0.1
2676,1.0,0.1
3190,1.0,3.2
2665,1.0,1.4
3264,1.0,4.3
2420,1.0,1.0
3707,1.0,0.5
3278,1.0,1.4
2412,0.792,1.0
2952,1.0,3.5
2237,1.0,1.3
2938,1.0,1.3000000000000003
2753,1.0,0.9
2048,0.834,1.6
2205,1.0,0.8999999999999999
2523,1.0,0.5
3740,1.0,2.8
2377,1.0,1.4000000000000001
2415,1.0,3.4
2431,1.0,3.7
2969,1.0,2.1
3617,1.0,0.5
3476,1.0,0.9
2625,1.0,1.9
3690,1.0,0.30000000000000004
3736,1.0,0.7
2249,1.0,0.4
2354,1.0,0.8
3335,1.0,1.5
3131,0.928,4.3
3070,1.0,0.8
3705,1.0,3.9
2520,1.0,1.6
