,y
2058,0.0
3731,0.0
3270,1.0
3039,1.0
2441,0.0
2518,0.0
3372,0.0
3116,0.0
2903,0.0
3376,0.0
2798,1.0
3015,0.0
2126,0.0
3705,0.0
2840,1.0
2405,1.0
2146,0.0
3512,0.0
2350,0.0
2719,0.0
3529,0.0
3196,0.0
2423,0.0
2277,0.0
3600,0.0
2165,0.0
3986,0.0
3739,0.0
3917,0.0
3013,0.0
3169,0.0
3185,0.0
3413,0.0
2650,1.0
3154,0.0
2412,1.0
2601,1.0
3164,0.0
2314,1.0
3298,0.0
2805,0.0
3350,1.0
2439,0.0
3240,0.0
2925,1.0
2237,0.0
3904,0.0
2960,0.0
3592,0.0
2272,1.0
3016,0.0
3271,0.0
2502,0.0
2239,1.0
3112,0.0
2184,1.0
2830,0.0
2537,0.0
2983,0.0
2915,0.0
2666,0.0
3987,0.0
3226,0.0
2330,0.0
3501,0.0
3066,0.0
3012,1.0
3548,0.0
2217,1.0
3881,0.0
3163,0.0
2576,0.0
3337,0.0
3320,0.0
3473,0.0
2890,0.0
3373,0.0
3713,0.0
2112,1.0
3421,0.0
2683,0.0
3035,0.0
3369,0.0
3683,0.0
2193,0.0
2509,0.0
3080,0.0
3120,0.0
3871,1.0
2966,0.0
2173,0.0
2602,0.0
3433,0.0
3598,1.0
2679,0.0
3902,1.0
3527,0.0
2619,1.0
2282,1.0
2491,0.0
2188,0.0
2849,0.0
2577,0.0
3263,0.0
3597,0.0
3474,0.0
2787,0.0
2831,0.0
2362,0.0
2682,0.0
2048,1.0
2677,0.0
3802,0.0
2040,0.0
2811,0.0
3855,0.0
3152,0.0
3203,0.0
3412,1.0
3632,0.0
3191,0.0
3926,0.0
3078,0.0
2392,0.0
3366,0.0
3702,1.0
3837,0.0
3245,0.0
3070,0.0
2028,0.0
3205,0.0
3055,0.0
3988,0.0
2415,0.0
2402,0.0
3541,0.0
3660,0.0
2379,0.0
3930,0.0
2539,0.0
2016,0.0
3458,0.0
3343,0.0
2745,0.0
3752,0.0
2656,0.0
3690,0.0
2148,0.0
3465,0.0
3769,0.0
2629,0.0
3619,0.0
3721,1.0
2492,0.0
3748,1.0
3903,0.0
3192,0.0
2501,0.0
2287,0.0
3044,0.0
3593,0.0
2866,0.0
3493,0.0
2919,0.0
2326,0.0
3215,0.0
2211,0.0
2856,0.0
3318,0.0
2726,0.0
2841,0.0
3187,0.0
2169,0.0
2416,1.0
2407,0.0
3931,0.0
2976,0.0
3221,0.0
2065,1.0
2904,0.0
2300,0.0
3075,0.0
3351,0.0
3378,1.0
3395,0.0
2874,0.0
3451,0.0
2751,0.0
3193,0.0
3089,0.0
2368,0.0
2906,0.0
3437,0.0
2992,0.0
3499,0.0
2689,0.0
3835,0.0
3685,0.0
3461,0.0
2473,0.0
