,u_x1,u_x2,u_y,u_x3
2000,0.68108785,0.5389704,0.07087946,0.5985915
2001,-0.5966484,-0.49670726,0.9148507,-0.8008042
2002,0.5782756,-0.16049922,0.2791735,0.8615216
2003,0.23750554,1.3861041,0.5964277,0.6180899
2004,-0.45862603,-0.15039839,0.91440654,-0.9132301
2005,-0.7706664,0.44042513,0.9363725,-0.4311672
2006,0.15495053,0.09901656,0.88770854,0.14364506
2007,2.224304,0.19602863,0.03235674,1.1734092
2008,-0.24912795,2.2888842,0.30414402,1.3807073
2009,0.23143949,-0.40493056,0.4882815,-0.59873146
2010,0.36846122,-1.9870399,0.038721442,0.6176302
2011,-0.16798559,-1.0198127,0.91022575,-1.3849224
2012,2.2941918,-0.69965875,0.67858195,0.35150006
2013,-0.4747456,-0.7329315,0.22989452,-0.5434235
2014,0.79539883,-0.08522534,0.7563871,0.37311006
2015,-0.18584107,1.3265648,0.6099051,0.81673926
2016,-0.5474939,-0.563726,0.24415529,0.30485448
2017,-0.62776035,-0.62080693,0.9373498,-0.40999165
2018,0.7793897,1.7707045,0.93504417,-0.3833923
2019,0.7103417,-0.208444,0.8570342,-1.9354861
2020,-1.9745003,0.029447006,0.55719805,-0.8292007
2021,-1.3351433,1.5019482,0.43296862,-0.15104848
2022,0.61478615,-1.4235194,0.75933254,-1.6460605
2023,1.6982462,-0.66953754,0.5527545,-1.1854203
2024,0.7885402,0.19676189,0.3161683,-0.6246165
2025,0.34188902,-0.9015677,0.49315846,1.1117791
2026,0.30087206,0.6624539,0.622772,1.2063749
2027,1.0996119,-0.45894137,0.44547725,0.8160729
2028,-1.1731961,-1.284057,0.05726266,1.2846702
2029,0.8281933,1.7958084,0.35538244,-0.27368575
2030,-0.12886094,0.5347225,0.5208194,1.3646338
2031,0.7948147,-0.5333494,0.28137898,0.2558214
2032,-0.39877534,-0.3858006,0.1947583,2.9805644
2033,-1.0596516,1.149247,0.05478823,0.06560437
2034,0.14598921,-0.4128977,0.9560307,0.2731592
2035,0.522886,-2.3823216,0.64932203,-0.5723498
2036,1.0189283,0.0691839,0.8416947,-0.76156336
2037,1.5150032,-0.6843874,0.5712321,-0.3564109
2038,0.35741106,-1.0188276,0.10806286,0.79139096
2039,-0.5804075,-0.07708758,0.43945646,0.4360993
2040,0.44328773,-0.15957396,0.97558844,-1.1978225
2041,1.0605317,0.0030297479,0.5115814,-0.55386966
2042,0.25620276,-0.92167175,0.30135357,-0.6509998
2043,1.0249845,0.9594772,0.91373765,1.013721
2044,0.36019793,-0.703388,0.2264688,2.015416
2045,1.8879929,-0.81276613,0.28015983,-1.6823658
2046,-2.085688,-0.32320356,0.14454257,0.68849516
2047,2.866321,0.8868941,0.2865057,0.3361659
2048,-0.1516146,1.4876386,0.21534204,-3.05422
2049,0.013649397,1.2229239,0.8603009,0.52944785
2050,0.29163724,0.71197206,0.890201,-1.2850261
2051,-0.85833406,-1.6428794,0.42826855,-1.3270357
2052,-0.115754955,-1.8012865,0.390352,-2.8510418
