,y_hat
2158,False
2031,False
2580,False
3915,False
2535,False
2934,False
2801,False
2433,False
3052,False
2075,False
2278,False
2460,False
3657,False
2665,False
3101,False
2656,False
3153,False
2870,False
3125,False
3688,False
3133,False
2422,False
2568,False
2044,False
2077,False
2087,False
2140,False
3102,False
3155,False
3618,False
3526,False
3434,False
2401,False
3340,False
3182,False
3010,False
2869,False
2855,False
3055,False
3285,False
2488,False
3258,False
3060,False
3347,False
3197,False
3935,False
2384,False
3126,False
3732,False
2553,False
3883,False
2070,False
2936,False
3524,False
2216,False
2569,False
2069,False
3812,False
3877,False
3991,False
3501,False
3157,False
3338,False
3504,False
2524,False
2112,False
3580,False
3955,False
2045,False
2852,False
2952,False
2477,False
3853,False
2979,False
3284,False
3247,False
2826,False
3735,False
3769,False
3110,False
3282,False
3111,False
2517,False
3774,False
3397,False
3958,False
2616,False
2516,False
2107,False
3371,False
2571,False
3165,False
3722,False
3977,False
3335,False
2774,False
2549,False
2000,False
2394,False
2036,False
3836,False
2921,False
2659,False
2234,False
3826,False
2904,False
3533,False
2783,False
3503,False
3089,False
3996,False
2161,False
3993,False
2720,False
3385,False
3066,False
3601,False
3176,False
2833,False
3864,False
2052,False
3268,False
2198,False
2636,False
3195,False
3963,False
2501,False
3642,False
2550,False
3304,False
3751,False
2491,False
2018,False
2600,False
2092,False
2548,False
3898,False
3651,False
3655,False
2739,False
3462,False
2798,False
3109,False
3976,False
2889,False
3318,False
2492,False
2556,False
2487,False
3831,False
3276,False
3073,False
3046,False
3259,False
3460,False
3858,False
2448,False
3557,False
3777,False
3324,False
3597,False
2955,False
3798,False
3365,False
2947,False
2174,False
2591,False
2626,False
3151,False
3238,False
3934,False
2255,False
3404,False
3690,False
3461,False
2359,False
3198,False
2686,False
2661,False
2131,False
3161,False
2693,False
3712,False
3502,False
3190,False
2269,False
2794,False
2627,False
3573,False
3029,False
3867,False
2840,False
2436,False
2542,False
3356,False
3741,False
3211,False
2103,False
3059,False
2917,False
