,h_post,h_post_individualized
3039,0.58,
2524,0.54,
2651,0.5,
3126,0.5,
3653,0.5,
2186,0.54,
2469,0.54,
3182,0.54,
2852,0.58,
2798,0.54,
2658,0.54,
3641,0.54,
3516,0.54,
2036,0.54,
3428,0.54,
2013,0.54,
2044,0.54,
3211,0.54,
3834,0.54,
2917,0.58,
3108,0.54,
3750,0.54,
3777,0.54,
2246,0.54,
3642,0.54,
2190,0.54,
3307,0.54,
2840,0.54,
3732,0.54,
3870,0.54,
3296,0.54,
3371,0.54,
2448,0.5,
3221,0.5,
3125,0.58,
3407,0.54,
3347,0.54,
3919,0.54,
3198,0.54,
3570,0.54,
3340,0.54,
2539,0.58,
2384,0.58,
3424,0.52,
2992,0.52,
2410,0.5,
2071,0.54,
3467,0.58,
3453,0.54,
2419,0.54,
2061,0.54,
3157,0.52,
3621,0.54,
2676,0.54,
2873,0.54,
3681,0.54,
2466,0.54,
3257,0.54,
3797,0.54,
3654,0.54,
3817,0.54,
3706,0.54,
3228,0.54,
2367,0.58,
3743,0.54,
2493,0.5,
2269,0.54,
2003,0.52,
2018,0.54,
3477,0.54,
3922,0.54,
3667,0.54,
2506,0.58,
2361,0.58,
3350,0.54,
2155,0.54,
3708,0.58,
2640,0.5,
3264,0.54,
3506,0.5,
3318,0.54,
3592,0.5,
2549,0.54,
3836,0.52,
3401,0.94,
3802,0.52,
3504,0.54,
2139,0.58,
3736,0.54,
3385,0.54,
3501,0.54,
2238,0.54,
2542,0.54,
3180,0.54,
3073,0.54,
3657,0.54,
2728,0.58,
2973,0.54,
2324,0.54,
2997,0.54,
2355,0.54,
3945,0.54,
2031,0.58,
2792,0.54,
2622,0.54,
3261,0.54,
3439,0.54,
3858,0.52,
2584,0.52,
2074,0.54,
2462,0.54,
3938,0.58,
3238,0.54,
3623,0.54,
2812,0.5,
3776,0.54,
2955,0.5,
2145,0.58,
3289,0.54,
2224,0.54,
3883,0.52,
2693,0.54,
3722,0.54,
2392,0.52,
2739,0.54,
2602,0.54,
2076,0.54,
3247,0.54,
3508,0.54,
3480,0.58,
3224,0.54,
2402,0.58,
2741,0.54,
3294,0.54,
2571,0.54,
3651,0.54,
3673,0.54,
2336,0.54,
2095,0.54,
3996,0.54,
2947,0.54,
3771,0.54,
2807,0.54,
2103,0.54,
2878,0.54,
3341,0.5,
2920,0.54,
3783,0.54,
2331,0.54,
2936,0.54,
2487,0.58,
3258,0.52,
2977,0.5,
3249,0.58,
3093,0.54,
2847,0.54,
3498,0.54,
2268,0.54,
2455,0.64,
2511,0.5,
2048,0.54,
2682,0.58,
3983,0.54,
2976,0.54,
3814,0.54,
3665,0.54,
2975,0.54,
3427,0.8,
2930,0.58,
3992,0.54,
2686,0.54,
3236,0.54,
3408,0.58,
3645,0.54,
3760,0.54,
3551,0.54,
3627,0.58,
3917,0.54,
2389,0.84,
3898,0.54,
3811,0.54,
3018,0.54,
3772,0.54,
2385,0.54,
3442,0.54,
2491,0.52,
3912,0.54,
3552,0.58,
2789,0.54,
3590,0.54,
3639,0.54,
2138,0.54,
3613,0.54,
3028,0.54,
2783,0.58,
3622,0.58,
3160,0.52,
3079,0.54,
3638,0.54,
2899,0.5,
