,years_experience,degree
3783,2.0,0.0
2143,0.0,1.0
3786,0.0,3.0
3901,0.0,1.0
3236,0.0,2.0
2755,0.0,3.0
2690,0.0,3.0
3470,1.0,0.0
3604,2.0,0.0
2540,1.0,1.0
3368,0.0,3.0
3534,0.0,1.0
2557,0.0,3.0
3628,0.0,2.0
2945,0.0,2.0
3580,2.0,1.0
3687,0.0,3.0
2438,0.0,1.0
2680,1.0,2.0
3169,0.0,3.0
2582,0.0,2.0
3042,0.0,3.0
3211,0.0,3.0
3693,0.0,2.0
3769,0.0,2.0
3033,0.0,2.0
2311,1.0,1.0
3330,2.0,1.0
2309,2.0,0.0
3434,1.0,1.0
3223,0.0,1.0
3071,2.0,0.0
3854,1.0,1.0
3552,1.0,0.0
3910,1.0,1.0
3069,1.0,0.0
2373,0.0,1.0
2615,1.0,1.0
3657,1.0,1.0
2129,1.0,0.0
3352,1.0,0.0
2341,0.0,1.0
3746,0.0,2.0
2708,2.0,1.0
2178,1.0,1.0
2303,1.0,0.0
3903,0.0,1.0
2235,1.0,2.0
3479,0.0,3.0
3051,1.0,1.0
3076,0.0,2.0
3047,1.0,0.0
3156,2.0,0.0
2923,1.0,1.0
3642,0.0,2.0
3772,2.0,1.0
3718,0.0,1.0
2260,2.0,0.0
3416,0.0,3.0
2089,0.0,2.0
3101,0.0,1.0
3545,0.0,1.0
2402,2.0,0.0
2687,1.0,0.0
2504,0.0,2.0
2115,0.0,1.0
3446,0.0,3.0
2286,1.0,0.0
2911,0.0,1.0
2927,0.0,3.0
3356,1.0,0.0
2523,1.0,0.0
2924,0.0,3.0
3666,0.0,2.0
3308,1.0,1.0
3960,0.0,1.0
3524,1.0,0.0
2306,0.0,1.0
2937,0.0,2.0
3491,1.0,0.0
3350,0.0,2.0
3997,0.0,1.0
3603,1.0,0.0
2627,3.0,0.0
2475,0.0,1.0
2928,1.0,2.0
3626,0.0,1.0
2737,0.0,1.0
3629,1.0,0.0
3383,0.0,2.0
3818,0.0,2.0
2790,2.0,0.0
3875,0.0,3.0
2613,0.0,3.0
3081,1.0,0.0
2329,0.0,2.0
2910,2.0,0.0
2921,2.0,0.0
3856,0.0,3.0
3696,2.0,0.0
2617,0.0,2.0
2640,0.0,3.0
3991,2.0,1.0
3880,2.0,0.0
2389,0.0,1.0
3622,2.0,0.0
2587,1.0,1.0
3379,0.0,3.0
2298,1.0,1.0
2537,0.0,3.0
3868,0.0,3.0
3151,3.0,0.0
3673,1.0,0.0
2728,0.0,2.0
3276,0.0,2.0
2565,1.0,1.0
2113,0.0,2.0
3467,1.0,2.0
3541,2.0,0.0
3569,2.0,0.0
2081,0.0,2.0
3624,0.0,1.0
2012,0.0,1.0
3595,0.0,2.0
2966,0.0,2.0
3497,2.0,1.0
3627,0.0,1.0
2068,0.0,2.0
2558,2.0,0.0
2525,1.0,0.0
2206,0.0,3.0
3437,2.0,0.0
2252,2.0,0.0
3590,1.0,0.0
2401,2.0,1.0
2053,0.0,1.0
2066,0.0,1.0
2514,0.0,3.0
3812,0.0,1.0
3044,0.0,3.0
3923,1.0,1.0
2413,0.0,2.0
3741,0.0,2.0
2931,0.0,1.0
3737,3.0,0.0
2314,0.0,2.0
2971,0.0,1.0
3272,0.0,2.0
3542,0.0,1.0
3153,1.0,1.0
2468,0.0,3.0
3052,0.0,3.0
2282,1.0,2.0
3214,0.0,2.0
3158,3.0,0.0
2626,0.0,3.0
3711,2.0,1.0
2293,0.0,2.0
3613,0.0,2.0
2616,0.0,2.0
2160,0.0,2.0
2541,0.0,3.0
3270,0.0,1.0
3194,1.0,1.0
3730,0.0,1.0
2496,0.0,1.0
3618,1.0,1.0
3608,1.0,0.0
2976,0.0,3.0
3112,1.0,1.0
3380,0.0,2.0
3539,1.0,0.0
3998,0.0,3.0
2883,0.0,1.0
2511,1.0,0.0
3914,0.0,1.0
2913,0.0,1.0
2182,2.0,0.0
2453,0.0,2.0
3570,0.0,2.0
2264,0.0,1.0
2362,0.0,1.0
2253,2.0,0.0
3636,0.0,3.0
2172,1.0,0.0
2800,0.0,2.0
2954,0.0,1.0
2736,2.0,1.0
2775,1.0,0.0
3337,0.0,2.0
2761,0.0,2.0
2612,1.0,1.0
3672,3.0,0.0
2670,2.0,1.0
2490,1.0,0.0
2854,2.0,1.0
2934,0.0,1.0
3282,0.0,2.0
2809,0.0,1.0
2432,2.0,1.0
