,y_hat
19426,False
13601,False
15728,False
16772,False
11802,False
11020,False
14667,False
12776,False
18969,False
11415,False
10977,False
13908,False
17190,False
11404,False
18141,False
17134,False
16799,False
12148,False
14400,False
15708,False
16215,False
12269,False
10253,False
18254,False
17412,False
17088,False
14828,False
19248,False
16267,False
12593,False
10966,False
10902,False
15797,False
11012,False
14974,False
19326,False
13728,False
16198,False
19846,False
12650,False
16471,False
19482,False
10987,False
15933,False
18195,False
15621,False
10785,False
11018,False
15123,False
13442,False
16152,False
17337,False
17770,False
18649,False
19497,False
12644,False
17065,False
12715,False
15345,False
10476,False
10686,False
16677,False
17432,False
12272,False
17658,False
18047,False
15096,False
14279,False
16726,False
12296,False
12072,False
18288,False
14244,False
16008,False
13558,False
11657,False
18058,False
10349,False
19253,False
17620,False
16441,False
16697,False
11734,False
13765,False
12453,False
14256,False
13849,False
11089,False
16950,False
19410,False
11418,False
11624,False
12226,False
16042,False
12438,False
13048,False
17151,False
10851,False
12794,False
19185,False
18423,False
18885,False
14682,False
11080,False
14369,False
18635,False
14923,False
17906,False
10565,False
16883,False
14902,False
12378,False
19721,False
13874,False
11272,False
18689,False
10422,False
10369,False
15974,False
14578,False
15911,False
17606,False
15842,False
11314,False
19239,False
10156,False
12043,False
19335,False
11527,False
11115,False
16812,False
19073,False
13722,False
13215,False
12615,False
16050,False
18175,False
14240,False
11749,False
18300,False
16009,False
19856,False
12607,False
16921,False
17689,False
15267,False
19251,False
11472,False
15488,False
15182,False
11905,False
13428,False
10838,False
18490,False
16909,False
11830,False
19845,False
17753,False
11175,False
14154,False
14305,False
11249,False
10865,False
18361,False
15148,False
13329,False
10695,False
10194,False
14127,False
18998,False
11866,False
15487,False
10035,False
19793,False
18338,False
12465,False
12402,False
15446,False
17449,False
14113,False
18354,False
16016,False
19907,False
19628,False
17249,False
15599,False
18760,False
17012,False
19470,False
10391,False
16837,False
13678,False
16817,False
10287,False
16161,False
15257,False
14208,False
19817,False
10175,False
10119,False
