ix,goal_cost,intv_cost
13626,0.768,1.1
14240,0.766,0.9
15446,0.784,0.8
14632,0.774,1.0
18196,0.758,0.7999999999999999
10126,0.93,0.1
19253,0.776,1.2
19970,0.954,0.1
13649,0.764,2.0
14190,0.9179999828338623,1.0
18330,0.8027043798280623,0.0
17790,0.788,1.1
16324,0.7540000081062317,1.0
15693,0.858,0.1
17770,0.871999979019165,1.0
17412,0.766,0.3
15599,0.87,0.1
17015,0.77,1.7
19015,0.777999997138977,2.0
13247,0.852,0.1
17457,0.921999990940094,2.0
16799,0.764,1.2
15519,0.93,1.2
12650,0.8939999938011169,2.0
11595,0.800000011920929,1.0
14549,0.871999979019165,1.0
18854,0.792,1.0
13370,0.794,0.7
16520,0.774,1.8
17748,0.756,1.6
19251,0.752,2.1
17441,0.9359999895095825,2.0
17784,0.7559999823570251,1.0
10966,0.76,0.1
12442,0.8840000033378601,1.0
11705,0.8378239403123834,0.0
11415,0.9020000100135803,1.0
12226,0.8460000157356262,1.0
12727,0.806,0.9
12735,0.786,0.6
11849,0.904,1.0
14211,0.754,0.2
16557,0.776,1.0
18300,0.921999990940094,1.0
14339,0.7879999876022339,1.0
11754,0.87,1.1
17177,0.8840000033378601,2.0
11789,0.8700000047683716,1.0
14289,0.752,0.7
12787,0.9139999747276306,2.0
15483,0.756,0.1
13872,0.8140000104904175,2.0
19022,0.762,0.7999999999999999
13225,0.9139999747276306,2.0
10293,0.7839999794960022,1.0
14247,0.752,1.3
17314,0.762,0.1
11743,0.777999997138977,0.5
13740,0.786,0.2
10020,0.7760000228881836,1.0
16441,0.8840000033378601,2.0
17076,0.800000011920929,1.0
13634,0.8640000224113464,1.0
15103,0.7839999794960022,1.0
11888,0.871999979019165,1.0
14542,0.764,0.1
15842,0.9340000152587891,1.0
12825,0.898,0.1
11088,0.76,1.5
17989,0.8180000185966492,1.0
14046,0.752,0.4
12863,0.786,0.3
18670,0.798,1.0
16267,0.8040000200271606,1.0
19453,0.758,1.8
19096,0.756,1.5
10100,0.878000020980835,1.0
15905,0.7580000162124634,1.0
16980,0.764,0.2
12148,0.794,0.1
11020,0.772,0.7999999999999999
17658,0.8840000033378601,2.0
13048,0.8040000200271606,1.0
19832,0.774,0.7
18447,0.7620000243186951,0.5
11259,0.754,1.4
17293,0.8539999723434448,1.0
11606,0.846,0.1
18635,0.7989795551134228,0.0
16719,0.908,0.1
13628,0.93,2.1
13676,0.792,0.1
16930,0.9279999732971191,1.0
18688,0.756,1.0
13197,0.756,1.5
17992,0.872,0.1
15827,0.784,2.1
15746,0.91,1.0
16772,0.76,0.9
15249,0.9179999828338623,2.0
16152,0.7760000228881836,2.0
18423,0.8733784186923678,0.0
11773,0.774,0.7
15360,0.8700000047683716,2.0
18099,0.802,0.1
16193,0.9539999961853027,1.0
19410,0.914,0.1
10851,0.756,0.5
10850,0.754,2.5
19069,0.752,0.6
11393,0.822,1.0
16552,0.8619999885559082,1.0
13821,0.9340000152587891,1.0
14256,0.778,0.9
14780,0.8080000281333923,2.0
17699,0.9120000004768372,1.0
18333,0.8320000171661377,2.0
12072,0.9020000100135803,1.0
13427,0.776,1.7
14484,0.76,0.8
10663,0.758,1.2000000000000002
17151,0.7683736250491237,0.0
17718,0.87,1.0
12051,0.792,1.0
13698,0.9539999961853027,2.0
16443,0.922,1.2000000000000002
14129,0.814,2.3
11179,0.788,0.1
14133,0.7760000228881836,1.0
16677,0.772,0.7
12721,0.76,0.9
13428,0.8500000238418579,1.0
18316,0.8880000114440918,2.0
15303,0.9100000262260437,1.0
11144,0.946,1.0
14400,0.774,0.1
18506,0.764,0.7
16651,0.9160000085830688,2.0
15802,0.762,1.7
18804,0.768,0.2
12410,0.86,1.0
15947,0.764,1.0
10486,0.782,2.7
16833,0.76,1.4
14943,0.88,1.1
11936,0.8159999847412109,1.0
10838,0.8960000276565552,1.0
13100,0.842,1.0
14362,0.766,0.2
14491,0.79,0.1
12504,0.77,0.7
19326,0.76,0.1
17714,0.828000009059906,2.0
10466,0.778,1.6
15476,0.988,0.1
10351,0.758,1.6
18446,0.766,1.1
19668,0.8899999856948853,1.0
16749,0.764,0.7999999999999999
10199,0.8199999928474426,1.0
13137,0.928,1.0
13502,0.844,1.1
14316,0.84,0.1
18023,0.8100000023841858,2.0
12438,0.8579999804496765,1.0
16469,0.762,0.4
19065,0.768,0.9
17465,0.8379999995231628,1.0
14096,0.8299999833106995,1.0
17622,0.774,1.2
17033,0.752,2.2
15145,0.774,1.1
17620,0.8379999995231628,1.0
15002,0.935726223141947,0.0
14828,0.786,0.3
14821,0.772,0.6
15165,0.784,1.6
16253,0.786,1.5
19339,0.828000009059906,1.0
16838,0.906000018119812,1.0
14822,0.866,0.1
18642,0.7665304062231296,0.0
13908,0.7820000052452087,1.0
13567,0.778,1.1
18288,0.848,1.0
10369,0.9440000057220459,2.0
14194,0.8980000019073486,2.0
13405,0.822,0.1
14951,0.9020000100135803,1.0
11141,0.843999981880188,1.0
17606,0.8388158751904399,0.0
11432,0.871999979019165,1.0
18174,0.754,0.6
11029,0.772,0.2
17053,0.765425877141447,0.0
12092,0.978,0.1
18807,0.9179999828338623,1.0
18733,0.78,0.7999999999999999
17432,0.762,1.1
16065,0.808,0.1
