,years_experience,degree,nr_commits,nr_languages,nr_stars
2101,0.0,0.0,829.0,0.0,0.0
2088,0.0,0.0,836.0,0.0,0.0
3558,0.0,0.0,838.0,0.0,0.0
3497,0.0,0.0,836.0,0.0,0.0
3052,0.0,0.0,823.0,0.0,0.0
3232,0.0,0.0,825.0,0.0,0.0
2770,0.0,0.0,1824.0,0.0,0.0
3463,0.0,0.0,809.0,0.0,0.0
3110,0.0,0.0,1821.0,0.0,0.0
3140,0.0,0.0,833.0,0.0,0.0
3182,0.0,0.0,830.0,0.0,0.0
2410,0.0,0.0,831.0,0.0,0.0
3238,0.0,0.0,832.0,0.0,0.0
2339,0.0,0.0,813.0,0.0,0.0
2897,0.0,0.0,840.0,0.0,0.0
3515,0.0,0.0,844.0,0.0,0.0
2002,0.0,0.0,814.0,0.0,0.0
2689,0.0,0.0,838.0,0.0,0.0
3929,0.0,0.0,836.0,0.0,0.0
3308,0.0,0.0,823.0,0.0,0.0
3464,0.0,0.0,1823.0,0.0,0.0
2263,0.0,0.0,1829.0,0.0,0.0
2392,0.0,0.0,819.0,0.0,0.0
2173,0.0,0.0,838.0,0.0,0.0
2996,0.0,0.0,825.0,0.0,0.0
2189,0.0,0.0,835.0,0.0,0.0
3908,0.0,0.0,830.0,0.0,0.0
2552,0.0,0.0,830.0,0.0,0.0
3968,0.0,0.0,829.0,0.0,0.0
2990,0.0,0.0,838.0,0.0,0.0
3659,0.0,0.0,1825.0,0.0,0.0
2735,0.0,0.0,830.0,0.0,0.0
2480,0.0,0.0,838.0,0.0,0.0
3462,0.0,0.0,0.0,0.0,2.0
3764,0.0,0.0,1826.0,0.0,0.0
3955,0.0,0.0,831.0,0.0,0.0
2861,0.0,0.0,834.0,0.0,0.0
3383,0.0,0.0,849.0,0.0,0.0
3248,0.0,0.0,824.0,0.0,0.0
2733,0.0,0.0,848.0,0.0,0.0
2085,0.0,0.0,827.0,0.0,0.0
2026,0.0,0.0,823.0,0.0,0.0
3705,0.0,0.0,823.0,0.0,0.0
2565,0.0,0.0,1830.0,0.0,0.0
2322,0.0,0.0,836.0,0.0,0.0
3972,0.0,0.0,847.0,0.0,0.0
2486,0.0,0.0,813.0,0.0,0.0
2288,0.0,0.0,835.0,0.0,0.0
3065,0.0,0.0,832.0,0.0,0.0
3195,0.0,0.0,1838.0,0.0,0.0
3100,0.0,0.0,839.0,0.0,0.0
3419,0.0,0.0,1823.0,0.0,0.0
3874,0.0,0.0,832.0,0.0,0.0
3814,0.0,0.0,827.0,0.0,0.0
2676,0.0,0.0,833.0,0.0,0.0
3992,0.0,0.0,834.0,0.0,0.0
2006,0.0,0.0,1859.0,0.0,0.0
3962,0.0,0.0,1820.0,0.0,0.0
3363,0.0,0.0,822.0,0.0,0.0
3612,0.0,0.0,844.0,0.0,0.0
3501,0.0,0.0,845.0,0.0,0.0
3177,0.0,0.0,835.0,0.0,0.0
3901,0.0,0.0,846.0,0.0,0.0
2501,0.0,0.0,831.0,0.0,0.0
2723,0.0,0.0,0.0,0.0,5.0
3296,0.0,0.0,835.0,0.0,0.0
2221,0.0,0.0,842.0,0.0,0.0
2281,0.0,0.0,840.0,0.0,0.0
3030,0.0,0.0,840.0,0.0,0.0
3924,0.0,0.0,826.0,0.0,0.0
2448,0.0,0.0,832.0,0.0,0.0
2882,0.0,0.0,818.0,0.0,0.0
2334,0.0,0.0,822.0,0.0,0.0
3714,0.0,0.0,1828.0,0.0,0.0
3228,0.0,0.0,834.0,0.0,0.0
2462,0.0,0.0,843.0,0.0,0.0
3715,0.0,0.0,1832.0,0.0,0.0
3409,0.0,0.0,845.0,0.0,0.0
3478,0.0,0.0,844.0,0.0,0.0
3964,0.0,0.0,833.0,0.0,0.0
3643,0.0,0.0,849.0,0.0,0.0
2211,0.0,0.0,829.0,0.0,0.0
3358,0.0,0.0,813.0,0.0,0.0
2556,0.0,0.0,841.0,0.0,0.0
2895,0.0,0.0,837.0,0.0,0.0
2113,0.0,0.0,845.0,0.0,0.0
2073,0.0,0.0,830.0,0.0,0.0
2242,0.0,0.0,845.0,0.0,0.0
3026,0.0,0.0,823.0,0.0,0.0
3276,0.0,0.0,836.0,0.0,0.0
3892,0.0,0.0,814.0,0.0,0.0
2074,0.0,0.0,836.0,0.0,0.0
2963,0.0,0.0,828.0,0.0,0.0
3203,0.0,0.0,828.0,0.0,0.0
3609,0.0,0.0,837.0,0.0,0.0
3040,0.0,0.0,832.0,0.0,0.0
3805,0.0,0.0,1830.0,0.0,0.0
2209,0.0,0.0,842.0,0.0,0.0
2049,0.0,0.0,826.0,0.0,0.0
2616,0.0,0.0,844.0,0.0,0.0
3891,0.0,0.0,828.0,0.0,0.0
2975,0.0,0.0,1838.0,0.0,0.0
2233,0.0,0.0,838.0,0.0,0.0
2160,0.0,0.0,829.0,0.0,0.0
3079,0.0,0.0,824.0,0.0,0.0
3037,0.0,0.0,1820.0,0.0,0.0
3082,0.0,0.0,829.0,0.0,0.0
3167,0.0,0.0,814.0,0.0,0.0
2054,0.0,0.0,1833.0,0.0,0.0
3169,0.0,0.0,830.0,0.0,0.0
3309,0.0,0.0,812.0,0.0,0.0
3441,0.0,0.0,813.0,0.0,0.0
