,senior-level_skill
2101,0.0
2088,0.0
3558,0.0
3497,0.0
3052,0.0
3232,0.0
2770,0.0
3463,0.0
3110,0.0
3140,0.0
3182,0.0
2410,0.0
3238,0.0
2339,0.0
2897,0.0
3515,0.0
2002,0.0
2689,0.0
3929,0.0
3308,0.0
3464,0.0
2263,0.0
2392,0.0
2173,0.0
2996,0.0
2189,0.0
3908,0.0
2552,0.0
3968,0.0
2990,0.0
3659,0.0
2735,0.0
2480,0.0
3462,0.0
3764,0.0
3955,0.0
2861,0.0
3383,0.0
3248,0.0
2733,0.0
2085,0.0
2026,0.0
3705,0.0
2565,0.0
2322,0.0
3972,0.0
2486,0.0
2288,0.0
3065,0.0
3195,0.0
3100,0.0
3419,0.0
3874,0.0
3814,0.0
2676,0.0
3992,0.0
2006,0.0
3962,0.0
3363,0.0
3612,0.0
3501,0.0
3177,0.0
3901,0.0
2501,0.0
2723,0.0
3296,0.0
2221,0.0
2281,0.0
3030,0.0
3924,0.0
2448,0.0
2882,0.0
2334,0.0
3714,0.0
3228,0.0
2462,0.0
3715,0.0
3409,0.0
3478,0.0
3964,0.0
3643,0.0
2211,0.0
3358,0.0
2556,0.0
2895,0.0
2113,0.0
2073,0.0
2242,0.0
3026,0.0
3276,0.0
3892,0.0
2074,0.0
2963,0.0
3203,0.0
3609,0.0
3040,0.0
3805,0.0
2209,0.0
2049,0.0
2616,0.0
3891,0.0
2975,0.0
2233,0.0
2160,0.0
3079,0.0
3037,0.0
3082,0.0
3167,0.0
2054,0.0
3169,0.0
3309,0.0
3441,0.0
2252,0.0
3170,0.0
2449,0.0
2858,0.0
2575,0.0
3115,0.0
2282,0.0
2831,0.0
3771,0.0
3595,0.0
2377,0.0
3907,0.0
2229,0.0
2992,0.0
3651,0.0
2183,0.0
3123,0.0
3066,0.0
2646,0.0
2265,0.0
3628,0.0
3017,0.0
2072,0.0
3998,0.0
2356,0.0
3982,0.0
3420,0.0
3976,0.0
2096,0.0
3492,0.0
3850,0.0
2511,0.0
2630,0.0
3033,0.0
3516,0.0
2222,0.0
3415,0.0
2745,0.0
2249,0.0
2847,0.0
2452,0.0
2930,0.0
2926,0.0
2404,0.0
3331,0.0
3125,0.0
3757,0.0
3376,0.0
3858,0.0
2920,0.0
3697,0.0
2159,0.0
2753,0.0
3935,0.0
3988,0.0
3718,0.0
2988,0.0
2555,0.0
2613,0.0
3132,0.0
2105,0.0
3698,0.0
3223,0.0
3763,0.0
2161,0.0
3993,0.0
3597,0.0
2514,0.0
2304,0.0
3794,0.0
3106,0.0
3531,0.0
3260,0.0
3942,0.0
2370,0.0
3587,0.0
2636,0.0
3324,0.0
3833,0.0
3069,0.0
2866,0.0
2663,0.0
2459,0.0
2749,0.0
2510,0.0
3999,0.0
3265,0.0
3842,0.0
