,years_experience,degree,nr_commits,nr_languages,nr_stars
3475,1.0,1.0,11.0,9.5,4.0
2448,1.0,0.0,16.0,14.5,3.0
2849,3.0,0.0,32.0,4.5,5.0
3201,1.0,0.0,17.0,7.5,7.0
2323,0.0,0.0,3.0,7.5,8.0
3448,1.0,0.0,16.0,10.5,7.0
3056,2.0,0.0,24.0,3.5,7.0
2891,1.0,1.0,19.0,2.5,3.0
2209,0.0,1.0,7.0,9.5,3.0
2035,2.0,1.0,23.0,8.5,1.0
3006,1.0,0.0,13.0,1.5,2.0
3283,2.0,0.0,23.0,2.5,3.0
3987,2.0,0.0,25.0,6.5,3.0
3372,0.0,1.0,5.0,1.5,6.0
3074,0.0,2.0,0.0,5.5,2.0
2949,1.0,0.0,10.0,3.5,4.0
2841,0.0,1.0,3.0,1.5,7.0
2573,1.0,0.0,17.0,0.5,2.0
2801,0.0,2.0,3.0,2.5,1.0
3130,0.0,2.0,8.0,2.5,3.0
3333,1.0,1.0,15.0,1.5,0.0
2866,1.0,2.0,15.0,0.5,5.0
2159,1.0,0.0,12.0,11.5,0.0
3110,3.0,0.0,35.0,4.5,1.0
3701,1.0,0.0,14.0,5.5,12.0
3357,2.0,0.0,27.0,14.5,5.0
2813,3.0,0.0,33.0,1.5,3.0
3419,3.0,0.0,32.0,2.5,1.0
3739,3.0,0.0,36.0,3.5,11.0
3420,1.0,0.0,13.0,0.5,8.0
2735,1.0,0.0,16.0,3.5,1.0
2636,3.0,0.0,37.0,8.5,6.0
2576,4.0,0.0,45.0,5.5,5.0
3743,0.0,2.0,5.0,4.5,0.0
3750,2.0,1.0,26.0,9.5,2.0
3870,2.0,0.0,26.0,7.5,3.0
2238,3.0,0.0,35.0,4.5,7.0
3184,3.0,0.0,35.0,5.5,4.0
2541,2.0,0.0,22.0,1.5,5.0
3455,1.0,0.0,14.0,4.5,4.0
2597,1.0,1.0,13.0,7.5,5.0
3992,1.0,0.0,15.0,3.5,4.0
2491,2.0,0.0,26.0,2.5,4.0
3723,1.0,0.0,16.0,5.5,5.0
3232,2.0,0.0,23.0,6.5,6.0
2353,1.0,2.0,14.0,3.5,6.0
3091,1.0,1.0,14.0,1.5,1.0
2960,1.0,1.0,12.0,7.5,2.0
2242,0.0,1.0,2.0,0.5,5.0
3434,3.0,0.0,38.0,8.5,1.0
2129,1.0,0.0,19.0,3.5,3.0
3061,1.0,0.0,10.0,1.5,3.0
2975,2.0,0.0,23.0,2.5,1.0
3410,2.0,0.0,26.0,4.5,2.0
3726,2.0,1.0,22.0,2.5,2.0
3129,2.0,0.0,22.0,4.5,2.0
2873,1.0,0.0,14.0,4.5,4.0
2709,3.0,0.0,35.0,5.5,4.0
3227,3.0,0.0,37.0,3.5,7.0
2986,1.0,0.0,11.0,18.5,1.0
3947,2.0,1.0,21.0,1.5,2.0
