,h_post,h_post_individualized
3475,1.0,
2448,1.0,
2849,1.0,
3201,1.0,
2323,0.94,
3448,1.0,
3056,1.0,
2891,1.0,
2209,0.94,
2035,0.0,
3006,1.0,
3283,1.0,
3987,1.0,
3372,1.0,
3074,0.96,
2949,1.0,
2841,0.10000000000000002,
2573,1.0,
2801,0.96,
3130,0.06,
3333,1.0,
2866,1.0,
2159,1.0,
3110,1.0,
3701,1.0,
3357,1.0,
2813,1.0,
3419,1.0,
3739,1.0,
3420,1.0,
2735,1.0,
2636,1.0,
2576,1.0,
3743,0.76,
3750,1.0,
3870,1.0,
2238,1.0,
3184,1.0,
2541,1.0,
3455,1.0,
2597,1.0,
3992,1.0,
2491,1.0,
3723,1.0,
3232,1.0,
2353,1.0,
3091,1.0,
2960,1.0,
2242,1.0,
3434,1.0,
2129,1.0,
3061,1.0,
2975,1.0,
3410,1.0,
3726,1.0,
3129,1.0,
2873,1.0,
2709,1.0,
3227,1.0,
2986,1.0,
3947,1.0,
2719,1.0,
2468,1.0,
3711,1.0,
2663,1.0,
3899,1.0,
2439,1.0,
2461,1.0,
2621,1.0,
3822,0.98,
3897,0.0,
2282,1.0,
2339,1.0,
2501,1.0,
3024,1.0,
2770,1.0,
3560,1.0,
2160,1.0,
2565,1.0,
3358,1.0,
2976,1.0,
2093,1.0,
3803,1.0,
3955,1.0,
2172,1.0,
3148,1.0,
2555,1.0,
2006,1.0,
3823,1.0,
2135,1.0,
3731,1.0,
3966,1.0,
3161,1.0,
3500,1.0,
3079,1.0,
2610,1.0,
3715,1.0,
3744,1.0,
2693,0.0,
2060,1.0,
3531,1.0,
2325,1.0,
2768,1.0,
3554,1.0,
2872,1.0,
3845,1.0,
3004,1.0,
2831,1.0,
2349,1.0,
2733,0.14,
2316,1.0,
3304,1.0,
3158,1.0,
2073,1.0,
3799,0.06,
2689,1.0,
3910,1.0,
2288,1.0,
3030,0.06,
3733,1.0,
3805,1.0,
3254,1.0,
2265,1.0,
3063,1.0,
2241,1.0,
3127,1.0,
3478,0.98,
3982,1.0,
2083,0.02,
2088,1.0,
2049,1.0,
2118,1.0,
2676,1.0,
2438,1.0,
2547,1.0,
2686,1.0,
3706,1.0,
2192,1.0,
3962,1.0,
3195,1.0,
3276,1.0,
2134,1.0,
2393,1.0,
3713,1.0,
2761,1.0,
2293,1.0,
2447,1.0,
2624,1.0,
3953,1.0,
3811,1.0,
3082,1.0,
3827,0.0,
3287,1.0,
2930,1.0,
2926,1.0,
2696,1.0,
3100,0.7,
2030,1.0,
2796,0.02,
2659,1.0,
3340,0.96,
2810,1.0,
3207,1.0,
3210,0.0,
2553,1.0,
2081,1.0,
3262,1.0,
3359,1.0,
2318,0.98,
3850,0.96,
2343,1.0,
3533,1.0,
2284,1.0,
2246,1.0,
3656,1.0,
2433,1.0,
2233,1.0,
2421,1.0,
2848,1.0,
3453,1.0,
3053,1.0,
2359,1.0,
3612,0.94,
2005,0.96,
3844,1.0,
3630,1.0,
3052,1.0,
2611,1.0,
3993,1.0,
3906,1.0,
2525,1.0,
3604,1.0,
3497,1.0,
2187,1.0,
3427,1.0,
3754,1.0,
3235,1.0,
3083,1.0,
3301,1.0,
2249,1.0,
