,senior-level_skill
3475,0.0
2448,0.0
2849,0.0
3201,0.0
2323,0.0
3448,0.0
3056,0.0
2891,0.0
2209,0.0
2035,0.0
3006,0.0
3283,0.0
3987,0.0
3372,0.0
3074,0.0
2949,0.0
2841,0.0
2573,0.0
2801,0.0
3130,0.0
3333,0.0
2866,0.0
2159,0.0
3110,0.0
3701,0.0
3357,0.0
2813,0.0
3419,0.0
3739,0.0
3420,0.0
2735,0.0
2636,0.0
2576,0.0
3743,0.0
3750,0.0
3870,0.0
2238,0.0
3184,0.0
2541,0.0
3455,0.0
2597,0.0
3992,0.0
2491,0.0
3723,0.0
3232,0.0
2353,0.0
3091,0.0
2960,0.0
2242,0.0
3434,0.0
2129,0.0
3061,0.0
2975,0.0
3410,0.0
3726,0.0
3129,0.0
2873,0.0
2709,0.0
3227,0.0
2986,0.0
3947,0.0
2719,0.0
2468,0.0
3711,0.0
2663,0.0
3899,0.0
2439,0.0
2461,0.0
2621,0.0
3822,0.0
3897,0.0
2282,0.0
2339,0.0
2501,0.0
3024,0.0
2770,0.0
3560,0.0
2160,0.0
2565,0.0
3358,0.0
2976,0.0
2093,0.0
3803,0.0
3955,0.0
2172,0.0
3148,0.0
2555,0.0
2006,0.0
3823,0.0
2135,0.0
3731,0.0
3966,0.0
3161,0.0
3500,0.0
3079,0.0
2610,0.0
3715,0.0
3744,0.0
2693,0.0
2060,0.0
3531,0.0
2325,0.0
2768,0.0
3554,0.0
2872,0.0
3845,0.0
3004,0.0
2831,0.0
2349,0.0
2733,0.0
2316,0.0
3304,0.0
3158,0.0
2073,0.0
3799,0.0
2689,0.0
3910,0.0
2288,0.0
3030,0.0
3733,0.0
3805,0.0
3254,0.0
2265,0.0
3063,0.0
2241,0.0
3127,0.0
3478,0.0
3982,0.0
2083,0.0
2088,0.0
2049,0.0
2118,0.0
2676,0.0
2438,0.0
2547,0.0
2686,0.0
3706,0.0
2192,0.0
3962,0.0
3195,0.0
3276,0.0
2134,0.0
2393,0.0
3713,0.0
2761,0.0
2293,0.0
2447,0.0
2624,0.0
3953,0.0
3811,0.0
3082,0.0
3827,0.0
3287,0.0
2930,0.0
2926,0.0
2696,0.0
3100,0.0
2030,0.0
2796,0.0
2659,0.0
3340,0.0
2810,0.0
3207,0.0
3210,0.0
2553,0.0
2081,0.0
3262,0.0
3359,0.0
2318,0.0
3850,0.0
2343,0.0
3533,0.0
2284,0.0
2246,0.0
3656,0.0
2433,0.0
2233,0.0
2421,0.0
2848,0.0
3453,0.0
3053,0.0
2359,0.0
3612,0.0
2005,0.0
3844,0.0
3630,0.0
3052,0.0
2611,0.0
3993,0.0
3906,0.0
2525,0.0
3604,0.0
3497,0.0
2187,0.0
3427,0.0
3754,0.0
3235,0.0
3083,0.0
3301,0.0
2249,0.0
