,years_experience,degree,nr_commits,nr_languages,nr_stars
2372,2.0,0.0,22.0,5.5,2.0
3729,2.0,0.0,25.0,2.5,4.0
3329,1.0,0.0,11.0,2.5,5.0
3757,1.0,0.0,15.0,16.5,1.0
2167,2.0,0.0,27.0,3.5,0.0
3101,1.0,1.0,12.0,2.5,2.0
3837,1.0,0.0,14.0,3.5,7.0
2722,2.0,1.0,24.0,5.5,4.0
2691,2.0,0.0,24.0,5.5,2.0
2805,1.0,1.0,17.0,1.5,1.0
3892,0.0,0.0,1.0,1.5,2.0
3551,0.0,3.0,5.0,1.5,2.0
3934,0.0,2.0,0.0,6.5,4.0
3796,3.0,0.0,34.0,4.5,5.0
3806,2.0,1.0,23.0,3.5,5.0
2551,1.0,0.0,17.0,10.5,5.0
2146,1.0,0.0,16.0,3.5,4.0
3645,2.0,0.0,24.0,2.5,3.0
3143,1.0,0.0,12.0,6.5,5.0
2659,3.0,0.0,38.0,3.5,1.0
3947,1.0,1.0,13.0,8.5,3.0
2292,1.0,2.0,13.0,2.5,1.0
3134,1.0,1.0,13.0,0.5,7.0
3349,1.0,0.0,12.0,1.5,5.0
3424,2.0,0.0,24.0,1.5,5.0
3328,2.0,1.0,24.0,3.5,9.0
3013,1.0,0.0,15.0,5.5,6.0
3058,1.0,0.0,16.0,12.5,7.0
2507,2.0,0.0,27.0,0.5,3.0
2002,1.0,1.0,15.0,3.5,3.0
3055,2.0,0.0,24.0,4.5,5.0
3866,3.0,0.0,32.0,7.5,2.0
2872,1.0,2.0,13.0,1.5,4.0
3835,2.0,0.0,22.0,2.5,0.0
2061,1.0,1.0,12.0,4.5,1.0
3838,0.0,0.0,3.0,2.5,6.0
2669,0.0,2.0,5.0,0.5,5.0
2638,2.0,0.0,24.0,8.5,5.0
2181,0.0,1.0,3.0,4.5,6.0
2680,1.0,0.0,12.0,1.5,5.0
3562,0.0,0.0,5.0,9.5,4.0
3569,1.0,0.0,13.0,1.5,7.0
2777,3.0,0.0,34.0,3.5,3.0
2815,1.0,0.0,17.0,2.5,2.0
3041,3.0,0.0,34.0,1.5,3.0
3585,1.0,0.0,13.0,3.5,4.0
3396,0.0,1.0,4.0,8.5,5.0
2532,0.0,0.0,1.0,3.5,3.0
2744,1.0,0.0,14.0,5.5,4.0
2082,0.0,2.0,5.0,6.5,3.0
3825,2.0,1.0,24.0,4.5,7.0
2848,1.0,0.0,14.0,7.5,10.0
2338,1.0,0.0,14.0,4.5,5.0
2092,0.0,0.0,4.0,2.5,2.0
3743,1.0,1.0,17.0,8.5,11.0
2309,1.0,0.0,11.0,1.5,2.0
3472,4.0,0.0,42.0,0.5,5.0
2521,2.0,0.0,24.0,0.5,2.0
3738,0.0,0.0,3.0,6.5,2.0
3877,3.0,0.0,33.0,5.5,4.0
3416,1.0,1.0,11.0,5.5,2.0
2020,0.0,0.0,5.0,0.5,6.0
2038,3.0,0.0,32.0,0.5,6.0
2657,3.0,0.0,35.0,0.5,8.0
2506,0.0,2.0,2.0,2.5,11.0
3032,2.0,0.0,25.0,2.5,2.0
3117,2.0,0.0,24.0,7.5,2.0
2316,2.0,1.0,21.0,5.5,5.0
3739,0.0,0.0,5.0,2.5,1.0
3932,1.0,0.0,16.0,0.5,4.0
2323,2.0,1.0,27.0,5.5,7.0
3702,3.0,0.0,36.0,2.5,4.0
2256,2.0,0.0,24.0,2.5,6.0
2063,1.0,0.0,11.0,3.5,2.0
3330,3.0,0.0,31.0,3.5,4.0
3594,3.0,0.0,36.0,0.5,4.0
3522,1.0,0.0,16.0,3.5,4.0
2172,1.0,0.0,16.0,6.5,1.0
3957,0.0,0.0,2.0,5.5,1.0
2869,1.0,1.0,13.0,5.5,2.0
3225,0.0,0.0,5.0,4.5,3.0
2308,2.0,1.0,24.0,4.5,0.0
3734,2.0,0.0,27.0,6.5,4.0
3723,2.0,0.0,23.0,1.5,5.0
2906,2.0,0.0,24.0,1.5,1.0
2941,1.0,0.0,12.0,2.5,7.0
2379,3.0,0.0,32.0,1.5,2.0
2343,3.0,0.0,34.0,1.5,4.0
3311,0.0,0.0,3.0,1.5,1.0
3126,1.0,2.0,10.0,0.5,3.0
3141,0.0,2.0,1.0,1.5,9.0
3025,3.0,0.0,32.0,3.5,2.0
2785,0.0,0.0,3.0,0.5,9.0
3972,3.0,0.0,36.0,1.5,5.0
2640,2.0,1.0,25.0,4.5,3.0
2147,4.0,0.0,45.0,2.5,6.0
3658,4.0,0.0,42.0,5.5,3.0
3240,1.0,0.0,13.0,4.5,1.0
3136,1.0,2.0,17.0,5.5,6.0
2541,3.0,0.0,36.0,1.5,2.0
2182,3.0,0.0,34.0,3.5,1.0
3708,0.0,0.0,1.0,1.5,9.0
2776,1.0,0.0,12.0,2.5,3.0
3483,4.0,0.0,44.0,0.5,4.0
2133,1.0,0.0,14.0,4.5,4.0
3438,2.0,0.0,20.0,1.5,3.0
2738,0.0,0.0,5.0,2.5,2.0
2373,3.0,0.0,35.0,2.5,0.0
2800,0.0,1.0,2.0,0.5,11.0
3113,0.0,1.0,2.0,10.5,15.0
3572,1.0,0.0,14.0,0.5,2.0
2682,0.0,2.0,3.0,8.5,1.0
2087,1.0,0.0,13.0,2.5,3.0
3930,0.0,2.0,2.0,0.5,1.0
2069,0.0,2.0,2.0,0.5,3.0
3428,1.0,0.0,13.0,1.5,1.0
