ix,goal_cost,intv_cost
2593,1.0,0.4
3507,1.0,2.7
3681,1.0,5.0
3889,1.0,4.2
2227,1.0,0.2
3907,1.0,1.3
3836,1.0,0.8
2220,1.0,0.4
2279,1.0,0.4
2106,1.0,0.4
2162,1.0,1.3
2485,1.0,0.7
3168,1.0,4.8999999999999995
3911,1.0,2.7
3557,1.0,2.5
3636,1.0,2.4
2511,1.0,1.1
3353,1.0,2.6
3887,1.0,0.7
2636,1.0,2.9
2661,1.0,2.1
2570,1.0,3.8
2059,1.0,1.0
3961,1.0,7.1
3923,1.0,1.1
3333,1.0,6.0
2972,1.0,1.0
2439,1.0,5.6
2512,1.0,1.7
3768,1.0,3.4
3309,1.0,3.0
2543,1.0,0.5
2534,1.0,0.3
2335,1.0,0.1
3649,1.0,5.1
3687,1.0,0.5
2509,1.0,3.8
3074,1.0,4.8
2047,1.0,3.4
3618,1.0,0.2
3246,1.0,2.9
3824,1.0,3.5999999999999996
2000,1.0,1.8
2589,1.0,0.8
2191,1.0,0.9
2558,1.0,2.8
2713,1.0,1.3
2200,1.0,0.2
3445,1.0,0.6
2154,1.0,5.1
2188,1.0,2.4
2248,1.0,5.3
3224,1.0,4.7
3454,1.0,0.2
2635,1.0,1.0
2166,1.0,3.0
3604,1.0,0.7
2922,1.0,2.4
2835,1.0,1.3
2324,1.0,1.0
2397,1.0,0.2
3323,1.0,4.1
3988,1.0,2.7
2610,1.0,0.1
2174,1.0,2.6
3914,1.0,0.6
3656,1.0,0.3
3667,1.0,5.3
2211,1.0,0.7
2710,1.0,4.6
2768,1.0,5.0
3200,1.0,4.3
2137,1.0,4.2
2550,1.0,0.4
2088,1.0,2.1
3763,1.0,4.2
3264,1.0,2.3
2035,1.0,0.8
3191,1.0,0.6
3749,1.0,6.0
3162,1.0,2.1
2982,1.0,0.1
2908,1.0,0.8
3117,1.0,1.4
3153,1.0,0.2
3013,1.0,1.2
2522,1.0,6.3999999999999995
2495,1.0,2.7
3125,1.0,3.9
2612,1.0,2.4
2697,1.0,4.3
2015,1.0,2.4
2167,1.0,3.0999999999999996
3178,1.0,3.5
3558,1.0,1.4
3319,1.0,2.7
3089,1.0,1.1
3261,1.0,0.2
2859,1.0,5.1
3228,1.0,0.5
3275,1.0,1.1
3573,1.0,0.4
2848,1.0,1.1
3121,1.0,4.3
3862,1.0,3.9000000000000004
2491,1.0,1.5000000000000002
2960,1.0,1.5
2562,1.0,5.4
2133,1.0,3.0
3190,1.0,1.5
2719,1.0,4.5
3552,1.0,0.8
2629,1.0,4.8
3661,1.0,1.5
3594,1.0,2.0
3943,1.0,2.4
2886,1.0,0.2
2757,1.0,0.2
2639,1.0,1.5
2883,1.0,0.6
3080,1.0,1.0
2234,1.0,1.3
2564,1.0,0.4
2327,1.0,1.5
2553,1.0,4.6
3025,1.0,4.3
3665,1.0,4.0
2880,1.0,6.3
3396,1.0,0.2
2288,1.0,3.9
3530,1.0,1.2
2308,1.0,0.9
3582,1.0,0.7
2369,1.0,4.4
2237,1.0,2.6999999999999997
3827,1.0,4.7
2282,1.0,0.5
2535,1.0,1.4
3461,1.0,9.1
2750,1.0,2.2
2301,0.773,1.7
3536,1.0,0.5
3054,1.0,1.7
3378,1.0,1.2
3471,1.0,3.2
2148,1.0,0.1
2809,1.0,0.4
2656,1.0,0.4
3424,1.0,0.9
2733,1.0,5.6
3483,1.0,5.0
2494,1.0,2.7
3401,1.0,4.8
2177,1.0,2.0
3271,1.0,5.1
2505,1.0,0.8
3735,1.0,0.2
2722,1.0,2.2
3809,1.0,0.5
3556,1.0,3.3
2317,1.0,3.8
2464,1.0,0.4
2641,0.768,3.2
2618,1.0,1.7000000000000002
2709,1.0,3.3
2660,1.0,2.3
3090,1.0,0.7
3186,1.0,0.6
3346,1.0,0.1
2790,1.0,3.6
2212,1.0,2.0
3194,1.0,3.0
2252,1.0,2.0
2631,1.0,1.5
3833,1.0,0.2
2555,1.0,0.7
2802,1.0,3.0
3591,1.0,2.2
2866,1.0,3.9
3097,1.0,0.1
3806,1.0,1.8
2841,1.0,1.0
2325,1.0,0.8
2812,1.0,2.0
3891,1.0,4.9
3280,1.0,0.7
3234,1.0,0.2
2157,1.0,1.6
2422,1.0,3.5
2496,1.0,3.1
3528,1.0,2.9
3131,1.0,3.2
2803,1.0,5.3
2319,1.0,1.3
2208,1.0,0.1
3369,1.0,3.5
3750,1.0,2.8000000000000003
3733,1.0,2.5999999999999996
3640,1.0,2.7
3978,1.0,2.4
