,x1,x2,x3
2593,0.4,-0.0,0.0
3507,-0.0,0.2,2.5
3681,1.5,3.5,-0.0
3889,0.4,3.8,0.0
2227,0.2,-0.0,0.0
3907,-0.0,1.3,-0.0
3836,-0.0,0.0,0.8
2220,0.0,0.4,0.0
2279,0.4,-0.0,0.0
2106,0.4,0.0,-0.0
2162,-0.0,0.0,1.3
2485,0.7,0.0,-0.0
3168,0.0,0.1,4.8
3911,-0.0,-0.0,2.7
3557,0.0,0.0,2.5
3636,-0.0,-0.0,2.4
2511,0.0,0.0,1.1
3353,0.0,-0.1,2.5
3887,0.0,-0.1,0.6
2636,0.1,0.0,2.8
2661,-0.0,0.0,2.1
2570,0.0,-0.0,3.8
2059,1.0,-0.0,0.0
3961,-0.1,1.3,5.7
3923,0.0,-0.0,1.1
3333,-0.0,0.1,5.9
2972,1.0,-0.0,0.0
2439,-0.0,0.0,5.6
2512,0.7,1.0,0.0
3768,-0.0,-0.0,3.4
3309,0.0,0.0,3.0
2543,0.5,-0.0,-0.0
2534,0.3,0.0,0.0
2335,0.0,0.1,0.0
3649,-0.1,0.0,5.0
3687,-0.0,-0.0,0.5
2509,0.0,0.0,3.8
3074,-0.0,-0.0,4.8
2047,0.0,0.0,3.4
3618,0.2,0.0,-0.0
3246,-0.0,0.0,2.9
3824,0.0,0.3,3.3
2000,0.0,0.0,1.8
2589,0.0,-0.0,0.8
2191,0.9,0.0,0.0
2558,-0.0,0.0,2.8
2713,-0.0,1.3,0.0
2200,0.2,-0.0,-0.0
3445,-0.0,-0.0,0.6
2154,0.0,0.1,5.0
2188,0.0,0.0,2.4
2248,-0.0,-0.0,5.3
3224,0.0,0.0,4.7
3454,0.1,-0.0,0.1
2635,0.4,0.6,-0.0
2166,0.1,0.0,2.9
3604,0.1,0.6,0.0
2922,0.0,-0.0,2.4
2835,-0.0,-0.0,1.3
2324,0.0,0.0,1.0
2397,0.2,-0.0,0.0
3323,0.0,0.1,4.0
3988,-0.0,-0.1,2.6
2610,0.0,0.0,0.1
2174,-0.0,0.0,2.6
3914,0.6,0.0,-0.0
3656,0.0,0.3,0.0
3667,0.0,0.0,5.3
2211,-0.0,0.0,0.7
2710,0.0,-0.0,4.6
2768,-0.0,0.1,4.9
3200,-0.0,-0.0,4.3
2137,0.0,-0.0,4.2
2550,0.4,-0.0,-0.0
2088,0.0,0.4,1.7
3763,-0.0,0.0,4.2
3264,-0.0,0.0,2.3
2035,0.8,-0.0,-0.0
3191,0.6,-0.0,-0.0
3749,1.2,4.8,-0.0
3162,-0.0,-0.0,2.1
2982,0.1,0.0,-0.0
2908,0.8,0.0,-0.0
3117,-0.0,0.0,1.4
3153,0.2,0.0,0.0
3013,0.7,0.5,0.0
