,x1,x2,x3
3355,-1.2895781,-0.49426252,-1.639233
3557,-0.28329816,-0.10074179,-1.8527691
3523,-1.1480925,-0.48846185,-1.3930937
2476,-0.55565196,-0.8036282,-0.48214263
2743,-0.22234204,-1.1560007,-0.038841426
2279,-1.0239773,-0.37274128,-0.23049122
2168,-0.26548314,-0.12948169,-1.1862028
2354,-0.69947743,-0.1769988,-2.3226793
3936,-0.24589159,-1.2566428,-0.5247015
2959,0.47972873,-0.7989106,-0.65476876
3878,-0.74960446,-0.8501954,-1.9179733
2224,-0.0062060193,-0.95098925,-1.2690517
3510,0.7788983,0.32854748,0.17145246
2418,-0.17300488,-0.59892076,-0.344305
3891,-0.8155899,-0.5668095,-4.217606
2944,0.50490075,-0.7744414,-0.9845061
2535,-0.006068563,-1.7542038,-0.58938265
3154,-0.07602967,-2.0058222,-3.30843
2710,-1.0787122,-1.8281046,-3.7906356
3365,-0.36003995,0.7588097,0.07445428
2400,-0.011410063,-0.8307111,-0.82379806
3441,-2.1499455,-2.688222,-4.785
2317,-0.6110347,-1.5318885,-3.0137062
3921,-1.0502805,-2.242145,-3.3915443
3117,0.22289173,-0.7149025,-0.73318
2101,-0.64108276,-0.52966356,-1.782458
2100,-2.0755017,-2.5222168,-3.21726
3375,0.910018,0.5324226,-0.16580689
2866,-1.2824355,-0.6233493,-3.0096645
3212,0.1678833,-0.34483466,-0.12302939
2002,-0.8030879,-1.8945782,-3.9554882
3871,0.49371627,0.47985306,-0.20006001
3854,-2.074655,-2.7466516,-4.756501
2899,-1.0504948,-0.9780681,-2.326588
3841,-1.181443,-2.5996075,-4.043741
3858,-0.7194847,-0.85175234,-2.613409
2337,-0.17228211,-0.87521785,-3.035089
3583,0.54647344,-0.26322365,0.100206375
2509,-1.1057723,-2.009707,-2.9719343
3141,-0.36757728,-2.572396,-3.3225038
2453,0.2518208,1.1895458,-0.26169336
2416,-0.19499962,-1.2501982,-1.3752394
2332,-0.74446684,0.27641326,0.33523828
2676,-0.7069775,-2.029018,-3.7807162
3641,-2.1399899,-1.562477,-3.3793337
3987,-0.86798763,-1.5592451,-1.5217435
2908,-0.9321549,-1.6284778,-0.7942022
2641,-1.100985,-0.62346816,-3.0264337
3378,0.56614506,0.9791119,-0.6967925
3588,-0.10202178,-0.9991263,-1.9281831
3923,-0.2797537,0.17627084,-0.49989522
3595,-0.5258127,-0.94500667,-1.6645924
3594,0.21722083,-0.055189833,-1.3376031
2299,-1.1082858,-1.8659291,-2.5823038
2913,-1.8137865,-3.2870753,-4.645825
3633,-0.37825558,-0.49226895,0.09116037
3887,-1.0120283,0.09602356,-0.010957956
3461,-1.81482,-3.1637168,-7.734628
3179,-1.042221,0.5125444,-0.93601584
3925,-1.4006499,-2.3144932,-4.3671174
3836,0.8825684,-0.47972363,-0.081248164
2212,-0.17800151,-0.27478316,-1.3307996
3823,-0.23117293,-0.94614995,-0.5735277
3958,-0.65670186,-1.2174814,-2.370401
2661,-0.41327158,-0.39085504,-1.431978
2036,-0.13700415,-0.4797082,-0.26323292
2960,-0.8369042,0.008017182,-0.8182215
3699,-0.5763632,-0.5366084,0.27206278
2046,-1.3938829,-1.5845981,-2.9707015
3862,-1.9628583,-1.2212031,-3.0421345
3430,-1.056145,-0.016770005,-1.8651049
2095,0.3061228,-0.18223575,0.502912
2955,-1.7060324,0.5035647,0.28013968
2706,-1.139246,-2.51832,-4.159178
2821,0.91421425,0.69677234,0.3217386
3319,-0.8970201,-0.52998096,-1.985971
3496,-0.17687441,-0.92294204,-1.6774609
3910,0.15300201,-0.4099143,0.16170347
2237,-0.46002463,-2.7119405,-2.0457053
3414,-0.16405529,-0.788032,-1.5342872
2832,-0.7875478,-0.92154354,-1.348243
2982,-0.11453189,-0.8853052,0.4947341
3215,-0.68270206,-2.6533155,-3.0419812
2187,-0.6338198,-1.3914102,-1.55213
3456,-2.0139003,-2.733889,-5.0439706
3250,-0.3338863,-1.1748117,-1.7095057
2779,-0.5035511,-3.7340984,-3.468437
