,y
3416,0.0
3237,0.0
2709,0.0
2083,1.0
3268,0.0
3344,0.0
2813,0.0
2784,0.0
3442,0.0
3782,0.0
2500,0.0
3522,0.0
3563,0.0
3750,0.0
2338,0.0
3513,0.0
3827,0.0
3549,0.0
3152,0.0
3806,0.0
3551,1.0
2475,0.0
3694,0.0
2324,1.0
2844,0.0
3728,1.0
2188,0.0
2979,0.0
3732,1.0
3906,0.0
3006,0.0
3672,0.0
2637,0.0
2889,0.0
2802,0.0
3681,1.0
2630,0.0
3431,0.0
2279,1.0
3488,0.0
3635,0.0
3575,0.0
2945,0.0
2872,0.0
2156,0.0
2374,0.0
2689,0.0
2413,0.0
3900,0.0
3888,0.0
3109,0.0
3421,1.0
3914,0.0
3628,1.0
2996,1.0
3240,0.0
2798,0.0
3387,0.0
2536,0.0
2326,0.0
2136,1.0
2886,0.0
3800,1.0
2192,0.0
3632,0.0
2184,0.0
2866,1.0
2292,0.0
2558,0.0
2336,1.0
3338,0.0
3221,0.0
3262,0.0
3258,0.0
2694,0.0
3232,0.0
2379,0.0
2046,0.0
3795,0.0
2105,0.0
2528,1.0
3982,0.0
2906,0.0
3898,0.0
3016,0.0
2959,0.0
3272,1.0
3339,0.0
3279,0.0
2288,0.0
2446,1.0
2346,1.0
3051,1.0
3346,0.0
3574,0.0
2131,0.0
3134,0.0
2237,0.0
3209,0.0
3568,1.0
3754,0.0
2547,0.0
3463,0.0
3330,1.0
2284,0.0
2659,1.0
2009,0.0
3261,0.0
3555,0.0
3853,0.0
3000,0.0
2274,1.0
3160,0.0
2333,0.0
3049,1.0
3317,0.0
3705,1.0
3464,0.0
3479,0.0
3527,1.0
3984,0.0
3107,0.0
2285,0.0
3405,0.0
3251,0.0
2599,0.0
3313,0.0
2520,1.0
2579,0.0
3248,0.0
2941,0.0
2109,0.0
3651,0.0
3457,0.0
3814,0.0
2857,0.0
2148,0.0
3547,1.0
3945,1.0
3468,0.0
2175,1.0
2595,1.0
3552,1.0
2679,0.0
2473,0.0
3618,0.0
3958,0.0
3349,0.0
2450,1.0
3964,1.0
2852,0.0
2539,0.0
2684,0.0
3149,0.0
3246,0.0
2890,0.0
3843,1.0
2226,1.0
2063,0.0
3110,0.0
3476,0.0
2747,0.0
2121,0.0
3273,0.0
2487,0.0
2598,0.0
3050,0.0
3408,0.0
2821,0.0
2106,0.0
2328,0.0
3206,0.0
2505,0.0
3893,0.0
3439,0.0
3235,0.0
3146,1.0
3683,1.0
3647,0.0
2695,0.0
3185,0.0
3417,0.0
3771,0.0
2570,0.0
2862,0.0
2885,1.0
3933,0.0
2730,0.0
3198,1.0
3456,0.0
3250,0.0
2792,0.0
3841,0.0
2115,0.0
3480,1.0
3959,0.0
3474,0.0
3828,1.0
2726,0.0
3983,0.0
