,y_hat
2620,False
3760,False
2813,False
2759,False
2866,False
3575,False
2264,False
3717,False
3618,False
2458,False
2787,False
2672,False
3419,False
3903,False
2416,False
3602,False
3562,False
2442,False
2498,False
2225,False
3881,False
3248,False
2273,False
2559,False
3744,False
3102,False
3646,False
2139,False
3950,False
2359,False
2242,False
2400,False
2313,False
3628,False
2652,False
3561,False
2613,False
3493,False
2819,False
3847,False
3366,False
3977,False
3544,False
3986,False
3469,False
2583,False
3376,False
2878,False
3893,False
2237,False
2950,False
2907,False
2250,False
3742,False
3082,False
3539,False
2415,False
2842,False
2158,False
3969,False
3857,False
2266,False
3176,False
2098,False
2156,False
2128,False
2247,False
3252,False
2188,False
3564,False
3242,False
2601,False
2444,False
3758,False
3879,False
3476,False
2885,False
2033,False
3145,False
2039,False
3291,False
3425,False
2022,False
2381,False
2792,False
3310,False
2516,False
2599,False
3486,False
3843,False
2649,False
2008,False
3459,False
2113,False
2608,False
3017,False
3800,False
2544,False
3556,False
3225,False
3515,False
2979,False
2401,False
3369,False
2312,False
3006,False
2174,False
3354,False
3597,False
2395,False
3613,False
2890,False
2084,False
3465,False
2456,False
3612,False
2651,False
2749,False
3846,False
3211,False
2752,False
3919,False
2500,False
3670,False
3143,False
3545,False
2007,False
3487,False
3853,False
3001,False
3815,False
3505,False
3343,False
3153,False
2974,False
2820,False
2055,False
3938,False
3367,False
2345,False
2452,False
3655,False
2094,False
3192,False
3408,False
3474,False
2931,False
3585,False
3401,False
3967,False
2284,False
3768,False
3550,False
2332,False
2328,False
2879,False
3051,False
3472,False
3807,False
2177,False
3900,False
3917,False
2206,False
2547,False
3787,False
2192,False
3409,False
2152,False
2806,False
3812,False
3842,False
3914,False
3206,False
3307,False
3468,False
2058,False
2157,False
2019,False
2346,False
2993,False
3455,False
2853,False
2011,False
3316,False
3894,False
3440,False
3529,False
2115,False
2850,False
2675,False
3268,False
2510,False
3028,False
3629,False
2852,False
2768,False
2923,False
2279,False
2719,False
3033,False
