,h_post,h_post_individualized
2217,1.0,
2456,1.0,
3326,1.0,
2005,1.0,
3508,0.12000000000000001,
2300,0.82,
3329,1.0,
3921,0.96,
3021,1.0,
2392,0.98,
3058,1.0,
3148,0.9,
3202,1.0,
2941,1.0,
2713,1.0,
3942,1.0,
3047,0.96,
3277,1.0,
2189,1.0,
3762,1.0,
3635,0.98,
2540,1.0,
3265,1.0,
3319,1.0,
3913,0.98,
2642,0.98,
2631,1.0,
2533,0.0,
3122,0.0,
2504,1.0,
2662,1.0,
3212,0.94,
2582,1.0,
3488,1.0,
2169,1.0,
2190,0.07999999999999999,
2293,1.0,
2911,1.0,
3903,0.02,
2417,0.98,
3911,0.94,
3138,1.0,
3939,1.0,
2290,1.0,
2146,0.02,
2098,1.0,
2227,1.0,
2054,0.98,
3124,1.0,
3704,1.0,
3131,1.0,
3360,0.94,
3185,1.0,
2425,1.0,
3280,0.8,
2669,1.0,
2344,0.06,
3625,1.0,
2459,1.0,
3495,1.0,
3260,0.98,
2998,1.0,
3991,1.0,
2923,0.98,
3531,1.0,
2014,1.0,
2038,0.98,
3456,1.0,
3520,1.0,
3926,1.0,
3748,1.0,
3961,1.0,
2792,1.0,
3755,0.94,
2788,0.03999999999999999,
2893,1.0,
2658,1.0,
2761,1.0,
2156,1.0,
3966,0.98,
3066,0.84,
3135,1.0,
2706,1.0,
3386,1.0,
3564,1.0,
2176,1.0,
3186,1.0,
3782,0.98,
2388,1.0,
3139,0.64,
2961,0.94,
2299,1.0,
3560,1.0,
3633,1.0,
3336,1.0,
2573,1.0,
3399,0.32000000000000006,
2319,1.0,
2621,1.0,
3907,1.0,
3102,1.0,
3505,1.0,
2657,0.98,
2181,1.0,
3243,0.82,
2600,1.0,
2873,0.98,
2470,0.0,
2847,1.0,
3606,1.0,
3230,0.06,
3850,0.10000000000000002,
2611,1.0,
3916,1.0,
3005,1.0,
2229,0.98,
2942,1.0,
2694,0.96,
2543,1.0,
2473,0.98,
3983,1.0,
3120,1.0,
2141,0.98,
3435,1.0,
2687,1.0,
2623,0.98,
3477,1.0,
3119,0.98,
3766,0.10000000000000002,
3357,0.02,
3067,1.0,
3296,1.0,
3526,1.0,
2676,1.0,
2493,0.98,
2520,0.94,
3086,0.66,
3667,1.0,
3711,1.0,
2754,0.07999999999999999,
2447,1.0,
2438,1.0,
2265,1.0,
2907,1.0,
3745,0.98,
2365,1.0,
2839,0.94,
2218,1.0,
3062,1.0,
3417,1.0,
2153,1.0,
3783,0.98,
3934,0.98,
2142,1.0,
2709,0.96,
2616,1.0,
3672,0.98,
2774,1.0,
2166,0.98,
2477,0.0,
2232,1.0,
3848,1.0,
3356,1.0,
2400,0.98,
3678,1.0,
2346,1.0,
3450,0.98,
3467,1.0,
2250,1.0,
3490,1.0,
2209,0.8,
3175,1.0,
3083,1.0,
2953,1.0,
2576,1.0,
3836,0.0,
2864,0.02,
3930,0.98,
2524,1.0,
2648,1.0,
2280,1.0,
3644,1.0,
3140,0.96,
2118,1.0,
3979,1.0,
2007,1.0,
3647,1.0,
2395,1.0,
3956,0.98,
2690,1.0,
3375,1.0,
2784,0.9,
3777,1.0,
3409,1.0,
3734,1.0,
2071,0.92,
2778,1.0,
2042,1.0,
2937,1.0,
3028,1.0,
