,senior-level_skill
3277,0.0
3428,0.0
2803,0.0
3918,0.0
2026,0.0
2144,0.0
3104,0.0
2097,0.0
2671,0.0
2325,0.0
2862,0.0
2743,0.0
2115,0.0
3477,0.0
2661,0.0
3803,0.0
2747,0.0
2511,0.0
3138,0.0
2496,0.0
2500,0.0
3073,0.0
2658,0.0
3718,0.0
3012,0.0
3711,0.0
3230,0.0
2318,0.0
2164,0.0
3629,0.0
3007,0.0
3770,0.0
2545,0.0
2223,0.0
2506,0.0
2700,0.0
3064,0.0
2636,0.0
3722,0.0
3108,0.0
3745,0.0
2607,0.0
3386,0.0
3843,0.0
3988,0.0
3131,0.0
2375,0.0
3611,0.0
3190,0.0
2225,0.0
2072,0.0
3351,0.0
2896,0.0
2529,0.0
2655,0.0
3976,0.0
2781,0.0
3025,0.0
2857,0.0
2851,0.0
2152,0.0
2591,0.0
2149,0.0
2036,0.0
3600,0.0
2253,0.0
3831,0.0
2430,0.0
3095,0.0
2690,0.0
3394,0.0
2488,0.0
3148,0.0
3913,0.0
3963,0.0
3437,0.0
2623,0.0
2019,0.0
2424,0.0
3933,0.0
3593,0.0
2575,0.0
2933,0.0
2963,0.0
3392,0.0
2227,0.0
3615,0.0
2130,0.0
2334,0.0
3033,0.0
3697,0.0
2718,0.0
3040,0.0
3463,0.0
3956,0.0
3074,0.0
2302,0.0
3132,0.0
2245,0.0
2108,0.0
3403,0.0
3485,0.0
3487,0.0
3203,0.0
2464,0.0
2906,0.0
3472,0.0
3644,0.0
3335,0.0
2651,0.0
2995,0.0
2455,0.0
3985,0.0
2296,0.0
3666,0.0
2679,0.0
2198,0.0
2077,0.0
3161,0.0
3727,0.0
3853,0.0
3192,0.0
2815,0.0
2482,0.0
3395,0.0
3909,0.0
2399,0.0
2923,0.0
2981,0.0
3411,0.0
2014,0.0
3531,0.0
2467,0.0
3709,0.0
3609,0.0
2603,0.0
3260,0.0
2163,0.0
2272,0.0
3896,0.0
2599,0.0
2799,0.0
3288,0.0
2732,0.0
2321,0.0
2293,0.0
3935,0.0
3565,0.0
3087,0.0
2672,0.0
3607,0.0
3507,0.0
3794,0.0
2752,0.0
3356,0.0
2336,0.0
3654,0.0
3614,0.0
2177,0.0
3022,0.0
3764,0.0
3474,0.0
2233,0.0
3661,0.0
2908,0.0
2602,0.0
3096,0.0
3333,0.0
3512,0.0
2788,0.0
2475,0.0
2880,0.0
2304,0.0
2276,0.0
2734,0.0
3338,0.0
2542,0.0
3015,0.0
2092,0.0
3160,0.0
2704,0.0
3184,0.0
3581,0.0
3316,0.0
3662,0.0
3588,0.0
3340,0.0
3439,0.0
3109,0.0
3151,0.0
2628,0.0
3830,0.0
2915,0.0
2250,0.0
2639,0.0
2843,0.0
3124,0.0
2836,0.0
2841,0.0
2754,0.0
