,years_experience,degree
2496,0.0,3.0
3694,0.0,1.0
3791,0.0,3.0
3644,0.0,2.0
3940,1.0,0.0
2850,0.0,2.0
2777,1.0,0.0
3650,0.0,2.0
3154,0.0,1.0
3893,1.0,1.0
2420,2.0,0.0
2044,1.0,0.0
2908,0.0,2.0
2223,2.0,0.0
2743,0.0,3.0
3449,2.0,1.0
2424,3.0,0.0
3190,0.0,2.0
3025,0.0,1.0
3447,1.0,0.0
3638,2.0,0.0
2337,2.0,0.0
3161,1.0,0.0
2618,0.0,2.0
2870,0.0,3.0
2505,0.0,2.0
3287,0.0,1.0
2641,1.0,0.0
2713,0.0,1.0
2302,1.0,2.0
3538,0.0,1.0
2233,0.0,2.0
2449,0.0,2.0
2636,0.0,2.0
3402,0.0,1.0
3507,0.0,2.0
3843,0.0,3.0
3857,1.0,1.0
2048,0.0,2.0
2774,0.0,2.0
2590,0.0,3.0
2888,0.0,1.0
3392,1.0,1.0
3308,1.0,1.0
2658,2.0,0.0
2954,0.0,1.0
2769,0.0,2.0
3709,0.0,2.0
3561,0.0,1.0
3403,0.0,1.0
2659,0.0,2.0
3737,0.0,1.0
2092,0.0,1.0
2758,0.0,1.0
3547,0.0,2.0
2179,0.0,1.0
3584,1.0,1.0
3132,0.0,2.0
3896,2.0,1.0
3762,1.0,0.0
2981,1.0,0.0
2443,0.0,3.0
2103,2.0,0.0
3658,0.0,2.0
3184,3.0,0.0
3460,1.0,1.0
2824,0.0,3.0
3352,0.0,3.0
2841,1.0,1.0
2813,2.0,0.0
3393,2.0,0.0
2885,1.0,2.0
2718,1.0,1.0
2143,1.0,0.0
3373,0.0,3.0
3534,2.0,0.0
3799,0.0,1.0
2026,0.0,3.0
3963,1.0,0.0
3677,1.0,0.0
2788,2.0,0.0
2726,0.0,3.0
3603,2.0,1.0
2734,0.0,3.0
3298,1.0,2.0
3581,1.0,0.0
3458,1.0,0.0
2163,0.0,1.0
3494,0.0,1.0
3541,0.0,3.0
3218,0.0,2.0
3467,2.0,0.0
2247,3.0,0.0
2124,0.0,3.0
3090,2.0,0.0
2033,0.0,3.0
2613,0.0,3.0
2916,0.0,1.0
3073,1.0,1.0
2666,0.0,1.0
3944,1.0,1.0
3607,0.0,1.0
2704,0.0,1.0
2969,0.0,2.0
2153,1.0,0.0
2910,0.0,1.0
3921,0.0,2.0
2591,0.0,1.0
3347,0.0,2.0
3985,1.0,1.0
2159,0.0,1.0
3283,0.0,1.0
3372,0.0,3.0
3230,1.0,0.0
3514,1.0,0.0
2754,3.0,0.0
2836,0.0,2.0
2609,3.0,0.0
3911,1.0,1.0
2989,0.0,3.0
3691,2.0,1.0
3389,1.0,1.0
3022,1.0,0.0
3198,2.0,0.0
3067,0.0,1.0
2376,0.0,1.0
3777,1.0,0.0
2780,0.0,1.0
3877,1.0,1.0
3821,1.0,1.0
3074,0.0,1.0
2881,0.0,2.0
3245,0.0,2.0
2036,0.0,1.0
3165,1.0,0.0
2587,1.0,1.0
3105,0.0,2.0
2080,0.0,1.0
2017,0.0,3.0
3635,0.0,1.0
2315,0.0,3.0
3729,1.0,0.0
3568,1.0,1.0
2172,0.0,1.0
3482,0.0,1.0
2243,0.0,1.0
2115,0.0,1.0
2840,2.0,1.0
2318,2.0,0.0
2906,1.0,0.0
2647,0.0,3.0
3972,0.0,3.0
3288,1.0,1.0
2060,0.0,3.0
2982,1.0,0.0
2249,2.0,1.0
2875,0.0,1.0
3501,1.0,1.0
3228,1.0,1.0
3871,0.0,2.0
3614,1.0,1.0
2483,0.0,3.0
3616,1.0,0.0
3938,0.0,2.0
2790,1.0,0.0
3783,1.0,1.0
2607,1.0,0.0
3007,1.0,1.0
3472,0.0,2.0
3498,0.0,2.0
2177,1.0,2.0
3324,1.0,0.0
3636,0.0,1.0
3833,1.0,1.0
3608,0.0,1.0
3015,0.0,3.0
3735,0.0,3.0
2804,1.0,1.0
3319,0.0,3.0
3148,1.0,1.0
2067,2.0,1.0
3683,2.0,0.0
3314,0.0,3.0
2661,1.0,1.0
2259,1.0,1.0
3565,0.0,1.0
3717,0.0,1.0
2334,0.0,1.0
2938,0.0,3.0
2939,0.0,3.0
3621,0.0,3.0
2488,1.0,1.0
3212,0.0,3.0
2276,2.0,1.0
2880,1.0,0.0
2752,1.0,0.0
3318,0.0,2.0
2014,0.0,1.0
2878,0.0,1.0
3666,0.0,3.0
