,y_hat
2096,False
2756,False
3968,False
2665,False
2423,False
2729,False
2162,False
2306,False
3139,False
3613,False
2663,False
3564,False
2931,False
3004,False
3480,False
3493,False
2880,False
3102,False
3453,False
3239,False
3691,False
2580,False
3203,False
3868,False
2350,False
3259,False
2941,False
2214,False
3765,False
2315,False
3236,False
3529,False
3517,False
3958,False
2922,False
2185,False
3077,False
3450,False
3648,False
2533,False
2260,False
3518,False
2747,False
3993,False
2979,False
2159,False
3154,False
3392,False
2193,False
3181,False
2867,False
3646,False
3915,False
3422,False
2840,False
3921,False
3662,False
2872,False
2845,False
3900,False
2858,False
2703,False
3120,False
2830,False
3364,False
3126,False
3108,False
3366,False
3799,False
3935,False
2923,False
3788,False
2440,False
3308,False
2694,False
3667,False
2179,False
2074,False
2075,False
3625,False
2711,False
2327,False
3292,False
3985,False
2307,False
2362,False
2324,False
2019,False
3047,False
2494,False
3389,False
2156,False
3312,False
3462,False
2776,False
2442,False
3649,False
2465,False
3560,False
3948,False
2285,False
3005,False
2977,False
3704,False
3064,False
3751,False
2443,False
3109,False
3511,False
2631,False
2735,False
2838,False
2255,False
3492,False
2282,False
3237,False
3423,False
2406,False
3850,False
2532,False
2310,False
3763,False
2528,False
2915,False
3072,False
2304,False
2271,False
2433,False
3979,False
3370,False
2100,False
3310,False
3687,False
2015,False
2382,False
3703,False
2592,False
3009,False
3702,False
3897,False
3491,False
2511,False
3362,False
2833,False
3584,False
3264,False
3198,False
3104,False
2970,False
3843,False
3680,False
3701,False
3175,False
2289,False
3640,False
3795,False
3291,False
3792,False
2799,False
2936,False
2725,False
3905,False
2929,False
2286,False
3060,False
2947,False
3939,False
3410,False
2535,False
3743,False
2390,False
2921,False
3916,False
3404,False
2571,False
3996,False
3093,False
3759,False
2728,False
3182,False
3818,False
2819,False
3056,False
3226,False
3852,False
2555,False
3933,False
2489,False
2167,False
2568,False
2900,False
2457,False
2925,False
2657,False
3896,False
2625,False
3148,False
3115,False
2078,False
3090,False
