,years_experience,degree,nr_commits,nr_languages,nr_stars
3076,1.0,1.0,4.0,1.5,2.0
2508,0.0,0.0,3.0,4.5,3.0
2253,1.0,1.0,4.0,11.5,0.0
3182,0.0,0.0,5.0,0.5,6.0
2825,2.0,1.0,4.0,8.5,6.0
2996,1.0,0.0,5.0,2.5,6.0
2735,2.0,0.0,10.0,4.5,3.0
2838,2.0,1.0,6.0,14.5,3.0
3459,1.0,0.0,2.0,9.5,3.0
2252,1.0,0.0,5.0,3.5,5.0
2262,2.0,0.0,4.0,1.5,3.0
2904,1.0,0.0,7.0,0.5,1.0
3104,1.0,1.0,4.0,2.5,6.0
2921,2.0,1.0,2.0,1.5,3.0
3509,1.0,2.0,4.0,3.5,5.0
2295,1.0,0.0,4.0,12.5,2.0
3599,0.0,1.0,2.0,4.5,10.0
3743,2.0,0.0,4.0,4.5,2.0
3282,0.0,0.0,5.0,5.5,4.0
2494,1.0,2.0,7.0,0.5,5.0
2061,2.0,0.0,4.0,4.5,2.0
2804,3.0,0.0,8.0,8.5,2.0
3330,4.0,0.0,2.0,2.5,1.0
3206,0.0,1.0,7.0,3.5,4.0
3171,1.0,1.0,6.0,0.5,1.0
2155,1.0,1.0,4.0,1.5,5.0
3240,2.0,0.0,3.0,7.5,1.0
3453,3.0,0.0,4.0,4.5,3.0
3889,2.0,0.0,2.0,3.5,3.0
3067,3.0,0.0,6.0,4.5,5.0
3851,1.0,0.0,6.0,0.5,3.0
2410,4.0,0.0,3.0,2.5,4.0
3638,2.0,1.0,2.0,0.5,8.0
3939,1.0,1.0,5.0,5.5,4.0
3264,0.0,2.0,3.0,1.5,1.0
2317,1.0,1.0,7.0,1.5,4.0
2515,2.0,0.0,3.0,1.5,11.0
2599,3.0,0.0,5.0,1.5,1.0
3329,2.0,0.0,12.0,3.5,3.0
2578,2.0,0.0,7.0,5.5,5.0
3179,1.0,1.0,4.0,5.5,2.0
3415,2.0,0.0,7.0,1.5,3.0
2900,1.0,0.0,4.0,5.5,3.0
3072,1.0,0.0,5.0,1.5,2.0
2285,2.0,0.0,6.0,1.5,8.0
3238,1.0,0.0,5.0,3.5,2.0
3467,1.0,0.0,9.0,1.5,2.0
2590,2.0,0.0,3.0,6.5,4.0
2011,2.0,0.0,6.0,8.5,3.0
2083,1.0,1.0,8.0,10.5,8.0
2739,3.0,0.0,10.0,1.5,1.0
3621,1.0,1.0,2.0,0.5,3.0
2931,0.0,0.0,3.0,4.5,0.0
3129,1.0,0.0,5.0,6.5,1.0
2593,1.0,1.0,3.0,7.5,5.0
2064,0.0,2.0,3.0,1.5,5.0
2443,1.0,0.0,7.0,3.5,3.0
2631,0.0,2.0,7.0,3.5,9.0
3837,0.0,2.0,2.0,8.5,1.0
2691,2.0,0.0,1.0,3.5,4.0
3642,2.0,0.0,6.0,9.5,7.0
2747,3.0,0.0,5.0,6.5,8.0
2524,0.0,1.0,8.0,4.5,7.0
3680,0.0,0.0,9.0,2.5,3.0
2922,0.0,1.0,5.0,0.5,2.0
2238,2.0,0.0,4.0,3.5,7.0
3106,1.0,1.0,5.0,0.5,2.0
2270,0.0,2.0,5.0,2.5,4.0
2157,2.0,0.0,8.0,2.5,1.0
3492,1.0,0.0,5.0,7.5,2.0
2120,3.0,0.0,7.0,4.5,1.0
2019,0.0,2.0,3.0,1.5,8.0
2053,0.0,0.0,4.0,3.5,2.0
3310,1.0,0.0,2.0,0.5,6.0
