ix,goal_cost,intv_cost
3335,1.0,5.4004
3896,1.0,0.5001
2531,1.0,0.92
3640,1.0,0.23
2827,1.0,5.0002
3298,1.0,5.8003
2153,1.0,0.7000000000000001
2876,1.0,1.2101000000000002
2012,1.0,0.30010000000000003
2267,1.0,0.9101
2053,1.0,6.1
3629,1.0,0.8002
2165,1.0,6.030200000000001
3175,1.0,0.7000000000000001
3064,1.0,0.8
3462,1.0,6.109999999999999
3514,1.0,1.32
2676,1.0,0.4
2451,1.0,0.7303000000000001
2389,1.0,0.8
2159,1.0,5.3
2599,1.0,0.9001
2172,1.0,0.7000000000000001
3491,1.0,0.9400000000000001
3114,1.0,0.8105
2522,1.0,0.02
2880,1.0,1.11
3984,1.0,5.5002
2457,1.0,0.1
2568,1.0,0.7005
2083,1.0,0.5604
3102,1.0,0.5001
2245,1.0,5.76
2434,1.0,1.2000000000000002
2107,1.0,5.52
2688,1.0,0.8105
3544,1.0,0.1003
3859,1.0,1.12
3583,1.0,0.6600000000000001
2307,1.0,5.84
3615,1.0,0.7000000000000001
2273,1.0,0.9
2271,1.0,6.01
2189,1.0,6.1
2694,1.0,1.2304000000000002
3159,1.0,5.33
3415,1.0,0.7201000000000001
3321,1.0,0.4
3536,1.0,0.9
3851,1.0,5.730200000000001
3968,1.0,5.94
3090,1.0,5.859999999999999
3066,1.0,6.01
3632,1.0,0.31010000000000004
2078,1.0,5.03
3542,1.0,0.8
3005,1.0,0.7100000000000001
3269,1.0,1.1
3889,1.0,0.7300000000000001
2711,1.0,0.6103000000000001
2455,1.0,0.9
3558,1.0,0.5
3964,1.0,5.8304
3799,1.0,5.9301
3506,1.0,0.41000000000000003
2908,1.0,0.6000000000000001
2423,1.0,5.6004
3611,1.0,0.00030000000000000003
3825,1.0,0.8500000000000001
3954,1.0,0.2001
2873,1.0,0.31010000000000004
3258,1.0,0.6001000000000001
3126,1.0,0.01
3837,1.0,0.9002
3182,1.0,5.7200999999999995
3573,1.0,0.8
3527,1.0,0.53
3226,1.0,0.8
2099,1.0,5.4204
3551,1.0,5.5009
3599,1.0,0.2
2006,1.0,0.7000000000000001
2109,1.0,5.24
3555,1.0,0.13
3420,1.0,0.5002
2443,1.0,5.73
3855,1.0,0.7002
3939,1.0,0.9101
2528,1.0,0.5
2323,1.0,5.8002
2900,1.0,5.71
2328,1.0,1.0
3659,1.0,5.4
3909,1.0,0.9
3748,1.0,0.30000000000000004
3366,1.0,0.30000000000000004
2976,1.0,0.9001
3827,1.0,0.2
2485,1.0,1.2303000000000002
2224,1.0,0.4001
2803,1.0,5.3
2872,1.0,0.8105
3638,1.0,0.21020000000000003
2061,1.0,0.8003
2881,1.0,0.7001000000000001
2138,1.0,6.01
2756,1.0,0.9
2958,1.0,0.7100000000000001
3312,1.0,0.5
3522,1.0,0.5
2741,1.0,5.74
2270,1.0,0.6000000000000001
2824,1.0,0.5103
3146,1.0,6.01
3139,1.0,6.04
2691,1.0,0.6007000000000001
2262,1.0,0.7500000000000001
2657,1.0,5.020499999999999
3886,1.0,0.5102
3306,1.0,0.2001
2666,1.0,0.81
2602,1.0,5.73
2922,1.0,1.1201
2282,1.0,0.2001
3862,1.0,0.7100000000000001
3921,1.0,0.7000000000000001
3704,1.0,5.83
2677,1.0,0.9001
3841,1.0,0.1
2800,1.0,0.7000000000000001
2393,1.0,1.1101
3279,1.0,1.02
3098,1.0,5.7101
2435,1.0,0.92
3423,1.0,0.7002
2164,1.0,5.810099999999999
2406,1.0,5.85
2182,1.0,0.8101
3643,1.0,5.0
2123,1.0,0.30010000000000003
3588,1.0,1.5001
3765,1.0,0.6200000000000001
3293,1.0,0.2
2341,1.0,0.1203
2175,1.0,0.0005
2289,1.0,0.5001
3243,1.0,0.30000000000000004
3946,1.0,0.12000000000000001
2919,1.0,1.1300000000000001
2120,1.0,0.9
2792,1.0,0.8
2024,1.0,6.2003
3084,1.0,0.6000000000000001
2580,1.0,0.5
2675,1.0,0.7100000000000001
3225,1.0,0.8
2214,1.0,0.5
2988,1.0,0.5
3782,1.0,0.2
3472,1.0,0.8
3854,1.0,0.9002
2314,1.0,6.0207999999999995
2293,1.0,1.0004
3329,1.0,0.7000000000000001
2139,1.0,5.91
3467,1.0,5.819999999999999
3743,1.0,0.8200000000000001
2590,1.0,0.6000000000000001
2517,1.0,0.51
2923,1.0,1.1106
2463,1.0,0.00030000000000000003
2850,1.0,5.35
3634,1.0,5.810099999999999
3981,1.0,0.7100000000000001
2645,1.0,0.9
3858,1.0,0.91
3511,1.0,6.02
2696,1.0,5.8
3272,1.0,6.03
2904,1.0,5.96
2023,1.0,0.81
3509,1.0,0.5
2076,1.0,0.42000000000000004
3810,1.0,0.8004
3933,1.0,6.1002
3009,1.0,0.2
2996,1.0,5.44
2431,1.0,0.5001
3318,1.0,1.0
2948,1.0,0.7000000000000001
3173,1.0,1.0002
3492,1.0,5.8
2555,1.0,0.9
3183,1.0,0.30000000000000004
2157,1.0,0.9101
2511,1.0,5.5
3706,1.0,1.0
2771,1.0,1.0304
2987,1.0,0.8001
3056,1.0,0.5
