,years_experience,degree,nr_commits,nr_languages,nr_stars
3984,1.0,0.0,3.0,9.5,5.0
2742,1.0,2.0,4.0,3.5,6.0
2528,1.0,2.0,3.0,8.5,5.0
2945,2.0,0.0,5.0,1.5,7.0
2531,2.0,0.0,5.0,4.5,1.0
3497,0.0,1.0,7.0,4.5,4.0
3706,2.0,0.0,7.0,7.5,0.0
3124,1.0,0.0,5.0,3.5,6.0
3045,0.0,3.0,3.0,3.5,5.0
3232,2.0,0.0,5.0,4.5,6.0
2374,0.0,2.0,3.0,1.5,6.0
2599,3.0,0.0,5.0,1.5,1.0
2778,3.0,0.0,5.0,7.5,4.0
2719,0.0,0.0,5.0,6.5,3.0
3467,1.0,0.0,9.0,1.5,2.0
2725,1.0,1.0,3.0,2.5,7.0
2551,1.0,0.0,9.0,0.5,10.0
2929,1.0,0.0,7.0,10.5,1.0
2628,2.0,0.0,6.0,3.5,4.0
2075,1.0,1.0,3.0,0.5,2.0
3110,2.0,0.0,2.0,1.5,2.0
2434,1.0,1.0,2.0,4.5,1.0
3285,3.0,0.0,4.0,1.5,1.0
3059,2.0,0.0,3.0,13.5,6.0
3629,3.0,0.0,2.0,2.5,2.0
3084,3.0,1.0,8.0,5.5,4.0
3825,2.0,0.0,3.0,1.5,2.0
3514,1.0,1.0,6.0,6.5,2.0
3186,1.0,0.0,4.0,4.5,1.0
2711,1.0,1.0,7.0,3.5,7.0
2442,3.0,0.0,5.0,4.5,5.0
3129,1.0,0.0,5.0,6.5,1.0
3375,0.0,2.0,7.0,3.5,8.0
2350,2.0,0.0,8.0,2.5,7.0
3841,3.0,0.0,8.0,1.5,9.0
3905,2.0,0.0,3.0,7.5,8.0
3525,1.0,1.0,3.0,6.5,6.0
3327,3.0,0.0,4.0,1.5,9.0
3705,2.0,0.0,6.0,3.5,3.0
2946,1.0,0.0,8.0,6.5,0.0
3005,2.0,0.0,6.0,5.5,3.0
2825,2.0,1.0,4.0,8.5,6.0
3827,2.0,0.0,4.0,8.5,8.0
3784,0.0,1.0,7.0,2.5,1.0
3003,0.0,2.0,5.0,0.5,3.0
3594,3.0,0.0,7.0,4.5,4.0
3989,3.0,0.0,5.0,0.5,4.0
3194,1.0,1.0,8.0,6.5,2.0
3041,0.0,0.0,3.0,4.5,1.0
2756,2.0,0.0,5.0,6.5,1.0
2555,0.0,2.0,5.0,1.5,1.0
2111,3.0,0.0,2.0,5.5,1.0
2494,1.0,2.0,7.0,0.5,5.0
2185,2.0,1.0,6.0,7.5,0.0
3993,1.0,0.0,5.0,1.5,3.0
2388,3.0,0.0,3.0,0.5,1.0
3484,3.0,0.0,7.0,2.5,4.0
3584,0.0,2.0,5.0,1.5,4.0
3724,0.0,0.0,4.0,2.5,8.0
3590,0.0,2.0,1.0,1.5,1.0
2571,2.0,1.0,2.0,2.9999547004699707,10.0
3646,1.0,1.0,5.0,2.5,3.0
3812,2.0,0.0,2.0,1.5,4.0
2776,1.0,1.0,7.0,4.5,0.0
2324,0.0,1.0,2.0,6.5,11.0
3765,0.0,1.0,2.0,6.5,6.0
3890,1.0,0.0,4.0,3.5,4.0
2824,2.0,0.0,5.0,2.5,5.0
3387,3.0,0.0,5.0,2.5,3.0
3195,1.0,0.0,6.0,3.5,0.0
2524,0.0,1.0,8.0,4.5,7.0
2850,1.0,0.0,6.0,1.5,7.0
3310,1.0,0.0,2.0,0.5,6.0
3855,2.0,0.0,6.0,3.5,3.0
2994,1.0,2.0,6.0,9.5,4.0
3139,1.0,0.0,4.0,2.5,0.0
2176,2.0,1.0,3.0,1.5,1.0
2327,1.0,0.0,1.0,5.5,1.0
2226,2.0,0.0,6.0,0.5,3.0
3642,2.0,0.0,6.0,9.5,7.0
3272,0.0,0.0,5.0,7.5,3.0
3299,1.0,0.0,6.0,0.5,0.0
2454,2.0,1.0,3.0,6.5,2.0
2341,2.0,0.0,2.0,11.5,9.0
2074,1.0,0.0,4.0,5.5,5.0
3935,2.0,1.0,5.0,4.5,2.0
3648,2.0,0.0,4.0,0.5,1.0
2306,1.0,1.0,3.0,8.5,0.0
2390,1.0,0.0,9.0,1.5,2.0
3443,1.0,0.0,2.0,0.5,1.0
3615,2.0,1.0,4.0,11.5,3.0
3509,1.0,2.0,4.0,3.5,5.0
3649,1.0,0.0,8.0,9.5,3.0
3946,2.0,0.0,6.0,4.5,9.0
2879,2.0,0.0,4.0,1.5,6.0
2688,1.0,1.0,9.0,3.5,5.0
3418,1.0,1.0,3.0,7.5,0.0
2193,0.0,0.0,5.0,3.5,5.0
2018,1.0,0.0,2.0,5.5,2.0
2172,2.0,1.0,8.0,1.5,3.0
3090,1.0,0.0,6.0,0.5,2.0
3108,3.0,0.0,6.0,2.5,3.0
3313,3.0,0.0,7.0,9.5,1.0
3923,2.0,0.0,6.0,2.5,9.0
2993,2.0,0.0,6.0,4.5,6.0
3667,2.0,1.0,4.0,7.5,5.0
2874,3.0,0.0,2.0,8.5,2.0
2006,1.0,2.0,4.0,1.5,3.0
2449,3.0,0.0,3.0,0.5,2.0
3799,0.0,0.0,3.0,1.5,3.0
2765,1.0,1.0,9.0,2.5,4.0
3810,2.0,0.0,4.0,3.5,2.0
2840,2.0,0.0,5.0,5.5,0.0
2657,1.0,0.0,3.0,1.5,10.0
2123,3.0,0.0,3.0,2.5,7.0
3538,1.0,0.0,6.0,13.5,10.0
2207,1.0,0.0,6.0,1.5,5.0
3928,3.0,0.0,6.0,1.5,7.0
2120,3.0,0.0,7.0,4.5,1.0
3888,1.0,1.0,3.0,4.5,4.0
3517,0.0,1.0,4.0,5.5,5.0
3527,2.0,0.0,10.0,0.5,5.0
2168,2.0,1.0,5.0,10.5,5.0
3093,1.0,0.0,5.0,7.5,1.0
3167,1.0,0.0,5.0,3.5,2.0
3701,2.0,0.0,5.0,5.5,2.0
3915,0.0,2.0,4.0,2.5,4.0
2152,3.0,0.0,5.0,4.5,1.0
3060,2.0,0.0,5.0,0.5,3.0
3968,1.0,0.0,3.0,12.5,1.0
3158,1.0,1.0,5.0,6.5,1.0
3662,3.0,0.0,5.0,2.5,0.0
3959,0.0,2.0,4.0,2.5,6.0
2836,3.0,0.0,3.0,0.5,4.0
3889,2.0,0.0,2.0,3.5,3.0
