,y_hat
3984,False
2742,False
2528,False
2945,False
2531,False
3497,False
3706,False
3124,False
3045,False
3232,False
2374,False
2599,False
2778,False
2719,False
3467,False
2725,False
2551,False
2929,False
2628,False
2075,False
3110,False
2434,False
3285,False
3059,False
3629,False
3084,False
3825,False
3514,False
3186,False
2711,False
2442,False
3129,False
3375,False
2350,False
3841,False
3905,False
3525,False
3327,False
3705,False
2946,False
3005,False
2825,False
3827,False
3784,False
3003,False
3594,False
3989,False
3194,False
3041,False
2756,False
2555,False
2111,False
2494,False
2185,False
3993,False
2388,False
3484,False
3584,False
3724,False
3590,False
2571,False
3646,False
3812,False
2776,False
2324,False
3765,False
3890,False
2824,False
3387,False
3195,False
2524,False
2850,False
3310,False
3855,False
2994,False
3139,False
2176,False
2327,False
2226,False
3642,False
3272,False
3299,False
2454,False
2341,False
2074,False
3935,False
3648,False
2306,False
2390,False
3443,False
3615,False
3509,False
3649,False
3946,False
2879,False
2688,False
3418,False
2193,False
2018,False
2172,False
3090,False
3108,False
3313,False
3923,False
2993,False
3667,False
2874,False
2006,False
2449,False
3799,False
2765,False
3810,False
2840,False
2657,False
2123,False
3538,False
2207,False
3928,False
2120,False
3888,False
3517,False
3527,False
2168,False
3093,False
3167,False
3701,False
3915,False
2152,False
3060,False
3968,False
3158,False
3662,False
3959,False
2836,False
3889,False
3182,False
2157,False
3748,False
2260,False
3131,False
3613,False
3665,False
2421,False
2317,False
3447,False
2289,False
3255,False
2869,False
2245,False
2126,False
2272,False
2410,False
3933,False
3506,False
3743,False
3839,False
3297,False
3404,False
3564,False
3987,False
3225,False
3370,False
3298,False
2797,False
2948,False
2262,False
3544,False
3362,False
2286,False
2880,False
2497,False
3098,False
2656,False
3427,False
2703,False
3792,False
2532,False
3970,False
2626,False
2214,False
3749,False
2096,False
2662,False
2732,False
2827,False
3751,False
3168,False
3154,False
3067,False
2023,False
3522,False
3932,False
3599,False
3048,False
3814,False
2941,False
2557,False
2015,False
3171,False
3198,False
