,y_hat
19323,False
18994,False
10157,False
15145,False
10429,False
15125,False
13252,False
14887,False
11284,False
17886,False
13451,False
16376,False
18926,False
17979,False
18690,False
14532,False
12141,False
15063,False
11706,False
16054,False
10977,False
11891,False
18973,False
19207,False
19816,False
13016,False
14667,False
19443,False
18861,False
17100,False
12926,False
15214,False
10965,False
14501,False
15564,False
19794,False
19293,False
17048,False
16696,False
11717,False
15860,False
13637,False
16005,False
11550,False
11136,False
10585,False
11095,False
18166,False
16324,False
14821,False
11033,False
11271,False
18144,False
17885,False
11912,False
17657,False
12063,False
10310,False
17768,False
17362,False
11857,False
15759,False
17110,False
14423,False
17836,False
11028,False
14552,False
15172,False
10245,False
14315,False
16555,False
13125,False
17809,False
15492,False
12277,False
18676,False
10014,False
11995,False
12970,False
11526,False
10302,False
17359,False
19536,False
15444,False
18450,False
12230,False
14283,False
15944,False
12491,False
17337,False
15836,False
14465,False
18731,False
13367,False
12633,False
14804,False
10348,False
16375,False
16995,False
15054,False
15927,False
12584,False
11777,False
13060,False
14349,False
10592,False
12556,False
17283,False
13327,False
14409,False
16943,False
17828,False
16824,False
11914,False
15949,False
10159,False
14030,False
15064,False
18382,False
12041,False
19590,False
12429,False
19129,False
10198,False
19372,False
16377,False
10527,False
12860,False
12201,False
15739,False
16727,False
16112,False
10846,False
17060,False
15814,False
15561,False
11582,False
11387,False
18472,False
19349,False
18205,False
12804,False
19652,False
10583,False
13316,False
12955,False
17933,False
17097,False
11181,False
11793,False
10081,False
12645,False
11876,False
12164,False
18780,False
15377,False
15952,False
17329,False
18190,False
19357,False
12424,False
11681,False
17808,False
18575,False
19237,False
16955,False
18035,False
14248,False
12617,False
16911,False
12361,False
17433,False
15410,False
17638,False
15905,False
16472,False
17022,False
16619,False
16059,False
14521,False
15684,False
10516,False
11167,False
10336,False
10134,False
12593,False
17576,False
13792,False
12122,False
10841,False
10631,False
13547,False
10115,False
16172,False
15525,False
13362,False
16178,False
11242,False
13791,False
10532,False
