,h_post,h_post_individualized
19131,0.74,
11761,0.78,
17921,0.92,
18998,0.86,
11577,0.86,
18851,0.92,
19060,0.86,
14585,0.88,
13557,0.88,
15077,0.94,
12164,0.9,
18348,0.84,
17954,0.9,
14095,0.78,
11035,0.98,
11991,0.8,
17173,0.94,
18789,0.86,
12709,0.9,
14452,0.96,
14202,0.76,
15611,0.88,
17868,0.86,
18911,0.92,
13394,0.94,
10379,0.86,
19676,0.94,
14267,0.7,
15991,0.9,
14716,0.78,
12081,0.68,
12999,0.94,
11877,0.9,
19814,0.96,
15063,0.9,
17945,0.88,
18478,0.84,
13881,0.9,
10433,0.9,
15870,0.9,
14559,0.78,
10087,0.88,
12213,0.92,
17548,0.88,
19491,0.94,
10416,0.88,
17683,0.84,
10788,0.92,
17442,0.9,
15866,0.92,
17427,0.9,
10759,0.86,
11942,0.82,
16723,0.76,
13366,0.94,
13771,0.88,
18668,0.92,
15970,0.88,
13746,0.86,
16540,0.9,
16749,0.84,
18628,0.86,
19669,0.94,
11162,0.84,
11993,0.78,
19767,0.82,
19861,0.94,
10312,0.96,
19625,0.88,
12737,0.74,
15178,0.96,
12960,0.84,
17587,0.8,
13638,0.92,
17055,0.9,
10849,0.94,
15273,0.82,
15079,0.88,
17608,0.9,
19939,0.84,
10532,0.86,
13558,0.9,
13678,0.88,
16063,0.88,
19772,0.9,
17534,0.92,
15549,0.92,
19725,0.84,
12459,0.98,
17595,0.92,
13190,0.94,
14266,0.78,
17596,0.88,
19763,0.92,
16519,0.88,
10137,0.9,
19244,0.9,
15313,0.76,
13417,0.92,
12064,0.96,
14823,0.74,
17060,0.84,
19384,0.92,
17780,0.94,
16406,0.76,
14546,0.86,
18074,0.9,
19627,0.86,
10837,0.84,
12474,0.96,
11293,0.9,
11681,0.92,
14064,0.92,
17967,0.88,
18514,0.92,
17599,0.88,
14659,0.94,
14851,0.92,
18212,0.74,
19969,0.9,
10700,0.92,
10012,0.9,
13255,0.88,
18246,0.94,
14243,0.74,
17136,0.88,
13679,0.76,
14809,0.98,
13489,0.96,
13800,0.88,
18543,0.94,
16165,0.92,
18078,1.0,
14101,0.92,
15709,0.9,
10707,0.88,
17983,0.82,
19398,0.9,
15345,0.92,
12009,0.84,
15621,0.82,
17906,0.86,
15600,0.82,
15735,0.88,
15320,0.84,
14615,0.92,
11473,0.9,
13205,0.92,
12894,0.8,
13662,0.9,
11923,0.88,
18516,0.92,
16057,0.88,
10531,0.86,
16483,0.92,
18508,0.84,
13002,0.98,
12320,0.92,
19564,0.92,
12051,0.88,
12594,0.7,
13598,0.88,
11379,0.82,
10542,0.88,
11266,0.92,
12250,0.9,
13807,0.94,
18620,0.92,
14146,0.9,
11677,0.9,
13495,0.92,
17170,0.92,
11021,0.94,
17862,0.9,
16139,0.9,
19549,0.8,
18021,0.88,
10232,0.92,
14735,0.92,
12039,0.94,
16962,0.86,
12521,0.86,
15932,0.88,
14457,0.9,
14055,0.86,
10225,0.76,
16919,0.9,
17774,0.94,
10149,0.92,
18358,0.9,
13009,0.72,
18999,1.0,
12588,0.88,
10956,0.88,
18708,0.84,
19350,0.9,
11941,0.86,
12230,0.86,
13036,0.78,
19025,0.84,
