,y_hat
19131,False
11761,False
17921,False
18998,False
11577,False
18851,False
19060,False
14585,False
13557,False
15077,False
12164,False
18348,False
17954,False
14095,False
11035,False
11991,False
17173,False
18789,False
12709,False
14452,False
14202,False
15611,False
17868,False
18911,False
13394,False
10379,False
19676,False
14267,False
15991,False
14716,False
12081,False
12999,False
11877,False
19814,False
15063,False
17945,False
18478,False
13881,False
10433,False
15870,False
14559,False
10087,False
12213,False
17548,False
19491,False
10416,False
17683,False
10788,False
17442,False
15866,False
17427,False
10759,False
11942,False
16723,False
13366,False
13771,False
18668,False
15970,False
13746,False
16540,False
16749,False
18628,False
19669,False
11162,False
11993,False
19767,False
19861,False
10312,False
19625,False
12737,False
15178,False
12960,False
17587,False
13638,False
17055,False
10849,False
15273,False
15079,False
17608,False
19939,False
10532,False
13558,False
13678,False
16063,False
19772,False
17534,False
15549,False
19725,False
12459,False
17595,False
13190,False
14266,False
17596,False
19763,False
16519,False
10137,False
19244,False
15313,False
13417,False
12064,False
14823,False
17060,False
19384,False
17780,False
16406,False
14546,False
18074,False
19627,False
10837,False
12474,False
11293,False
11681,False
14064,False
17967,False
18514,False
17599,False
14659,False
14851,False
18212,False
19969,False
10700,False
10012,False
13255,False
18246,False
14243,False
17136,False
13679,False
14809,False
13489,False
13800,False
18543,False
16165,False
18078,False
14101,False
15709,False
10707,False
17983,False
19398,False
15345,False
12009,False
15621,False
17906,False
15600,False
15735,False
15320,False
14615,False
11473,False
13205,False
12894,False
13662,False
11923,False
18516,False
16057,False
10531,False
16483,False
18508,False
13002,False
12320,False
19564,False
12051,False
12594,False
13598,False
11379,False
10542,False
11266,False
12250,False
13807,False
18620,False
14146,False
11677,False
13495,False
17170,False
11021,False
17862,False
16139,False
19549,False
18021,False
10232,False
14735,False
12039,False
16962,False
12521,False
15932,False
14457,False
14055,False
10225,False
16919,False
17774,False
10149,False
18358,False
13009,False
18999,False
12588,False
10956,False
18708,False
19350,False
11941,False
12230,False
13036,False
19025,False
