,h_post,h_post_individualized
17176,0.76,
14355,0.66,
15640,0.84,
17970,0.82,
19298,0.94,
13327,0.9,
13654,0.92,
14638,0.9,
10042,1.0,
14546,0.86,
10992,0.82,
17587,0.8,
17523,0.88,
17720,0.76,
12286,0.88,
19568,1.0,
17605,0.92,
11661,0.0,
15075,0.88,
13691,0.94,
13271,0.78,
12328,0.94,
16427,0.84,
16818,0.88,
15598,0.9,
17774,0.94,
14087,0.82,
10539,0.0,
15611,0.88,
12396,0.9,
16091,0.8,
16996,0.9,
16966,0.86,
10617,0.92,
16878,0.03999999999999999,
19251,0.88,
10370,0.88,
10361,0.9,
15945,0.82,
14654,0.9,
14415,0.84,
12308,0.9,
17490,0.9,
12147,0.98,
19066,0.84,
13807,0.02,
16437,0.02,
12459,0.98,
13260,0.92,
13083,0.82,
19969,0.84,
15621,0.92,
12392,0.7,
14574,0.9,
13009,0.72,
15718,0.9,
11373,0.86,
18259,0.86,
18124,0.06,
18989,0.94,
16738,0.74,
19263,0.76,
10629,0.92,
11668,0.92,
13862,0.84,
19493,0.88,
19578,0.76,
11440,0.82,
16610,0.9,
14056,0.76,
12598,0.9,
14559,0.78,
15211,0.88,
16309,0.92,
18544,0.74,
17868,0.86,
17608,0.0,
12243,0.9,
18498,0.94,
12819,0.06,
18969,0.88,
18470,0.92,
12651,0.0,
10828,0.88,
18713,0.92,
15102,0.82,
10433,0.9,
18931,0.82,
16573,0.84,
19455,0.9,
10832,0.78,
14681,0.76,
17534,0.92,
12776,0.8,
14851,0.92,
17980,0.9,
14292,0.84,
10445,0.94,
17906,0.86,
12942,0.88,
17186,0.88,
10242,0.82,
15996,0.8,
13299,0.86,
19767,0.82,
13043,0.9,
17334,0.92,
10324,0.0,
11293,0.9,
15278,0.72,
17869,0.88,
19872,0.9,
12521,0.86,
13619,0.96,
19998,0.88,
13733,0.9,
13184,0.0,
19603,0.88,
16057,0.88,
19161,0.88,
14064,0.92,
11545,0.88,
12960,0.84,
18348,0.82,
16406,0.76,
19465,0.86,
13949,0.88,
14992,0.84,
18708,0.84,
16519,0.88,
16411,0.76,
15952,0.92,
17264,0.8,
18448,0.8,
10822,0.98,
13746,1.0,
19526,0.76,
11377,0.02,
19573,0.8,
11436,0.8,
19668,0.92,
12401,0.88,
15395,0.86,
12229,0.9,
15031,0.98,
15970,0.88,
16628,0.88,
12290,0.9,
17137,0.86,
12515,0.82,
18649,0.94,
17845,1.0,
14316,0.94,
18543,0.02,
10955,0.0,
12377,0.92,
12859,0.88,
16327,0.94,
18385,0.68,
19131,0.74,
19794,0.7,
19879,0.96,
10502,0.72,
11877,0.9,
11606,0.84,
15633,0.84,
10107,0.88,
11081,0.88,
12806,0.82,
14866,0.88,
13771,0.88,
10924,0.92,
15047,0.9,
13710,0.92,
12730,0.78,
11692,0.86,
19876,0.94,
19549,0.8,
14598,0.88,
16303,0.92,
15158,0.86,
16884,0.82,
14735,0.0,
17828,0.78,
19344,0.94,
16671,0.82,
16523,0.88,
14492,0.88,
15932,0.88,
19831,0.88,
11888,0.92,
17945,0.88,
12999,0.94,
10466,0.98,
12457,0.96,
18587,0.9,
17446,0.92,
19162,0.86,
15079,0.88,
11353,0.88,
