,y_hat
17176,False
14355,False
15640,False
17970,False
19298,False
13327,False
13654,False
14638,False
10042,False
14546,False
10992,False
17587,False
17523,False
17720,False
12286,False
19568,False
17605,False
11661,False
15075,False
13691,False
13271,False
12328,False
16427,False
16818,False
15598,False
17774,False
14087,False
10539,False
15611,False
12396,False
16091,False
16996,False
16966,False
10617,False
16878,False
19251,False
10370,False
10361,False
15945,False
14654,False
14415,False
12308,False
17490,False
12147,False
19066,False
13807,False
16437,False
12459,False
13260,False
13083,False
19969,False
15621,False
12392,False
14574,False
13009,False
15718,False
11373,False
18259,False
18124,False
18989,False
16738,False
19263,False
10629,False
11668,False
13862,False
19493,False
19578,False
11440,False
16610,False
14056,False
12598,False
14559,False
15211,False
16309,False
18544,False
17868,False
17608,False
12243,False
18498,False
12819,False
18969,False
18470,False
12651,False
10828,False
18713,False
15102,False
10433,False
18931,False
16573,False
19455,False
10832,False
14681,False
17534,False
12776,False
14851,False
17980,False
14292,False
10445,False
17906,False
12942,False
17186,False
10242,False
15996,False
13299,False
19767,False
13043,False
17334,False
10324,False
11293,False
15278,False
17869,False
19872,False
12521,False
13619,False
19998,False
13733,False
13184,False
19603,False
16057,False
19161,False
14064,False
11545,False
12960,False
18348,False
16406,False
19465,False
13949,False
14992,False
18708,False
16519,False
16411,False
15952,False
17264,False
18448,False
10822,False
13746,False
19526,False
11377,False
19573,False
11436,False
19668,False
12401,False
15395,False
12229,False
15031,False
15970,False
16628,False
12290,False
17137,False
12515,False
18649,False
17845,False
14316,False
18543,False
10955,False
12377,False
12859,False
16327,False
18385,False
19131,False
19794,False
19879,False
10502,False
11877,False
11606,False
15633,False
10107,False
11081,False
12806,False
14866,False
13771,False
10924,False
15047,False
13710,False
12730,False
11692,False
19876,False
19549,False
14598,False
16303,False
15158,False
16884,False
14735,False
17828,False
19344,False
16671,False
16523,False
14492,False
15932,False
19831,False
11888,False
17945,False
12999,False
10466,False
12457,False
18587,False
17446,False
19162,False
15079,False
11353,False
