,h_post,h_post_individualized
11798,0.8,
15739,0.96,
17134,0.78,
19456,0.9,
14735,0.92,
19579,0.92,
12852,0.88,
11903,0.94,
11685,0.92,
10423,0.88,
18566,0.92,
11276,0.92,
10386,0.88,
19918,0.8,
13255,0.88,
14809,0.98,
16513,0.82,
16584,0.92,
16738,0.74,
12457,0.96,
14291,0.92,
14101,0.92,
17534,0.92,
14064,0.92,
13184,0.94,
14056,0.76,
18574,0.84,
11826,0.9,
17176,0.76,
19781,0.9,
10508,0.96,
17540,0.88,
19540,0.98,
12807,0.8,
19263,0.76,
10445,0.94,
10316,0.92,
14268,0.94,
16612,0.94,
18437,0.88,
13241,0.88,
11508,0.92,
19568,0.9,
18649,0.94,
12478,0.86,
19666,0.88,
11363,0.88,
19564,0.92,
14658,0.92,
16072,0.9,
14012,0.92,
10849,0.94,
12322,0.68,
13315,0.9,
19238,0.96,
15047,0.9,
15082,0.88,
12946,0.92,
12300,0.92,
17683,0.84,
17904,0.86,
15574,0.82,
15643,0.86,
14448,0.9,
11081,0.88,
12913,0.76,
12092,0.9,
10815,0.9,
18099,0.86,
15676,0.88,
19267,0.9,
16477,0.78,
16380,0.88,
19770,0.86,
15706,0.92,
14537,0.8,
15399,0.94,
12707,0.82,
14347,0.82,
16139,0.9,
11681,0.92,
11293,0.9,
10707,0.88,
17339,0.76,
10922,0.9,
15325,0.94,
14598,0.88,
10646,0.88,
15437,0.9,
11821,0.92,
15779,0.88,
14681,0.76,
19145,0.94,
19280,0.92,
15287,0.92,
15015,0.9,
11608,0.9,
17055,0.9,
18167,0.74,
17357,0.92,
11379,0.82,
17151,0.68,
10549,0.86,
17380,0.88,
12812,0.78,
12134,0.9,
19584,0.92,
19548,0.88,
16874,0.96,
12213,0.92,
16487,0.74,
17850,0.9,
14823,0.74,
19867,0.92,
16426,0.88,
18194,0.88,
10760,0.94,
13083,0.82,
12193,0.92,
12039,0.94,
13940,0.94,
11288,0.88,
17437,0.92,
16450,0.9,
14969,0.74,
14140,0.9,
14651,0.92,
19344,0.94,
18664,0.82,
12314,0.96,
10526,0.96,
14209,0.94,
13726,0.88,
11933,0.84,
16635,0.88,
15153,0.9,
13440,0.9,
10832,0.78,
19574,0.9,
11034,0.92,
15442,0.92,
14431,0.86,
12459,0.98,
16168,0.78,
12377,0.92,
10833,0.82,
11113,0.78,
13838,0.9,
11702,0.94,
12730,0.78,
14851,0.92,
17141,0.88,
17532,1.0,
11147,0.94,
17596,0.88,
19603,0.88,
16016,1.0,
17052,0.94,
14471,0.96,
14759,0.86,
11877,0.9,
16158,0.98,
13407,0.98,
12588,0.88,
13558,0.9,
17136,0.88,
11005,0.94,
12328,0.94,
17614,0.98,
18126,0.78,
13069,0.9,
12392,0.7,
19725,0.84,
16677,0.94,
17587,0.8,
18385,0.68,
18200,0.92,
18810,0.88,
12064,0.96,
17025,0.78,
10417,0.88,
14585,0.88,
10993,0.9,
19828,0.88,
15039,0.92,
10139,0.92,
18804,0.88,
19455,0.9,
11645,0.88,
15952,0.92,
18244,0.7,
13652,0.9,
10522,0.84,
19659,0.92,
11090,0.94,
17446,0.92,
15711,0.86,
17905,0.82,
15288,0.88,
12006,0.9,
