,x1,x2,x3
2465,0.4776469,-0.33231777,0.4152388
3199,0.3245232,-1.9560933,0.24005799
3180,0.2786071,-0.05781573,0.48711565
3336,-1.1772776,-4.049474,0.074628256
3625,-0.6568027,-1.4346137,0.43699402
3341,-0.7996015,-0.7604349,0.45136544
3243,-0.89729714,-0.14299065,0.46911478
2829,0.49777353,0.40848562,0.5373461
3548,0.41941237,-1.3125364,0.3895915
2302,-0.992765,-0.37955195,0.502927
2480,-0.8730201,0.061640084,0.54173875
2408,0.6673985,-0.050338387,0.8497324
3042,-1.7606158,-2.412911,0.31999922
3058,-0.16861902,-2.340943,0.29269615
3158,-0.46366256,-0.5537185,0.46965307
2980,0.2325553,0.17508346,0.5131179
3057,-0.0800273,-0.56068474,0.5063546
3078,-0.10152348,-1.0960087,0.42776078
3339,-1.762733,-2.3329802,0.36828527
3668,-1.2767745,-0.5971277,0.44997597
3316,0.21575254,-0.71048415,0.46375114
3657,-0.29253548,1.096784,0.56922
2315,1.3251761,-0.84360945,0.43124473
2210,-0.5203951,-1.1382794,0.33762679
2246,0.1721012,-0.47719505,0.41104558
2818,-0.98190725,-1.3829148,0.37614554
3421,-0.746134,-1.4726967,0.3019502
3856,-0.8581444,-1.7817596,0.38060838
2056,-0.28879157,-0.8026345,0.421868
2550,0.048048325,-0.7833828,0.3960623
2524,-1.2319014,-1.7456557,0.34863576
2348,-1.5722699,-2.191012,0.29278344
3653,-2.2022097,0.27044892,0.49605626
2884,0.27574712,0.7156728,1.7955052
3420,-1.2509263,-1.6923708,0.3438142
3307,-1.7928183,-2.2498999,0.27346164
3781,-0.25070086,0.17627776,0.54753226
2009,0.2391151,0.37340736,0.4908718
3903,-0.5904247,-1.9202045,0.36538932
3116,-1.0264162,-1.5464842,0.37032
2188,-1.6503364,-2.6011715,0.21843405
2135,-0.13389832,-0.45271745,0.47618008
3014,-0.47287014,0.20442048,0.48622984
2924,-0.4482135,-0.21269119,0.52314687
2484,-0.9037327,-1.8544867,0.43331164
2770,-0.064262405,-1.1435218,0.42452112
3125,-0.043566946,0.19862203,0.53886366
