,x1,x2,x3
2995,0.9684797,-0.4708299,-0.33111393
2964,-0.2703075,-0.26921946,-0.2109102
3057,-0.3800273,-0.86068475,-0.09364548
3526,-0.95872575,-1.7144932,-3.5370185
2340,-0.49572477,-0.22619557,-1.0445318
2383,0.20058918,-0.92546654,-1.3242989
2691,0.044682454,-0.85410404,0.13711971
2827,-0.23049687,-0.020267189,-0.52077687
3797,0.33687046,-1.3003575,-1.4466084
3092,-1.3125492,-2.3395033,-4.90841
3552,0.20887262,-0.54306406,0.10765281
2392,-0.04926907,0.18272752,-0.69665575
3199,0.3245232,-1.9560933,-1.059942
3340,-0.4833612,-1.8716156,-2.1112442
2918,-0.13082449,-0.5431993,-1.2257915
2645,0.23769613,-0.49954462,-0.08991985
3821,-2.0803282,-1.6296911,-5.4349885
3878,-0.6034966,-0.95484495,-0.54582703
3481,-1.4142311,-1.7315902,-4.075838
2381,-1.4712907,-3.3148499,-3.2789392
2601,-1.0309678,0.33636546,-0.3295688
2023,-0.9528019,-1.6287959,-1.0108846
3819,-0.35851988,-0.35175613,-1.2245667
2254,-1.1354227,-0.3129226,-0.9052455
2911,0.20977241,0.18216132,-0.46252996
2705,-0.67616826,-0.6612661,0.27278244
3020,-1.0344439,-2.7658405,-2.7251124
2218,-0.76750666,-2.528362,-2.1954775
2107,-0.5515949,0.26403654,-0.024071932
2400,-1.0727167,-1.1527573,-3.0700126
3352,-0.6124532,1.1303353,-0.6012819
3047,-0.8050084,-1.1014128,-2.8286474
2769,-0.25751826,-1.6753323,-1.9935565
2592,0.50182,-1.2751927,-2.0815017
3492,0.21655299,0.52538127,-0.20443386
3429,-0.3503689,-0.07696527,-2.0615697
2631,-1.145032,-0.030403852,-2.9900546
3774,-0.0062983553,-0.6021629,-1.1426628
2884,-0.92425287,-0.4843272,-1.6044947
2150,0.44752955,-0.5649662,-1.8449512
2702,-1.3175658,-2.509895,-2.635223
3068,-0.8800241,-3.1043549,-4.135466
3423,-0.9479652,-2.799453,-2.717874
2568,-0.81334877,-1.304435,-1.286531
3867,-2.1826985,-2.2899292,-4.489138
2605,-1.0667105,-1.177218,-4.368826
3941,0.077413805,-1.7239543,-1.8789608
3045,-0.5160333,-1.2652085,-0.58064556
3776,0.27098957,-0.72243106,-0.1084888
3665,-1.6447498,-2.8460026,-5.917808
2857,-1.3034122,-0.55781674,-1.138867
2571,-0.8828355,-1.8702618,-2.737747
3431,-0.730246,-0.09033549,-1.2439121
3325,-0.3479136,-1.1591768,-1.8411666
2335,-0.60173625,-1.1492062,-2.1904492
3486,-0.8117742,-1.3951885,-2.9892104
3682,-0.6619455,-1.21902,-0.90621156
2458,0.5184344,0.5569907,-0.20689344
2166,-0.8588839,-2.0293353,-3.384205
3630,-1.3016561,-3.4158244,-3.2270496
2412,-0.9288499,-0.31204796,-1.5315897
2887,-0.50615454,-2.0660253,-2.790295
3134,-0.038574938,0.4985671,-1.023629
2577,-0.0026728138,-0.3225262,-0.6495037
3290,-1.1165094,-1.8326745,-2.6169903
2249,0.193009,-0.93040705,-1.4344664
2716,0.45938116,-1.1903396,-0.03780681
3540,-0.4917134,0.32932782,0.092200726
2245,-0.6122503,-0.38554472,-0.92211914
3970,-1.5697716,-1.8126972,-0.9439552
2810,-1.1261396,-2.4744987,-3.9329085
2898,-0.081217244,-0.97127014,-2.062661
2847,-0.4892876,-1.38398,-0.905002
2797,-0.44529843,1.0641518,-1.2227612
3706,-0.8989377,-4.2191896,-3.990427
3149,-0.6610496,-0.4480758,-0.49677885
3618,-1.0438106,-0.7836355,-0.86760086
2742,-1.7020783,-1.3948183,-4.7587843
2122,-0.44983003,-0.7645688,-0.7999542
3892,-1.1498003,-1.0764326,-1.5024261
2753,-0.992769,-1.7632027,-3.4127367
3577,-0.83594996,0.6397763,0.40874624
2395,0.30032623,-1.8965436,-1.7780272
3949,0.104710944,0.327153,0.35099146
3421,-0.746134,-1.5726967,-1.7980498
2821,0.37260684,-1.4783257,0.0074322224
2457,-0.62355965,0.18616539,-0.1458515
2236,-0.33730075,-1.2337862,-1.5344924
3813,-0.0020088488,0.42651564,0.2394383
3089,-1.1089647,-0.9284807,-3.4343653
3675,-1.247645,-2.0234451,-2.4808295
3837,-1.3010005,-1.5876169,-3.6498973
3688,-1.5700023,-1.1039047,-3.8621302
