,x1,x2,x3
3941,0.27741382,0.8760457,0.92103916
3215,0.47575825,0.78865397,1.4226322
3529,0.23445523,0.8400333,3.0900977
3341,0.5003985,0.5395651,1.6513655
3196,0.6881325,0.445206,3.1233752
3631,0.7256429,0.4443818,2.0302238
3720,0.4257731,0.9544717,2.5237682
2889,-0.10718511,1.5420842,1.5748029
3696,0.02695632,1.3388534,0.8742757
2830,0.832062,0.50463516,1.0265067
2479,-0.16557215,1.0914361,1.8176515
2952,0.4548722,1.2474375,1.466386
2501,1.0004412,0.67351556,1.920396
2577,0.8973272,0.5774738,2.1504962
2008,0.82380074,0.6180009,0.83921444
2825,0.12188153,0.6965589,2.0015583
3771,0.84568894,0.104402974,1.5913417
3066,0.6495737,0.54671955,1.6457474
2437,-0.026544238,1.087558,3.7671313
3552,1.1088727,0.35693598,2.9076529
3644,0.96118814,0.16381633,2.0939658
3998,0.39253932,0.8297677,2.9551225
3643,0.14586881,0.99200666,2.6551003
2369,0.08245945,1.1681284,2.2149932
3871,0.40934575,0.70355844,1.88467
2892,-0.4598146,1.7797679,1.0322543
3817,1.3372109,0.19024575,2.2792373
3351,0.78454006,0.40163943,2.2728834
3750,1.0647266,0.38873488,1.4896473
2509,0.0049674036,1.1831087,2.5945132
2213,0.047307458,1.0514594,2.4725015
2258,0.54469454,0.5427406,-0.91031706
2571,0.9171645,0.2297382,1.1622531
3042,0.8393842,0.2870891,1.5199993
3471,0.9776547,0.21443337,2.767318
3089,0.5910353,0.7715193,0.9656347
2567,0.22971758,0.975464,2.7382088
3152,1.038412,0.15476339,1.5439152
3577,-0.13594995,1.3397763,1.8087462
3449,0.51315403,0.59557784,2.2864428
3302,0.11853685,0.91229475,3.0227203
3970,0.43022835,0.48730284,4.356045
3468,0.8656996,0.4846334,2.3172352
2419,0.85788715,-0.002132535,3.1480231
2200,0.13026103,1.2557461,1.8855908
3227,1.1700431,0.9736786,2.5601397
2809,0.7721088,0.19299464,1.8282033
3336,0.022722434,1.0505263,1.9746286
2573,0.5554775,0.54289585,2.659041
2261,0.92363733,0.5135628,2.3081508
2201,0.7074608,0.31928414,1.8216118
2027,-0.052529216,1.2354537,0.16525412
3518,0.6311871,0.6701683,1.4678807
3190,1.1330093,0.0013331175,3.7202806
3401,0.9738574,0.6520114,1.9024869
2818,0.81809276,0.41708526,0.27614552
2273,1.046853,-0.0009268522,2.023496
3041,1.6235088,1.2025357,5.1918864
3731,0.40082487,0.80894864,1.9480006
3129,0.38193762,0.6254869,0.3233906
3893,0.52483046,1.0634139,1.337648
2215,0.40206155,0.23939745,2.092659
2754,0.7051972,1.0516808,2.1767116
3397,0.48332918,0.62388825,2.6164913
3307,0.8071817,0.35010013,0.17346144
3526,1.3412743,-0.21449316,0.26298153
3195,0.5511365,0.7464061,3.0604362
3559,0.60795957,0.66086257,1.8961873
2992,0.5566328,1.0862157,1.2482004
3124,0.32149732,1.1554914,1.2099798
2188,1.1496636,0.19882834,0.6184339
3450,0.9676396,0.45488614,1.8145794
3421,0.15386602,1.0273033,1.7019503
3839,0.6189595,0.65035343,2.1568651
3885,0.41127285,0.7383209,1.4675863
