,x1,x2
3941,0.2,2.6
3215,0.7,2.1
3529,1.5,0.0
3341,1.3,0.0
3196,1.9,3.3
3631,1.9,0.0
3720,0.9,-0.0
2889,0.7,0.0
3696,1.5,0.0
2830,1.6,0.0
2479,0.7,0.0
2952,0.9,0.0
2501,0.9,0.0
2577,0.9,0.0
2008,1.2,0.0
2825,0.1,1.8
3771,2.1,1.7
3066,1.2,-0.0
2437,1.1,5.2
3552,0.9,-0.0
3644,2.8,0.0
3998,2.2,-0.0
3643,1.9,2.6
2369,2.5,0.0
3871,1.0,-0.0
2892,0.5,3.6
3817,0.9,0.0
3351,1.6,0.0
3750,0.8,0.0
2509,1.2,3.1
2213,0.1,3.1
2258,3.1,3.5
2571,1.8,2.1
3042,2.6,0.0
3471,2.5,0.0
3089,1.7,0.0
2567,2.1,2.5
3152,2.3,1.8
3577,0.7,-0.0
3449,1.3,3.6
3302,1.9,2.6
3970,2.0,2.3
3468,0.8,-0.0
2419,1.0,-0.0
2200,0.1,2.1
3227,0.6,-0.0
2809,0.5,1.3
3336,1.2,5.1
2573,2.0,2.8
2261,1.1,-0.0
2201,2.3,1.7
2027,1.5,4.6
3518,2.6,0.0
3190,2.2,0.0
3401,1.9,-0.0
2818,1.8,-0.0
2273,1.1,-0.0
3041,2.1,0.0
3731,2.6,3.6
3129,1.3,3.8
3893,0.8,0.9
2215,0.9,-0.0
2754,0.5,0.0
3397,0.0,2.6
3307,2.6,2.6
3526,2.3,1.5
3195,1.2,0.0
3559,2.2,3.1
2992,0.7,0.0
3124,0.2,1.8
2188,2.8,-0.0
3450,0.9,1.8
3421,0.9,2.6
3839,1.1,2.6
3885,1.1,1.4
2496,1.5,-0.0
3652,1.1,-0.0
2636,1.3,0.0
2799,1.7,0.0
2224,1.7,-0.0
2757,1.5,1.3
3536,0.4,0.9
3481,2.3,-0.0
2277,1.2,-0.0
3457,0.3,3.6
3146,0.8,2.1
2484,2.1,0.0
3249,1.8,1.3
3670,3.1,2.8
2084,2.6,2.5
3926,2.1,1.9
2720,1.7,0.0
3202,1.0,0.0
2015,0.8,0.0
2017,1.6,-0.0
3403,1.0,2.3
2736,0.5,-0.0
3505,0.7,-0.0
2896,0.8,-0.0
2598,1.5,-0.0
2462,0.9,0.0
3688,1.9,-0.0
3078,1.2,-0.0
2924,0.8,0.0
2943,1.2,-0.0
2997,1.2,-0.0
2888,1.4,3.1
2483,0.8,0.0
3500,0.0,2.6
2050,1.1,0.0
3495,0.9,0.0
2723,0.8,2.1
3151,0.9,2.8
3021,0.4,2.1
2416,2.0,-0.0
2848,4.1,3.6
2225,2.6,2.1
2890,0.3,2.6
3682,0.9,2.1
2731,1.5,2.6
3656,1.6,-0.0
3185,1.4,0.0
3512,0.4,2.6
3287,1.8,-0.0
2985,1.3,4.2
2594,0.9,2.1
2524,1.2,3.1
3284,2.0,-0.0
2517,1.1,-0.0
3005,1.1,-0.0
2887,1.9,0.0
3125,0.8,-0.0
2794,0.7,0.0
3268,1.0,-0.0
2043,1.5,0.0
2089,1.7,0.0
3420,2.1,-0.0
3018,0.9,1.3
3678,0.7,-0.0
3091,1.4,2.6
2523,0.7,-0.0
2650,1.5,0.0
2181,0.6,-0.0
2121,2.6,4.2
3339,1.8,3.6
3657,0.6,-0.0
3453,1.6,0.0
2886,1.2,-0.0
3591,0.8,0.0
2938,1.1,4.2
3499,1.5,0.0
2412,1.3,-0.0
3902,1.9,-0.0
2351,1.8,-0.0
3122,1.3,-0.0
3846,0.6,0.0
3295,2.5,-0.0
2743,2.1,-0.0
3282,1.4,1.8
3572,0.9,-0.0
2782,0.9,-0.0
3269,1.2,0.0
3574,1.0,-0.0
3770,0.9,-0.0
2400,1.8,-0.0
2703,0.8,0.0
2092,1.4,0.0
2620,1.1,-0.0
3191,1.1,-0.0
2624,0.3,2.6
3904,1.1,-0.0
3235,0.5,-0.0
2950,0.8,-0.0
2376,2.1,0.0
3199,1.4,0.0
2330,0.2,2.1
2165,0.2,3.1
2727,2.7,4.1
2967,1.3,0.0
3662,1.8,0.0
2666,1.1,-0.0
2153,1.6,-0.0
3655,2.1,2.9
3076,0.7,0.0
3072,1.6,2.1
3966,0.7,3.1
3136,0.7,0.0
2383,1.0,1.3
3545,0.9,2.3
3806,1.3,5.1
3726,0.7,0.0
3214,1.9,4.6
2322,1.0,0.0
3944,1.3,0.0
2097,1.1,2.6
3316,0.1,1.8
3605,1.5,0.0
3537,0.9,-0.0
2721,2.0,0.0
3326,0.7,3.6
