,x1,x2,x3
2994,0.41523927,0.73168695,1.2742602
2180,0.79743165,1.0966761,3.4835925
2909,0.65831184,-0.060353935,0.29661548
2415,-0.09355109,1.2531267,2.0328329
2831,0.4794113,0.502131,0.3694452
2639,0.80822444,0.3069888,0.45140362
2126,0.81404626,0.32931644,4.053253
2261,0.6236373,0.21356279,1.7081509
3562,1.001863,-0.01154356,2.1083772
2616,0.68813634,0.96115565,2.2657213
3112,0.7402241,-0.29572356,1.872709
3668,0.62322545,1.3028723,2.7499762
3385,0.84178054,0.84675497,2.9821
3533,0.7427108,0.65262127,3.3163953
3653,0.6977902,0.47044882,1.1960561
2335,0.29826376,-0.24920616,0.6095508
2188,0.24966362,0.8988285,0.41843408
2312,0.03931874,0.9851482,0.97046316
3168,0.6028109,0.9015049,2.7593052
3146,0.32397756,0.75306565,-0.55218196
3474,0.7192552,1.0936601,2.7894614
2408,0.6673985,-0.050338387,0.8497324
3734,0.2971083,1.0135558,0.47688746
3280,0.5739527,0.5281705,0.9679413
2074,0.592497,1.2950218,3.429241
2235,1.1495532,-1.0656646,-0.45454723
3456,0.61805713,0.2755774,2.6219456
3787,0.6831432,0.58106947,1.4546196
2880,0.7075449,0.93004394,2.866075
2165,0.6909357,0.34244037,1.9319712
2872,0.6634974,0.4071365,1.5329311
2987,0.8134505,0.49693537,3.9571204
2234,0.6793182,0.16379863,0.7911741
2478,0.58529365,-0.40868217,0.2716432
2217,0.57026535,0.49472302,1.1343389
3949,0.30471095,0.727153,0.95099145
3502,0.2396986,0.8545817,1.8148105
2066,0.9241053,0.77933234,2.9040356
2293,0.712527,0.09284139,0.1974628
3091,0.5117878,0.48759452,0.45976
2137,0.65237755,-0.09947467,2.3875337
3134,-0.038574938,1.1985672,0.6763711
2754,0.20519724,0.85168093,0.4767118
3818,0.19295101,0.9806108,1.726553
2879,0.6610249,-0.9141604,1.1568542
2757,0.055820037,0.9977237,2.634765
2716,0.65938115,-0.9903395,0.36219323
2378,0.67657995,-0.06402236,2.1003146
2152,0.16064751,0.8904374,0.2765221
2083,0.6434029,-0.7872965,0.7995902
3656,0.6940439,0.34652865,1.5111449
2970,0.9418694,-1.7246338,-1.4600252
2222,1.0417908,0.053317964,1.7297447
2778,0.7032556,-0.38889688,-0.0897339
2779,0.76827955,1.5094049,4.5410013
2396,0.74820757,1.395712,2.94377
3782,0.7254309,-0.1418392,-0.31525296
2853,-0.2584743,1.4073138,0.5429367
2618,0.7402136,-0.82505816,1.0240922
3863,0.73436636,1.6640954,3.1380332
2524,0.66809857,0.054344356,-1.4513643
3040,0.84297705,0.8850672,3.1016579
3207,0.6907242,0.62522477,1.4089235
3160,0.09892678,0.9792609,0.49836826
2705,0.7238317,0.7387339,3.0727825
3644,0.8611881,0.16381626,1.9939656
3461,-0.21057224,1.2172185,2.0328496
3148,0.18239407,1.0246354,1.5571136
2110,0.7817577,0.15477592,3.2431188
3042,-0.6606158,1.687089,1.4199989
2577,0.79732716,0.4774738,1.9504963
2130,0.2991207,0.6599567,0.6426225
3558,0.63516766,0.020856678,0.17757833
3240,0.6528735,1.7141912,1.9338187
2444,0.6229873,1.705748,2.6295762
2933,-0.15846829,1.1430184,3.485967
3380,0.7733911,1.8265681,3.647244
2907,0.616635,0.95556504,2.3502047
3005,0.7333642,-0.14052486,1.0709074
2769,1.3424817,-0.2753323,2.0064435
3476,0.7320607,0.31206435,-0.85397375
2366,-0.13549541,1.0902194,-0.26860678
2467,0.76162577,0.5066204,2.6208951
2154,0.7007148,1.9033197,3.1100278
3854,0.8426722,-0.5902759,0.16327554
3965,0.7640183,-1.7451177,-0.3577696
3532,0.07810703,1.1160074,0.13786459
2326,0.7333936,-1.2949648,-1.1467043
3703,0.68535846,0.37483814,-0.5318171
