ix,goal_cost,intv_cost
2994,0.752,2.9000000000000004
2180,0.798,1.3
2909,0.796,0.8
2415,0.756,0.7999999999999999
2831,0.754,4.699999999999999
2639,0.776,4.0
2126,0.762,4.699999999999999
2261,0.786,0.8
3562,0.76,6.1
2616,0.76,2.4
3112,0.784,0.5
3668,0.766,1.9
3385,0.81,2.6
3533,0.776,1.1
3653,0.798,2.9
2335,0.818,0.9
2188,0.794,5.4
2312,0.777999997138977,4.0
3168,0.76,1.3
3146,0.752,2.7
3474,0.8,1.6
2408,0.76,0.6
3734,0.774,0.1
3280,0.7540000081062317,2.0
2074,0.758,1.1
2235,0.848,0.1
3456,0.768,2.1
3787,0.758,2.8
2880,0.77,1.2
2165,0.7720000147819519,3.0
2872,0.758,1.9
2987,0.814,1.6
2234,0.766,1.2
2478,0.754,0.7
2217,0.766,2.0
3949,0.798,0.6000000000000001
3502,0.782,4.8
2066,0.822,1.5
2293,0.776,0.1
3091,0.754,3.7
2137,0.774,1.4
3134,0.784,0.7
2754,0.764,0.3
3818,0.768,1.5
2879,0.762,1.1
2757,0.78,2.7
2716,0.778,0.2
2378,0.76,1.6
2152,0.77,1.7
2083,0.752,0.6
3656,0.78,1.5
2970,0.814,0.1
2222,0.758,2.9
2778,0.76,0.8
2779,0.782,2.5
2396,0.758,2.4
3782,0.77,1.6
2853,0.766,3.2
2618,0.804,1.2
3863,0.78,1.4
2524,0.764,1.9
3040,0.784,1.8
3207,0.7820000052452087,1.5
3160,0.765999972820282,5.5
2705,0.8,1.4
3644,0.756,5.5
3461,0.766,1.8
3148,0.752,2.2
2110,0.8199999928474426,2.0
3042,0.752,5.1
2577,0.818,0.8
2130,0.756,3.9
3558,0.77,1.5
3240,0.77,1.9
2444,0.776,2.0
2933,0.762,5.8
3380,0.778,2.4
2907,0.772,1.3
3005,0.772,0.6
2769,0.752,3.0
3476,0.778,0.8
2366,0.756,0.9
2467,0.792,1.4
2154,0.764,1.9
3854,0.806,0.1
3965,0.758,1.1
3532,0.758,0.6
2326,0.762,0.1
3703,0.7799999713897705,1.0
3806,0.762,6.4
2490,0.764,2.5999999999999996
3745,0.78,1.4
3886,0.752,2.4
2681,0.758,0.1
3660,0.776,1.3
3397,0.76,2.5
2344,0.796,1.4
2236,0.7680000066757202,1.0
3287,0.776,2.4
3783,0.762,4.5
3462,0.7559999823570251,2.5
3529,0.754,1.9
2018,0.7620000243186951,2.0
3342,0.7860000133514404,4.0
3075,0.756,1.5
3559,0.754,5.2
3736,0.768,0.8
3591,0.752,0.5
3339,0.871999979019165,3.0
2392,0.784,0.8
3495,0.7799999713897705,1.0
3551,0.794,2.8
3849,0.842,1.0
3678,0.754,0.8
3960,0.76,1.1
3305,0.788,1.2
2801,0.81,0.3
2535,0.7519999742507935,6.0
2114,0.766,5.1
2728,0.786,0.1
2323,0.788,1.2
2788,0.752,3.5
2631,0.76,1.8
3251,0.776,1.4
3192,0.782,0.4
2418,0.777999997138977,5.0
2061,0.754,1.1
2797,0.774,0.5
2465,0.788,0.2
2000,0.772,2.7
3493,0.7519999742507935,1.0
3284,0.784,3.9000000000000004
2271,0.768,3.3
3774,0.774,0.7
2132,0.768,4.6
3021,0.762,2.5
3033,0.776,0.6
2198,0.81,2.1
2020,0.76,5.5
3398,0.786,3.5
2256,0.782,0.3
2148,0.818,0.1
3364,0.754,2.7
3335,0.764,0.1
2654,0.818,1.8
2530,0.768,2.5
3542,0.778,7.5
3320,0.818,2.5
3107,0.754,0.6
3171,0.782,1.4
2939,0.808,1.4
3291,0.766,0.6
3784,0.768,1.1
3224,0.776,1.6
2937,0.764,2.4
3401,0.756,1.6
3230,0.758,2.7
3607,0.788,2.7
2436,0.764,3.2
3133,0.752,3.0999999999999996
2381,0.768,5.8999999999999995
2720,0.786,1.1
3387,0.764,0.9
2742,0.768,2.4
2476,0.78,0.4
2583,0.756,2.5
2863,0.774,0.9
2958,0.762,1.9
2824,0.752,0.3
3788,0.7680000066757202,5.0
3592,0.838,1.9
2959,0.776,1.2
3555,0.794,1.0
3308,0.752,0.9
3155,0.764,0.7
3065,0.758,4.3
3499,0.778,1.3
2268,0.804,3.9
2645,0.7580000162124634,0.5
2709,0.854,1.0
2843,0.76,0.9
3586,0.772,0.7
3235,0.796,0.1
2666,0.814,1.2
2070,0.778,0.6
2743,0.76,2.3
2166,0.7639999985694885,1.5
3856,0.79,1.6
3861,0.8,0.3
2697,0.774,2.0999999999999996
2964,0.798,1.0
2075,0.764,0.8
2128,0.752,4.3
2186,0.87,2.2
3377,0.776,4.3
2621,0.79,0.8
2946,0.77,2.0
3759,0.754,0.2
2670,0.764,1.9
3470,0.777999997138977,3.0
