,x1,x2
2994,0.8,2.1
2180,1.3,0.0
2909,0.8,0.0
2415,0.1,0.7
2831,2.3,2.4
2639,1.4,2.6
2126,1.9,2.8
2261,0.8,-0.0
3562,2.4,3.7
2616,2.4,0.0
3112,0.5,-0.0
3668,1.9,-0.0
3385,2.6,0.0
3533,1.1,0.0
3653,2.8,0.1
2335,0.9,-0.0
2188,1.9,3.5
2312,1.0,3.0
3168,1.3,-0.0
3146,0.9,1.8
3474,1.6,0.0
2408,0.6,0.0
3734,-0.0,0.1
3280,2.0,-0.0
2074,1.1,-0.0
2235,0.1,0.0
3456,2.1,-0.0
3787,2.8,-0.0
2880,1.2,-0.0
2165,0.5,2.5
2872,0.9,1.0
2987,1.6,-0.0
2234,1.2,0.0
2478,0.7,-0.0
2217,1.3,0.7
3949,0.2,0.4
3502,1.7,3.1
2066,1.5,-0.0
2293,-0.1,-0.0
3091,1.3,2.4
2137,1.4,-0.0
3134,-0.0,0.7
2754,0.0,0.3
3818,0.2,1.3
2879,1.1,-0.0
2757,0.8,1.9
2716,0.2,-0.0
2378,1.6,0.0
2152,1.5,0.2
2083,0.6,0.0
3656,1.5,-0.0
2970,-0.1,-0.0
2222,1.9,1.0
2778,0.8,0.0
2779,2.5,0.0
2396,2.4,-0.0
3782,1.6,0.0
2853,0.1,3.1
2618,1.2,-0.0
3863,1.4,-0.0
2524,1.9,0.0
3040,1.8,-0.0
3207,1.5,-0.0
3160,1.5,4.0
2705,1.4,-0.0
3644,2.7,2.8
3461,0.5,1.3
3148,1.3,0.9
2110,2.0,0.0
3042,1.1,4.0
2577,0.8,-0.0
2130,1.4,2.5
3558,1.5,0.0
3240,1.9,-0.0
2444,2.0,-0.0
2933,1.7,4.1
3380,2.4,-0.0
2907,1.3,-0.0
3005,0.6,-0.0
2769,1.6,1.4
3476,0.0,0.8
2366,0.1,0.8
2467,1.4,0.0
2154,1.9,-0.0
3854,0.1,-0.0
3965,1.1,-0.0
3532,0.5,0.1
2326,-0.1,-0.0
3703,0.5,0.5
3806,2.5,3.9
2490,1.2,1.4
3745,1.4,-0.0
3886,0.1,2.3
2681,-0.0,-0.1
3660,1.3,0.0
3397,0.2,2.3
2344,1.4,0.0
2236,1.0,-0.0
3287,2.4,-0.0
3783,1.7,2.8
3462,1.5,1.0
3529,1.9,0.0
2018,2.0,-0.0
3342,1.5,2.5
3075,1.5,-0.0
3559,1.6,3.6
3736,0.8,0.0
3591,0.5,0.0
3339,3.0,-0.0
2392,0.8,-0.0
3495,1.0,0.0
3551,0.7,2.1
3849,1.0,-0.0
3678,0.8,-0.0
3960,1.1,0.0
3305,1.2,0.0
2801,0.3,-0.0
2535,1.5,4.5
2114,2.8,2.3
2728,0.1,0.0
2323,1.2,0.0
2788,1.4,2.1
2631,1.8,0.0
3251,-0.0,1.4
3192,0.4,-0.0
2418,1.5,3.5
2061,1.1,-0.0
2797,0.4,0.1
2465,0.2,-0.0
2000,2.7,0.0
3493,1.0,0.0
3284,1.3,2.6
2271,0.4,2.9
3774,0.7,0.0
2132,1.8,2.8
3021,0.6,1.9
3033,0.3,0.3
2198,0.8,1.3
2020,3.5,2.0
3398,1.3,2.2
2256,0.0,0.3
2148,0.1,-0.0
3364,0.7,2.0
3335,0.1,-0.0
2654,1.8,-0.0
2530,1.1,1.4
3542,3.1,4.4
3320,2.5,-0.0
3107,0.6,0.0
3171,1.4,0.0
2939,1.4,-0.0
3291,0.6,-0.0
3784,1.0,0.1
3224,1.6,-0.0
2937,1.9,0.5
3401,1.6,0.0
3230,1.7,1.0
3607,0.8,1.9
2436,1.0,2.2
3133,0.8,2.3
2381,1.8,4.1
2720,1.1,-0.0
3387,0.9,0.0
2742,2.4,0.0
2476,0.4,-0.0
2583,2.1,0.4
2863,0.9,0.0
2958,1.2,0.7
2824,0.3,-0.0
3788,1.5,3.5
3592,1.9,-0.0
2959,1.2,0.0
3555,1.0,-0.0
3308,0.5,0.4
3155,0.7,0.0
3065,1.5,2.8
3499,1.3,-0.0
2268,2.3,1.6
2645,0.5,0.0
2709,1.0,0.0
2843,0.9,0.0
3586,0.7,0.0
3235,-0.1,0.0
2666,1.2,0.0
2070,0.6,0.0
2743,2.3,-0.0
2166,1.5,0.0
3856,1.6,0.0
3861,0.3,-0.0
2697,0.7,1.4
2964,1.0,-0.0
2075,0.8,-0.0
2128,1.5,2.8
2186,2.2,-0.0
3377,3.0,1.3
2621,0.8,-0.0
2946,2.0,-0.0
3759,0.1,-0.1
2670,1.9,0.0
3470,1.0,2.0
