,y
2565,0.0
2086,0.0
3647,0.0
3846,1.0
2155,0.0
2142,0.0
2084,0.0
2418,0.0
3064,0.0
2714,1.0
2616,1.0
3923,0.0
2403,0.0
2451,1.0
3081,0.0
3656,0.0
2368,0.0
2031,0.0
2512,0.0
2866,0.0
2852,0.0
2875,0.0
3491,0.0
2014,0.0
2042,0.0
2405,1.0
2190,0.0
2920,0.0
2730,0.0
2710,0.0
3458,1.0
3276,0.0
3206,0.0
2261,1.0
3936,0.0
2623,1.0
3928,1.0
2375,0.0
3010,1.0
2209,0.0
3391,0.0
3445,0.0
2525,0.0
2769,0.0
2945,0.0
3122,0.0
2843,0.0
2284,0.0
2463,0.0
3515,0.0
2718,0.0
3704,1.0
3263,1.0
3511,0.0
3090,0.0
3683,0.0
3205,0.0
2651,0.0
2498,0.0
2453,1.0
3204,0.0
3873,0.0
3530,1.0
2006,0.0
2021,1.0
3303,0.0
2074,0.0
2138,0.0
3358,0.0
3789,0.0
3200,0.0
2549,0.0
3287,0.0
2338,0.0
2231,0.0
3722,0.0
2146,0.0
2926,0.0
3623,0.0
2443,0.0
2090,0.0
2715,0.0
3477,0.0
3632,0.0
3764,1.0
2559,0.0
2905,0.0
3980,0.0
2877,1.0
2300,0.0
2311,0.0
3385,0.0
3249,0.0
2897,0.0
2861,1.0
3892,1.0
2961,1.0
3181,0.0
3248,0.0
2964,0.0
2571,0.0
3101,0.0
2305,0.0
3346,1.0
3677,0.0
2750,0.0
2424,0.0
3557,0.0
3781,0.0
2630,0.0
3048,0.0
2008,0.0
3897,0.0
2171,0.0
3874,1.0
2635,1.0
2481,0.0
2402,0.0
3777,1.0
2445,0.0
2886,0.0
2273,0.0
2827,0.0
2407,0.0
2391,0.0
3547,0.0
3558,0.0
3467,0.0
2060,0.0
3664,1.0
3317,0.0
3450,0.0
3342,0.0
3211,0.0
2802,0.0
3831,0.0
3726,0.0
3970,0.0
3208,0.0
2921,0.0
3244,1.0
3995,0.0
3222,0.0
2131,0.0
3627,0.0
2787,0.0
3290,0.0
3455,0.0
3142,1.0
2699,0.0
3175,0.0
3944,0.0
3118,0.0
2430,0.0
2111,0.0
3227,0.0
2250,1.0
3689,0.0
2996,0.0
3935,0.0
2240,0.0
2392,0.0
2955,0.0
2271,0.0
3952,0.0
2772,0.0
2469,0.0
2001,0.0
2417,0.0
2219,0.0
3012,1.0
3264,0.0
3068,0.0
3604,0.0
2382,0.0
2350,0.0
3614,0.0
2431,0.0
3771,1.0
3690,0.0
3183,0.0
3921,1.0
3019,0.0
2191,0.0
2455,0.0
3826,0.0
3765,0.0
3724,0.0
3699,0.0
3045,0.0
2147,0.0
3735,0.0
3851,0.0
3410,1.0
2310,0.0
3630,0.0
3679,0.0
2585,0.0
2499,0.0
3113,0.0
