ix,goal_cost,intv_cost
3526,1.0,2.2
3093,1.0,2.8
2339,1.0,2.0
2513,1.0,2.0
3753,0.768,1.1
2927,1.0,0.6
3973,1.0,1.1
2147,0.788,0.2
2165,0.874,2.1
3765,0.78,0.2
2594,0.778,1.4
3196,0.98,2.5
3637,1.0,3.2
2408,1.0,3.5
3681,1.0,3.7
3027,0.994,1.6
2360,1.0,0.8
3494,1.0,2.3
3268,1.0,1.7
3972,1.0,1.6
2426,1.0,0.2
2190,1.0,4.4
2136,1.0,3.3
3709,1.0,7.3
2297,1.0,0.30000000000000004
3683,0.766,0.1
3802,1.0,3.7
3819,1.0,2.1
3134,0.852,0.1
3049,0.856,5.5
2324,1.0,0.9
2825,1.0,3.1
3410,1.0,0.5
2722,1.0,4.4
3641,1.0,0.7
3708,1.0,3.3000000000000003
2252,1.0,3.9
3852,1.0,1.0
3808,1.0,1.1
2662,1.0,3.3
3379,1.0,2.5
3626,0.878,2.9
2498,1.0,2.4
3170,0.778,0.2
3208,1.0,6.4
2832,1.0,0.7
3787,1.0,1.4000000000000001
3209,1.0,3.6
3514,1.0,4.2
2672,1.0,0.3
2580,1.0,3.2
2568,1.0,1.1
3784,1.0,2.8000000000000003
3535,1.0,1.0
3871,0.778,0.2
3402,1.0,4.6
3391,0.996,7.0
2450,0.818,2.0
2745,1.0,3.0999999999999996
3249,1.0,4.7
3673,0.898,3.6
3135,0.87,1.8
3223,1.0,3.9
2399,0.806,0.1
2636,1.0,2.8
3786,1.0,0.6
2591,1.0,1.9000000000000001
3387,1.0,3.1
2968,1.0,1.9
3478,1.0,0.3
3525,0.972,2.6
3897,1.0,0.9
3574,1.0,5.199999999999999
3801,1.0,1.1
3883,1.0,0.6
2286,1.0,2.1
3814,1.0,4.8
2951,1.0,3.3
2635,0.834,1.2
3124,1.0,0.1
3796,1.0,3.2
2132,0.76,5.3
3345,0.836,1.8
2895,1.0,2.8
3929,1.0,2.1
3503,1.0,1.9
3841,1.0,0.3
2199,1.0,0.3
2904,1.0,2.0
3919,1.0,1.1
3760,1.0,0.1
3834,1.0,0.6
3785,1.0,4.1
3650,1.0,0.30000000000000004
3023,1.0,2.9
3538,1.0,0.6
2971,1.0,0.7
2011,1.0,4.5
3246,1.0,1.4
2449,1.0,3.4
2323,0.76,1.1
2768,0.902,2.2
3372,1.0,2.6
3378,0.796,2.0
3720,1.0,1.2
3562,1.0,1.7
3230,0.8,0.4
3337,1.0,7.7
2820,1.0,4.0
2335,1.0,1.5
3080,1.0,4.7
2908,1.0,0.8
2624,0.826,4.1
2748,1.0,1.8
2721,0.788,0.6
3125,1.0,4.2
3013,1.0,1.8
3413,0.844,0.1
3078,0.816,0.2
3335,1.0,1.1
2362,1.0,1.9
3726,1.0,2.5
3839,1.0,1.4
2475,0.988,3.0
2948,0.764,0.1
2573,1.0,1.0
3955,1.0,3.3
3733,1.0,1.4
2663,0.954,0.1
3188,1.0,0.4
3299,1.0,5.1
3540,1.0,10.1
2233,1.0,0.1
2719,0.994,1.2000000000000002
3068,1.0,1.3
2900,0.766,1.5
2220,1.0,1.1
3117,1.0,3.7
2565,1.0,2.5
3401,1.0,2.6
3747,1.0,1.3
2849,1.0,0.7
2113,1.0,5.9
2794,1.0,1.3
2063,1.0,2.0
2384,1.0,3.3
2277,1.0,4.3
3741,1.0,3.2
3354,1.0,1.7
3001,0.944,2.1
3884,1.0,1.2
3496,1.0,3.0
2630,1.0,0.9
3362,1.0,6.199999999999999
3551,1.0,0.2
2327,0.788,2.1
3195,1.0,1.4
3649,1.0,1.4000000000000001
2873,1.0,4.1
2186,1.0,4.8
2405,0.912,2.1
2272,1.0,3.0
3269,1.0,0.3
2293,0.834,0.1
3475,1.0,5.4
2446,1.0,5.3
2191,1.0,0.2
3674,1.0,0.6
2245,0.964,0.1
2423,1.0,1.0
3172,0.782,2.2
3907,1.0,1.7
3679,1.0,1.8
3556,1.0,5.2
3882,1.0,4.3
3492,1.0,1.5999999999999999
2811,1.0,4.8
3136,1.0,2.2
3466,0.756,2.1
2896,1.0,3.0
2667,1.0,1.6
2671,1.0,1.4
2171,1.0,3.8
3621,1.0,3.4
2385,1.0,0.8
2697,1.0,0.1
3668,1.0,0.2
2869,1.0,3.8
2514,0.904,0.1
3258,1.0,2.7
2000,1.0,2.6
3915,1.0,3.7
2176,0.928,1.9000000000000001
2867,0.768,0.7
3393,1.0,4.0
3853,0.772,1.4
3569,1.0,2.4
2595,1.0,4.5
2271,1.0,2.8000000000000003
3397,1.0,4.4
