,y_hat
3526,False
3093,False
2339,False
2513,False
3753,False
2927,False
3973,False
2147,False
2165,False
3765,False
2594,False
3196,False
3637,False
2408,False
3681,False
3027,False
2360,False
3494,False
3268,False
3972,False
2426,False
2190,False
2136,False
3709,False
2297,False
3683,False
3802,False
3819,False
3134,False
3049,False
2324,False
2825,False
3410,False
2722,False
3641,False
3708,False
2252,False
3852,False
3808,False
2662,False
3379,False
3626,False
2498,False
3170,False
3208,False
2832,False
3787,False
3209,False
3514,False
2672,False
2580,False
2568,False
3784,False
3535,False
3871,False
3402,False
3391,False
2450,False
2745,False
3249,False
3673,False
3135,False
3223,False
2399,False
2636,False
3786,False
2591,False
3387,False
2968,False
3478,False
3525,False
3897,False
3574,False
3801,False
3883,False
2286,False
3814,False
2951,False
2635,False
3124,False
3796,False
2132,False
3345,False
2895,False
3929,False
3503,False
3841,False
2199,False
2904,False
3919,False
3760,False
3834,False
3785,False
3650,False
3023,False
3538,False
2971,False
2011,False
3246,False
2449,False
2323,False
2768,False
3372,False
3378,False
3720,False
3562,False
3230,False
3337,False
2820,False
2335,False
3080,False
2908,False
2624,False
2748,False
2721,False
3125,False
3013,False
3413,False
3078,False
3335,False
2362,False
3726,False
3839,False
2475,False
2948,False
2573,False
3955,False
3733,False
2663,False
3188,False
3299,False
3540,False
2233,False
2719,False
3068,False
2900,False
2220,False
3117,False
2565,False
3401,False
3747,False
2849,False
2113,False
2794,False
2063,False
2384,False
2277,False
3741,False
3354,False
3001,False
3884,False
3496,False
2630,False
3362,False
3551,False
2327,False
3195,False
3649,False
2873,False
2186,False
2405,False
2272,False
3269,False
2293,False
3475,False
2446,False
2191,False
3674,False
2245,False
2423,False
3172,False
3907,False
3679,False
3556,False
3882,False
3492,False
2811,False
3136,False
3466,False
2896,False
2667,False
2671,False
2171,False
3621,False
2385,False
2697,False
3668,False
2869,False
2514,False
3258,False
2000,False
3915,False
2176,False
2867,False
3393,False
3853,False
3569,False
2595,False
2271,False
3397,False
