,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
0,1.0,0.75,0.75,0.7350000143051147,0.125,0.93,0.77,"[1.0, 1.0]",300.0,0.5,individualized,improvement,2,"[[-0.018030200903882205, 0.04502509499156624, 0.9748483552080124], [-0.41639278627605386]]",0.925000011920929,2.4035000000000006
1,1.0,0.75,0.75,0.23499999940395355,0.18000000715255737,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,2,"[[-0.018030200903882205, 0.04502509499156624, 0.9748483552080124], [-0.41639278627605386]]",0.7409999966621399,2.3579999999999997
2,1.0,0.75,0.75,0.20000000298023224,0.20000000298023224,0.995,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,2,"[[-0.018030200903882205, 0.04502509499156624, 0.9748483552080124], [-0.41639278627605386]]",0.7150000333786011,1.923
3,1.0,0.75,0.75,0.6700000166893005,0.12999999523162842,0.81,,"[1.0, 1.0]",300.0,0.5,subpopulation,improvement,2,"[[-0.018030200903882205, 0.04502509499156624, 0.9748483552080124], [-0.41639278627605386]]",0.8119999766349792,2.2695000000000007
4,1.0,0.75,0.75,0.18000000715255737,0.14499999582767487,0.895,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,2,"[[-0.018030200903882205, 0.04502509499156624, 0.9748483552080124], [-0.41639278627605386]]",0.6790000200271606,2.2020000000000004
5,1.0,0.75,0.75,0.8149999976158142,0.1899999976158142,0.93,0.81,"[1.0, 1.0]",300.0,0.5,individualized,improvement,1,"[[-0.28760599670602655, -0.012140369036529337, 1.0674676852398417], [-0.5656014286686873]]",0.9220000505447388,2.0410000000000004
6,1.0,0.75,0.75,0.20000000298023224,0.1599999964237213,0.995,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,1,"[[-0.28760599670602655, -0.012140369036529337, 1.0674676852398417], [-0.5656014286686873]]",0.612000048160553,2.1854999999999998
7,1.0,0.75,0.75,0.1599999964237213,0.16500000655651093,0.995,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,1,"[[-0.28760599670602655, -0.012140369036529337, 1.0674676852398417], [-0.5656014286686873]]",0.5600000619888306,1.9344999999999997
8,1.0,0.75,0.75,0.675000011920929,0.1850000023841858,0.75,,"[1.0, 1.0]",300.0,0.5,subpopulation,improvement,1,"[[-0.28760599670602655, -0.012140369036529337, 1.0674676852398417], [-0.5656014286686873]]",0.7560000419616699,2.0829999999999993
9,1.0,0.75,0.75,0.17499999701976776,0.11999999731779099,0.955,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,1,"[[-0.28760599670602655, -0.012140369036529337, 1.0674676852398417], [-0.5656014286686873]]",0.5839999914169312,2.3609999999999998
10,1.0,0.75,0.75,0.7450000047683716,0.14499999582767487,0.925,0.75,"[1.0, 1.0]",300.0,0.5,individualized,improvement,0,"[[0.005936090017688509, -0.106374385825097, 0.9930462683272627], [-0.44667043431722736]]",0.9230000376701355,2.0550000000000006
11,1.0,0.75,0.75,0.20499999821186066,0.14499999582767487,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,0,"[[0.005936090017688509, -0.106374385825097, 0.9930462683272627], [-0.44667043431722736]]",0.5860000252723694,2.1274999999999995
12,1.0,0.75,0.75,0.14499999582767487,0.14499999582767487,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,0,"[[0.005936090017688509, -0.106374385825097, 0.9930462683272627], [-0.44667043431722736]]",0.5289999842643738,1.9825000000000006
13,1.0,0.75,0.75,0.699999988079071,0.15000000596046448,0.795,,"[1.0, 1.0]",300.0,0.5,subpopulation,improvement,0,"[[0.005936090017688509, -0.106374385825097, 0.9930462683272627], [-0.44667043431722736]]",0.8060000538825989,1.9280000000000002
14,1.0,0.75,0.75,0.20000000298023224,0.13500000536441803,0.87,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,0,"[[0.005936090017688509, -0.106374385825097, 0.9930462683272627], [-0.44667043431722736]]",0.49299997091293335,
