,y_hat
15861,False
12784,False
11053,False
18239,False
12075,False
18914,False
11336,False
19665,False
11762,False
18849,False
18706,False
19740,False
12569,False
10826,False
15272,False
13292,False
19579,False
15308,False
15799,False
17762,False
11349,False
13282,False
17145,False
13244,False
15125,False
12787,False
15685,False
17670,False
11337,False
18414,False
13590,False
10361,False
10485,False
14190,False
11535,False
11755,False
13821,False
13091,False
14928,False
11812,False
15028,False
17568,False
19519,False
16345,False
13265,False
13086,False
16850,False
12447,False
15790,False
16989,False
10946,False
12058,False
19619,False
15059,False
15415,False
19910,False
10546,False
18319,False
16599,False
11877,False
17133,False
16417,False
16500,False
15873,False
15510,False
18921,False
18454,False
12764,False
16920,False
18909,False
18341,False
14267,False
16953,False
10557,False
13189,False
12273,False
10527,False
19358,False
17346,False
13139,False
12317,False
14978,False
11279,False
18664,False
15054,False
12635,False
16187,False
14350,False
11201,False
12630,False
15032,False
11035,False
10412,False
15725,False
12928,False
16002,False
13606,False
13442,False
13928,False
16699,False
15748,False
10109,False
17064,False
15837,False
13727,False
19465,False
17450,False
19238,False
11988,False
18704,False
11996,False
14432,False
16828,False
17467,False
17277,False
14143,False
19375,False
10863,False
10607,False
11529,False
18765,False
18612,False
11881,False
17132,False
17523,False
13961,False
13827,False
18894,False
10192,False
15991,False
10012,False
11510,False
17206,False
12985,False
11077,False
17520,False
16773,False
15252,False
16127,False
16993,False
16909,False
19903,False
13628,False
10438,False
12529,False
14436,False
19546,False
17066,False
18054,False
17938,False
19945,False
10130,False
16588,False
14018,False
13976,False
11382,False
14294,False
16625,False
10785,False
15184,False
13631,False
14311,False
15527,False
11795,False
14796,False
14614,False
12633,False
17968,False
13354,False
14869,False
16377,False
18930,False
13242,False
19296,False
10023,False
11933,False
19971,False
13570,False
17755,False
14515,False
15267,False
19963,False
13944,False
16149,False
18810,False
15469,False
12057,False
13356,False
12175,False
14798,False
18240,False
16524,False
19437,False
17344,False
19455,False
11978,False
11268,False
19584,False
17007,False
10005,False
