ix,goal_cost,intv_cost
12467,1.0,0.3
18171,1.0,0.1
15980,1.0,0.4
13094,1.0,0.8
15605,1.0,0.5
16179,1.0,0.3
10012,1.0,0.2
17975,1.0,0.2
18173,1.0,0.9
19026,1.0,1.0
19355,1.0,1.0
19755,1.0,0.6
10303,1.0,0.7
17762,1.0,0.5
11124,1.0,0.6
14657,1.0,0.7
18034,1.0,0.7
13413,1.0,1.0
19491,1.0,0.2
13826,1.0,0.2
17120,1.0,0.6
18284,1.0,0.6
10023,1.0,0.1
19981,1.0,0.6
12865,1.0,0.8
13087,1.0,0.9
16653,1.0,0.3
11510,1.0,0.1
18239,1.0,0.6
14274,1.0,0.1
18917,1.0,0.5
13487,1.0,0.3
11077,1.0,0.1
17435,1.0,0.5
17576,1.0,0.2
19954,1.0,0.2
19740,1.0,0.9
19381,1.0,1.0
10121,1.0,1.0
12592,1.0,0.1
13091,1.0,0.9
19234,1.0,0.6
11554,1.0,0.5
15641,1.0,0.5
11181,1.0,0.4
12135,1.0,1.0
18666,1.0,0.5
10147,1.0,0.9
17426,1.0,0.1
10438,1.0,0.3
12412,1.0,0.8
11156,1.0,0.1
18023,1.0,0.7
18101,1.0,0.8
17592,1.0,0.5
11959,1.0,1.0
19137,1.0,0.9
17288,1.0,0.5
12198,1.0,0.7
15528,1.0,0.7
18356,1.0,0.1
19166,1.0,1.0
19443,1.0,0.1
10208,1.0,0.3
14121,1.0,0.5
16337,1.0,0.1
12736,1.0,0.8
17284,1.0,0.7
11019,1.0,0.3
18240,1.0,0.6
12633,1.0,0.7
12703,1.0,1.0
18852,1.0,0.5
17170,1.0,0.1
10863,1.0,1.0
19154,1.0,0.3
19797,1.0,0.7
19958,1.0,0.4
15873,1.0,0.8
11275,1.0,0.8
18310,1.0,0.4
14294,1.0,0.3
12943,1.0,0.7
13814,1.0,0.6
17873,1.0,0.8
13124,1.0,0.7
17075,1.0,0.8
16278,1.0,0.5
10664,1.0,0.6
16826,1.0,0.9
10156,1.0,1.0
12234,1.0,0.1
19267,1.0,0.2
10810,1.0,0.8
15052,1.0,0.2
10136,1.0,0.5
11724,1.0,0.3
15146,1.0,0.9
13009,1.0,0.4
19864,1.0,0.3
15609,1.0,0.4
17623,1.0,0.5
18550,1.0,0.3
12175,1.0,0.3
11031,1.0,0.8
19587,1.0,0.1
16187,1.0,0.6
18046,1.0,0.4
16332,1.0,0.2
17568,1.0,0.2
10114,1.0,0.6
13827,1.0,0.4
11535,1.0,0.2
16825,1.0,0.5
12928,1.0,0.4
10454,1.0,0.8
17325,1.0,0.6
16412,1.0,0.9
17392,1.0,0.5
15736,1.0,0.9
12210,1.0,1.0
11473,1.0,0.5
14267,1.0,0.2
17064,1.0,0.4
19677,1.0,0.2
15685,1.0,0.3
15252,1.0,0.4
12065,1.0,0.3
17977,1.0,0.7
10826,1.0,0.9
18746,1.0,0.2
18643,1.0,0.4
17469,1.0,0.9
19182,1.0,0.2
15013,1.0,0.1
18028,1.0,0.2
10529,1.0,0.6
16823,1.0,0.9
17221,1.0,0.3
18804,1.0,0.3
16419,1.0,1.0
11238,1.0,0.5
11173,1.0,0.3
19332,1.0,0.8
12937,1.0,0.4
17599,1.0,0.6
16002,1.0,0.2
18161,1.0,0.9
12663,1.0,0.9
12075,1.0,0.4
13545,1.0,1.0
19227,1.0,0.9
17550,1.0,0.9
14807,1.0,0.4
13689,1.0,0.1
17493,1.0,0.1
19294,1.0,0.6
14128,1.0,0.8
13698,1.0,0.2
17025,1.0,0.5
17160,1.0,0.3
18353,1.0,0.9
16116,1.0,0.9
11763,1.0,0.8
15883,1.0,0.4
17983,1.0,0.8
17625,1.0,0.9
10607,1.0,1.0
18109,1.0,0.7
15239,1.0,0.8
10130,1.0,0.8
11382,1.0,0.5
19283,1.0,0.9
11499,1.0,0.1
14190,1.0,0.2
18969,1.0,0.1
14870,1.0,0.2
14160,1.0,0.4
18052,1.0,0.3
11908,1.0,0.7
12439,1.0,0.5
10447,1.0,0.5
10707,1.0,0.8
19932,1.0,0.3
11597,1.0,0.5
16323,1.0,0.8
16850,1.0,0.2
11111,1.0,0.2
19072,1.0,0.6
19174,1.0,0.4
17265,1.0,0.4
17733,1.0,1.0
14344,1.0,0.9
18670,1.0,0.8
11529,1.0,0.4
15349,1.0,0.4
13335,1.0,0.8
10435,1.0,0.3
18687,1.0,0.1
14033,1.0,0.9
