,h_post,h_post_individualized
11978,1.0,
15227,1.0,
13638,1.0,
14018,1.0,
12578,0.02,
16199,1.0,
15366,1.0,
11378,0.03999999999999999,
13851,1.0,
13375,1.0,
12495,1.0,
15558,0.0,
16134,1.0,
17520,1.0,
11755,1.0,
17975,1.0,
17340,0.03999999999999999,
13358,1.0,
13842,0.12000000000000001,
19579,0.06,
17120,0.02,
10546,1.0,
13087,1.0,
12226,1.0,
13557,1.0,
19797,1.0,
11953,1.0,
19981,1.0,
14194,1.0,
10533,1.0,
17221,1.0,
18844,1.0,
17968,1.0,
11723,1.0,
16417,1.0,
18413,1.0,
13331,1.0,
14432,1.0,
13698,0.98,
11700,1.0,
12000,1.0,
15313,1.0,
13628,1.0,
12550,1.0,
15488,1.0,
14488,0.03999999999999999,
11722,1.0,
17275,1.0,
11337,0.03999999999999999,
17568,0.10000000000000002,
11535,1.0,
13443,1.0,
13545,1.0,
11414,0.02,
10130,1.0,
15013,0.03999999999999999,
12210,1.0,
10355,1.0,
11960,1.0,
16351,1.0,
17361,0.98,
17325,0.06,
13487,0.03999999999999999,
17987,1.0,
11371,1.0,
12529,1.0,
19585,1.0,
13590,1.0,
10005,1.0,
19166,1.0,
12787,0.03999999999999999,
13734,1.0,
18339,1.0,
16554,1.0,
11954,1.0,
16653,1.0,
17958,1.0,
15662,1.0,
15846,0.0,
13944,1.0,
16332,1.0,
11558,0.0,
18477,1.0,
12439,1.0,
19468,1.0,
11970,1.0,
11250,1.0,
10826,0.0,
14365,1.0,
15167,1.0,
19910,1.0,
13094,0.03999999999999999,
17265,1.0,
18103,0.03999999999999999,
14470,1.0,
15605,1.0,
17330,0.98,
16169,1.0,
11996,1.0,
12592,1.0,
15799,0.03999999999999999,
16984,1.0,
11126,1.0,
11228,1.0,
15085,1.0,
11201,1.0,
15921,1.0,
16124,0.07999999999999999,
15550,1.0,
15774,1.0,
15641,1.0,
12114,1.0,
19296,1.0,
18827,0.0,
12633,0.02,
15259,1.0,
12496,1.0,
18461,1.0,
15510,1.0,
14948,1.0,
16179,1.0,
10816,1.0,
12204,1.0,
10015,1.0,
11453,1.0,
10096,1.0,
16589,1.0,
15069,1.0,
12058,0.98,
10707,1.0,
17982,1.0,
16733,1.0,
10557,0.03999999999999999,
19159,0.03999999999999999,
17160,1.0,
16791,1.0,
18126,1.0,
13821,1.0,
17007,0.03999999999999999,
16924,1.0,
13428,0.10000000000000002,
12855,0.98,
18852,0.03999999999999999,
11624,1.0,
11385,1.0,
11619,1.0,
16638,1.0,
16773,1.0,
13016,1.0,
15736,1.0,
19396,0.03999999999999999,
10629,1.0,
17170,0.94,
17673,1.0,
14768,1.0,
16867,0.02,
15724,0.02,
18731,1.0,
13243,1.0,
19267,0.02,
11674,1.0,
16757,1.0,
18385,0.10000000000000002,
19830,0.28,
15528,1.0,
15546,0.0,
11173,0.0,
12023,0.0,
13776,0.02,
15527,1.0,
11793,1.0,
11855,1.0,
12175,1.0,
10438,1.0,
13666,0.94,
18000,0.02,
14042,1.0,
18533,1.0,
13961,0.02,
10324,1.0,
16101,1.0,
18173,1.0,
12985,0.02,
13281,0.94,
18091,1.0,
12948,1.0,
13827,1.0,
14128,1.0,
11967,1.0,
19979,0.03999999999999999,
10208,0.10000000000000002,
17888,1.0,
11349,1.0,
19046,1.0,
17792,0.03999999999999999,
11035,1.0,
10332,1.0,
18909,0.06,
13431,1.0,
13815,1.0,
